n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
170,5i_over_2,0,34,9500000000,9500200000,200000,-199993,199993,136,0,0,75.7647058823529411765,112.941176470588235294,-75.7647058823529411765,-112.941176470588235294,0,0,0,0,136,95c101d4823b5fcb
170,5i_over_2,0,35,9500000000,9500200000,200000,-199993,199993,540,0,0,300.830449826989619377,448.442906574394463668,-300.830449826989619377,-448.442906574394463668,-300.830449826989619377,-448.442906574394463668,300.830449826989619377,448.442906574394463668,540,95c101d4823b5fcb
170,5i_over_2,0,36,9500000000,9500200000,200000,-199989,199989,546,0,0,304.17301038062283737,453.425605536332179931,-304.17301038062283737,-453.425605536332179931,-223.951557093425605536,-333.840830449826989619,223.951557093425605536,333.840830449826989619,546,95c101d4823b5fcb
170,5i_over_2,0,37,9500000000,9500200000,200000,-199986,199986,776,0,0,432.304498269896193772,644.429065743944636678,-432.304498269896193772,-644.429065743944636678,-370.4671280276816609,-552.249134948096885813,370.4671280276816609,552.249134948096885813,776,95c101d4823b5fcb
170,5i_over_2,0,38,9500000000,9500200000,200000,-199981,199981,454,0,0,252.92041522491349481,377.024221453287197232,-252.92041522491349481,-377.024221453287197232,-147.072664359861591696,-219.238754325259515571,147.072664359861591696,219.238754325259515571,454,95c101d4823b5fcb
170,5i_over_2,0,39,9500000000,9500200000,200000,-199979,199979,602,0,0,335.370242214532871972,499.930795847750865052,-335.370242214532871972,-499.930795847750865052,-291.916955017301038062,-435.155709342560553633,291.916955017301038062,435.155709342560553633,602,95c101d4823b5fcb
170,5i_over_2,0,40,9500000000,9500200000,200000,-199975,199975,810,0,0,451.245674740484429066,672.664359861591695502,-451.245674740484429066,-672.664359861591695502,-362.110726643598615917,-539.792387543252595156,362.110726643598615917,539.792387543252595156,810,95c101d4823b5fcb
170,5i_over_2,0,41,9500000000,9500200000,200000,-199970,199970,1753,0,0,976.584775086505190311,1455.77854671280276817,-976.584775086505190311,-1455.77854671280276817,-862.380622837370242215,-1285.53633217993079585,862.380622837370242215,1285.53633217993079585,1753,95c101d4823b5fcb
170,5i_over_2,0,42,9500000000,9500200000,200000,-199958,199958,2936,0,0,1635.62629757785467128,2438.20069204152249135,-1635.62629757785467128,-2438.20069204152249135,-1354.85121107266435986,-2019.65397923875432526,1354.85121107266435986,2019.65397923875432526,2936,95c101d4823b5fcb
170,5i_over_2,0,43,9500000000,9500200000,200000,-199939,199939,3103,0,0,1728.66089965397923875,2576.88581314878892734,-1728.66089965397923875,-2576.88581314878892734,-1273.51557093425605536,-1898.40830449826989619,1273.51557093425605536,1898.40830449826989619,3103,95c101d4823b5fcb
170,5i_over_2,0,44,9500000000,9500200000,200000,-199921,199921,3690,0,0,2055.67474048442906574,3064.35986159169550173,-2055.67474048442906574,-3064.35986159169550173,-1614.45674740484429066,-2406.64359861591695502,1614.45674740484429066,2406.64359861591695502,3690,95c101d4823b5fcb
170,5i_over_2,0,45,9500000000,9500200000,200000,-199898,199898,5160,0,0,2874.60207612456747405,4285.12110726643598616,-2874.60207612456747405,-4285.12110726643598616,-2298.01038062283737024,-3425.6055363321799308,2298.01038062283737024,3425.6055363321799308,5160,95c101d4823b5fcb
170,5i_over_2,0,46,9500000000,9500200000,200000,-199865,199865,4990,0,0,2779.89619377162629758,4143.94463667820069204,-2779.89619377162629758,-4143.94463667820069204,-1934.22837370242214533,-2883.32179930795847751,1934.22837370242214533,2883.32179930795847751,4990,95c101d4823b5fcb
170,5i_over_2,0,47,9500000000,9500200000,200000,-199837,199837,6359,0,0,3542.55709342560553633,5280.83044982698961938,-3542.55709342560553633,-5280.83044982698961938,-2809.42214532871972318,-4187.95847750865051903,2809.42214532871972318,4187.95847750865051903,6359,95c101d4823b5fcb
170,5i_over_2,0,48,9500000000,9500200000,200000,-199796,199796,8434,0,0,4698.52595155709342561,7004.01384083044982699,-4698.52595155709342561,-7004.01384083044982699,-3602.16608996539792388,-5369.68858131487889273,3602.16608996539792388,5369.68858131487889273,8434,95c101d4823b5fcb
