batch,start_replica,samples,sum_m1,sum_m2,sum_score_trivial,sum_score_detail,sum_m1_score_trivial,sum_m1_score_detail,sum_m2_score_trivial,sum_m2_score_detail
0,0,1000,-4,-9,332.01339729999626,165,2782.2279464108005,2,2698.5128794242996,25
1,1000,1000,28,4,233.01339730000572,-32,2704.404375124403,-422,2485.7720535892017,-116
2,2000,1000,8,-32,-200.9866026999958,-148,2620.5441071783994,133,2564.8235712863966,47
3,3000,1000,-15,-15,-23.986602699996304,-171,2771.8547990405,-18,2713.8547990405,16
4,4000,1000,-15,-15,21.013397300002953,-100,2444.8547990404995,-23,2714.8547990405,93
5,5000,1000,-3,2,54.013397300003476,-205,2608.1709598081,53,2576.8860267946,89
6,6000,1000,59,54,227.01339730000566,-388,2850.6377904407022,-189,2674.9227234542022,-124
7,7000,1000,9,18,-29.98660269999488,-95,2729.4871205757,-145,2768.974241151404,-142
8,8000,1000,23,4,306.0133973000025,-11,2658.689308137901,-153,2773.7720535892017,38
9,9000,1000,60,31,466.0133972999893,-225,2603.580803838002,255,2586.2334153162988,61
10,10000,1000,-13,-19,-276.986602700005,250,3015.7408258350997,80,2605.0827454512987,-237
11,11000,1000,26,-31,38.01339730000393,45,2719.5183483298,99,2822.7665846836994,14
12,12000,1000,-6,-9,-112.98660269999561,82,2494.3419196162,-142,2650.5128794242996,-177
13,13000,1000,-28,37,-82.98660269999473,26,2777.595624875598,4,2739.891495700103,171
14,14000,1000,-21,-1,-2.9866026999969337,160,2591.196718656698,-239,2570.0569866027004,-149
15,15000,1000,23,31,152.01339730000572,-31,2772.689308137902,89,2929.233415316301,-122
16,16000,1000,37,-19,-24.986602699996567,-156,2659.891495700102,15,2626.082745451298,-92
17,17000,1000,5,-12,-46.986602699995714,390,2493.7150669865005,365,2478.6838392324,168
18,18000,1000,-65,-16,-202.9866026999947,-28,2383.7041291754977,197,2451.9117856432,-19
19,19000,1000,68,23,379.0133972999932,-56,2411.124911016403,-39,2737.6893081379017,-196
