design,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2_N30,50,2000,640,237,269,233,6,615,0
pell_Dminus2_N30,51,2000,601,227,271,260,8,633,0
pell_Dminus2_N30,52,2000,615,246,282,238,7,612,0
pell_Dminus2_N30,53,2000,598,240,250,251,9,652,0
pell_Dminus2_N30,54,2000,626,219,252,256,6,641,0
pell_Dminus2_N30,55,2000,641,234,256,239,10,620,0
pell_Dminus2_N30,56,2000,633,244,266,247,5,605,0
pell_Dminus2_N30,57,2000,601,227,273,237,5,657,0
pell_Dminus2_N30,58,2000,644,212,265,261,5,613,0
pell_Dminus2_N30,59,2000,647,208,240,274,7,624,0
pell_Dminus2_N30,60,2000,631,220,266,263,6,614,0
pell_Dminus2_N30,61,2000,629,228,255,257,5,626,0
pell_Dminus2_N30,62,2000,588,234,263,238,6,671,0
pell_Dminus2_N30,63,2000,591,240,235,260,10,664,0
pell_Dminus2_N30,64,2000,630,238,219,264,12,637,0
pell_Dminus2_N30,65,2000,639,238,276,242,12,593,0
pell_Dminus2_N30,66,2000,637,243,291,239,6,584,0
pell_Dminus2_N30,67,2000,580,242,231,270,8,669,0
pell_Dminus2_N30,68,2000,612,248,261,254,11,614,0
pell_Dminus2_N30,69,2000,628,237,228,261,9,637,0
pell_Dminus2_N30,70,2000,653,249,248,240,10,600,0
pell_Dminus2_N30,71,2000,634,244,253,229,3,637,0
pell_Dminus2_N30,72,2000,621,249,237,256,8,629,0
pell_Dminus2_N30,73,2000,640,232,237,254,6,631,0
pell_Dminus2_N30,74,2000,627,246,251,254,6,616,0
pell_Dminus2_N30,75,2000,644,225,254,255,7,615,0
pell_Dminus2_N30,76,2000,654,239,234,250,8,615,0
pell_Dminus2_N30,77,2000,631,231,264,237,7,630,0
pell_Dminus2_N30,78,2000,630,221,280,247,5,617,0
pell_Dminus2_N30,79,2000,652,225,267,259,4,593,0
pell_Dminus2_N30,80,2000,629,278,274,227,4,588,0
