n,a,b,batch,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,cross_wraps,cross_score_t,cross_score_lambda,both_wraps,both_score_t,both_score_lambda,either_wraps,either_score_t,either_score_lambda,direction_0_wraps,direction_0_score_t,direction_0_score_lambda,direction_1_wraps,direction_1_score_t,direction_1_score_lambda
170,13,1,0,100000,-16212,7716,67783728,67610512,-34848,30926,513868,346580,34923,514824,347452,68939,511044,349960,51959,513812,350624,51903,512056,346788
170,13,1,1,100000,-7768,-416,68065088,68628928,-191360,31130,522012,350676,34986,523848,347968,68628,520976,357416,51762,519480,351648,51852,525344,353736
170,13,1,2,100000,2164,13604,67758800,67796720,-91616,31226,517844,357028,35096,517540,358284,68709,518488,364300,51916,515000,367384,51889,521028,355200
170,13,1,3,100000,-1696,1592,68179552,68139808,229632,31288,528308,349964,35239,525344,352980,68781,524636,355616,51923,529716,352032,52097,520264,356564
170,13,1,4,100000,11856,2224,67932032,68309312,-17120,31359,528468,356200,35263,528976,357332,69153,529020,354480,52155,528400,357212,52261,529596,354600
170,13,1,5,100000,-12516,-19236,67815504,68179376,-259776,30785,515616,342172,34685,516592,343060,68677,512964,338320,51816,516980,341588,51546,512576,339792
170,13,1,6,100000,-3252,-2404,68156368,67928816,28320,31198,523524,354332,35111,523104,352036,68844,522048,352560,51888,523728,353360,52067,521424,351236
170,13,1,7,100000,600,-11016,67985792,67950400,315488,31056,526668,348148,34952,527536,346624,68791,523584,352756,51786,523196,350284,51957,527924,349096
170,13,1,8,100000,-9632,2928,67835136,67532992,325344,31185,523320,352012,34973,521712,354532,68795,517148,350112,51888,519656,355120,51880,519204,349524
170,13,1,9,100000,-11604,-16300,68229456,68429552,-228512,31093,519176,346372,34974,520176,343008,68697,519456,342684,51895,520356,339720,51776,519276,345972
170,13,1,10,100000,4640,-7768,68810112,67770880,-369152,31201,525720,351388,35083,523976,351980,68744,527504,345272,51976,525840,347040,51851,525640,350212
170,13,1,11,100000,-12064,-14968,67921056,67624480,-197600,30839,514328,343508,34808,512892,342724,68727,511424,339588,51760,512716,338284,51775,511600,344028
170,13,1,12,100000,-2472,11400,67349824,68520704,68192,31105,516288,362316,35109,516764,365440,68985,508808,366764,52071,513152,364948,52023,512420,367256
170,13,1,13,100000,6160,13696,68044672,68061568,-129280,31381,523252,358288,35218,522816,356960,69061,526632,359572,52186,523440,356056,52093,526008,360476
170,13,1,14,100000,-9344,-2144,68549728,68358240,378912,30966,520376,350608,34749,520316,348456,68710,525580,355596,51736,524972,350516,51723,520924,353536
170,13,1,15,100000,-880,10360,68231520,67566048,-215584,31168,523612,353548,34996,524312,354456,68708,522808,356432,51868,521552,355856,51836,525568,355032
170,13,1,16,100000,10404,15660,68393968,68233296,124704,31167,527448,355756,35138,527540,356852,68732,538176,364216,51926,534300,362268,51944,531416,358800
170,13,1,17,100000,-624,-4472,67427200,67689472,-483776,31082,515032,349232,34931,512640,349396,69011,511016,347404,52014,514384,346320,51928,509272,350480
170,13,1,18,100000,14360,9328,67962016,67744544,181792,31343,533844,352280,35296,531372,353316,69034,532936,357512,52093,533868,352192,52237,530440,358636
170,13,1,19,100000,-3156,-9356,67607408,67637968,69792,31074,515184,353400,34870,514536,350408,68927,516008,346028,51858,516372,346716,51939,514172,349720
170,13,1,20,100000,10576,-800,68093056,67992576,282112,31144,532444,350844,35008,534384,349376,68829,533416,349140,51874,531428,349660,51963,536372,348856
170,13,1,21,100000,10240,-352,67880672,68359648,134560,31067,524952,350332,35015,525684,350408,68784,526304,356800,51804,524644,356052,51995,527344,351156
170,13,1,22,100000,8084,-3092,68457872,67970736,424672,31187,528968,353068,35134,527328,356320,68851,531980,359800,52079,533812,353296,51906,525496,362824
170,13,1,23,100000,-5132,900,68001840,68263824,96672,31320,524876,351500,35164,523528,354008,68906,516300,355100,52054,519820,354396,52016,520008,354712
170,13,1,24,100000,-20188,11284,68094608,67952752,-547008,30975,515764,351464,34887,515660,348328,68825,509752,348980,51839,515976,349132,51873,509436,348176
170,13,1,25,100000,-7684,-5436,68015664,68104400,-200512,31104,519552,354672,35004,519096,356448,68718,520736,350064,51958,519732,351700,51764,520100,354812
170,13,1,26,100000,-8316,4876,68008208,67856880,-24384,31176,520552,350336,35045,520340,349016,68873,519248,350068,52082,515492,349660,51836,524096,349424
170,13,1,27,100000,-9708,6356,68251920,68168560,352512,31360,528092,349892,35263,526324,350488,68706,521924,356316,51964,523316,355396,52005,524932,351408
170,13,1,28,100000,-7596,-4484,67834480,68389456,-307616,31034,516572,351716,34909,515684,354000,68724,515028,354484,51754,519944,352576,51879,510768,355908
170,13,1,29,100000,5388,10252,68042768,67918704,275456,31244,526212,353372,35087,525544,354148,68806,529708,356212,51906,527684,353684,51987,527568,356676
170,13,1,30,100000,2132,-988,68652272,68435152,53152,31151,526108,350944,34979,526840,352532,68635,532248,353868,51794,530496,353000,51820,528592,353400
170,13,1,31,100000,6564,-3628,67740016,68032720,292960,31177,523060,351448,35059,524932,351104,68923,523800,352276,51993,522932,351144,51989,525800,352236
170,13,1,32,100000,-6224,4680,67469056,68126080,-41152,30946,518752,351864,34859,515468,353040,68748,510428,359724,51958,512896,355256,51649,513000,357508
170,13,1,33,100000,5976,-6048,68417088,67578944,59968,31457,532332,348056,35300,531788,347036,68930,529528,349920,52097,533548,345664,52133,527768,351292
