n,a,b,batch,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,cross_wraps,cross_score_t,cross_score_lambda,both_wraps,both_score_t,both_score_lambda,either_wraps,either_score_t,either_score_lambda,direction_0_wraps,direction_0_score_t,direction_0_score_lambda,direction_1_wraps,direction_1_score_t,direction_1_score_lambda
130,11,3,78,100000,-1796,460,51944560,52120784,-121760,31179,470784,322004,35089,472424,321756,68876,471824,318256,51940,471868,319556,52025,472380,320456
130,11,3,79,100000,7436,4604,52278256,52418256,76640,31491,475956,322528,35345,475832,323188,68952,477212,323356,52138,473744,326376,52159,479300,320168
130,11,3,80,100000,-5820,3116,51794992,52140432,146976,31336,475716,320836,34983,474096,322668,68608,472692,324900,51844,472712,320648,51747,474076,326920
130,11,3,81,100000,-7380,596,51684496,52166256,3008,31205,465616,321516,35031,467340,318816,68768,463440,317688,51949,464228,316200,51850,466552,320304
130,11,3,82,100000,4556,-3820,51346576,52360752,92576,31221,472068,318552,35094,471660,319556,68772,472536,316288,51960,472108,316004,51906,472088,319840
130,11,3,83,100000,3804,11468,51795824,51908368,149376,31169,473132,318048,34953,474128,318284,68884,473000,328816,52011,473348,324448,51826,473780,322652
130,11,3,84,100000,-15040,-19576,51927712,52388960,-39616,30818,464536,312608,34678,463600,313416,68443,464796,309056,51607,464740,311384,51514,463656,311088
130,11,3,85,100000,-8432,912,51970144,51849312,-69856,31195,470380,317752,35037,471048,316460,68709,468016,316052,51785,471348,318248,51961,467716,314264
130,11,3,86,100000,11732,1484,52133520,51795888,-155040,31437,478184,316700,35170,477780,317716,68952,486440,314568,51945,480732,316768,52177,483488,315516
130,11,3,87,100000,-4004,-9372,52040624,52108368,-125504,31023,467044,315008,34833,467288,314988,68655,469708,316968,51857,468784,313196,51631,468212,318760
130,11,3,88,100000,-2244,12644,51883696,52257488,252928,31406,477312,325520,35226,477224,326112,69011,469192,331740,52182,472752,331112,52055,473664,326740
130,11,3,89,100000,-2960,-11264,51929568,52282720,100960,31185,470676,320368,34950,472360,319032,68879,469520,312068,52006,474144,315936,51823,467736,315164
130,11,3,90,100000,1568,-14680,51975424,51674560,-106464,31460,473380,312620,35243,474212,311144,68697,479184,308340,51911,479528,308068,52029,473868,311416
130,11,3,91,100000,2980,12876,52174480,51358000,130912,31433,478496,323188,35300,479572,323756,68950,476752,322104,52142,478976,322696,52108,477348,323164
130,11,3,92,100000,2424,-264,51723104,52212000,307328,31264,476720,322800,34968,476108,322612,68771,477772,322448,51864,477424,320448,51875,476456,324612
130,11,3,93,100000,-824,3152,51567008,51467040,-53600,31225,472696,312476,35063,471448,313460,68882,473164,313436,51965,472516,313864,51980,472096,313032
130,11,3,94,100000,-8724,-4652,52159536,52165072,-46208,31117,472068,319424,34958,473492,319644,68440,473176,318200,51820,474844,316516,51578,471824,321328
130,11,3,95,100000,-884,-2260,52395856,52040752,35200,31128,476228,311812,34965,475632,313724,68866,472344,316136,51711,473432,317188,52120,474544,312672
130,11,3,96,100000,-1168,16504,52176224,52327200,407040,31609,478628,326752,35445,478720,327932,68858,470768,333448,52153,475872,327508,52150,473616,333872
130,11,3,97,100000,784,1240,52250336,51804384,-144928,31191,477484,314824,35024,478508,313140,68867,476188,316840,52005,476216,315564,51886,478480,314416
130,11,3,98,100000,2876,-1820,51710160,51501872,-520896,31311,472876,306312,35157,473340,304928,68763,473884,309368,51967,471612,306424,51953,475612,307872
130,11,3,99,100000,-6852,-5196,52021552,51727824,-72320,30937,464052,316512,34807,463528,318556,68596,465264,313560,51810,463908,317812,51593,464884,314304
