n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
50,2i,0,28,9500000000,9500200000,200000,-48133,71251,992276,367842,15714,-973627.137152,624158.478336,484009.323648,-306381.656064,192606.60928,-121898.71104,-402275.651968,256980.301824,1360118,61533230fcaf3994
50,2i,0,29,9500000000,9500200000,200000,-19870,61998,866143,560741,19662,-1002293.2576,641399.1168,239256.211968,-149218.381824,44181.55456,-25180.27008,-413204.934272,266005.802496,1426884,61533230fcaf3994
50,2i,0,30,9500000000,9500200000,200000,9047,60233,685470,760500,21770,-1014427.75104,645358.11072,-47917.06176,31301.95968,-124887.62304,80501.40672,-437989.04256,278577.45408,1445970,61533230fcaf3994
50,2i,0,31,9500000000,9500200000,200000,37970,66632,488202,928764,19957,-1005042.609024,639218.437632,-330634.20544,211851.40992,-292537.212416,185950.860288,-481638.415744,306300.014592,1416966,61533230fcaf3994
50,2i,0,32,9500000000,9500200000,200000,65357,79379,307428,1029720,15348,-975132.7296,621755.2128,-557335.185152,356153.742336,-423187.450624,270709.266432,-522498.757888,333617.424384,1337148,61533230fcaf3994
50,2i,0,33,9500000000,9500200000,200000,90955,96845,166444,1063731,10647,-926882.419904,589276.457472,-700567.319104,446548.803072,-515761.045312,328752.393216,-560005.416128,356148.424704,1230175,61533230fcaf3994
50,2i,0,34,9500000000,9500200000,200000,113628,115722,76484,1010270,5722,-848292.272256,538874.769408,-743564.219776,473874.720768,-543563.622144,345820.449792,-559802.932992,356028.435456,1086754,61533230fcaf3994
50,2i,0,35,9500000000,9500200000,200000,133370,133970,29490,909085,2330,-755252.8336,480326.2848,-715286.86624,454993.14432,-532064.63104,338545.95072,-536507.10592,341549.12256,938575,61533230fcaf3994
50,2i,0,36,9500000000,9500200000,200000,149877,150031,8938,780040,804,-649655.993216,413008.754688,-637724.60608,405119.29344,-481726.831744,305928.302592,-482996.279168,306610.151424,788978,61533230fcaf3994
50,2i,0,37,9500000000,9500200000,200000,163786,163810,2561,654487,235,-547557.223296,348562.480128,-543990.386304,346684.572672,-426262.889536,271634.024448,-426474.758336,271709.902848,657048,61533230fcaf3994
50,2i,0,38,9500000000,9500200000,200000,174741,174741,456,514954,38,-432754.274944,275237.640192,-432134.966144,275015.841792,-349029.944064,222012.260352,-349029.944064,222012.260352,515410,61533230fcaf3994
50,2i,0,39,9500000000,9500200000,200000,183001,183001,0,391737,0,-329764.339648,210038.744064,-329764.339648,210038.744064,-271097.69856,172622.06208,-271097.69856,172622.06208,391737,61533230fcaf3994
50,2i,0,40,9500000000,9500200000,200000,189328,189328,0,296340,0,-249810.07232,159317.23776,-249810.07232,159317.23776,-213333.24032,136060.66176,-213333.24032,136060.66176,296340,61533230fcaf3994
50,2i,0,41,9500000000,9500200000,200000,193654,193654,0,203583,0,-171661.1856,109446.2208,-171661.1856,109446.2208,-149555.0112,95351.9616,-149555.0112,95351.9616,203583,61533230fcaf3994
50,2i,0,42,9500000000,9500200000,200000,196567,196567,0,136514,0,-115108.6048,73389.9264,-115108.6048,73389.9264,-103162.1472,65773.2096,-103162.1472,65773.2096,136514,61533230fcaf3994
50,2i,0,43,9500000000,9500200000,200000,198338,198338,0,83041,0,-70020.1712,44642.8416,-70020.1712,44642.8416,-64212.2096,40939.8528,-64212.2096,40939.8528,83041,61533230fcaf3994
50,2i,0,44,9500000000,9500200000,200000,199322,199322,0,46098,0,-38869.8336,24782.2848,-38869.8336,24782.2848,-36507.1872,23275.9296,-36507.1872,23275.9296,46098,61533230fcaf3994
50,2i,0,45,9500000000,9500200000,200000,199789,199789,0,21880,0,-18449.216,11762.688,-18449.216,11762.688,-17719.848,11297.664,-17719.848,11297.664,21880,61533230fcaf3994
50,2i,0,46,9500000000,9500200000,200000,199962,199962,0,8110,0,-6838.352,4359.936,-6838.352,4359.936,-6710.1856,4278.2208,-6710.1856,4278.2208,8110,61533230fcaf3994
50,2i,0,47,9500000000,9500200000,200000,200000,200000,0,1786,0,-1505.9552,960.1536,-1505.9552,960.1536,-1505.9552,960.1536,-1505.9552,960.1536,1786,61533230fcaf3994
50,2i,0,48,9500000000,9500200000,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,49,9500000000,9500200000,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,0,50,9500000000,9500200000,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,61533230fcaf3994
50,2i,1,0,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,1,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,2,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,3,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,4,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,5,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,6,9500200000,9500400000,200000,-200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,63f61c762e257e95
50,2i,1,7,9500200000,9500400000,200000,-200000,200000,43,0,0,-36.2576,23.1168,36.2576,-23.1168,36.2576,-23.1168,-36.2576,23.1168,43,63f61c762e257e95
50,2i,1,8,9500200000,9500400000,200000,-199999,199999,554,0,0,-467.1328,297.8304,467.1328,-297.8304,460.3872,-293.5296,-460.3872,293.5296,554,63f61c762e257e95
