batch,replica_first,samples,common_field_sha256,omega_plus_1_over_2_re,omega_plus_1_over_2_im,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
0,18004000000,20000,c725551dbe4ce92794a25d81785ef8bd9c44ce3f0ea8c833d2812c77117b62fc,-4960.001092701654,7476.498954313609,5115,9727,5158,0
1,18004020000,20000,dc6012a131c8c26ee9b83d94268e709f5a8f64dccbf497f9c78a475fb361add4,-4937.162193480363,7376.492693311415,5185,9704,5111,0
2,18004040000,20000,095003e007bfd632d4bdb4eebb6e2399dab6688db7f7907cc2c1898bc7e8b82f,-5063.457429273329,7531.4717691235455,5072,9892,5036,0
3,18004060000,20000,d8434eeb54065d2f49b6bb77b2577e55b6f8476e7bf6de381f8cb50452233ee8,-5041.477333997269,7550.978356433126,5086,9873,5041,0
4,18004080000,20000,24772017be81666160d3de4c92fd0c5a15d7d198651411719a17943ec65e7bf8,-4981.73634824004,7545.792838441489,5075,9837,5088,0
5,18004100000,20000,8bc1e9cabba75d918c432779c79e2c04433f6d3da2f870ec6a2f86690ed87eb1,-4974.1144169373,7529.492433076595,5131,9850,5019,0
6,18004120000,20000,3d2a94ec74431522089a816ee1f001e0656f0629cb3a0cc02562278a5770456c,-5057.365981985137,7578.274076585613,5089,9885,5026,0
7,18004140000,20000,aa75810fb59a79697b34c1751059f5b338c6e2605365ae786d70622c26359a37,-5045.567816089856,7548.481575907092,5093,9871,5036,0
8,18004160000,20000,e78edd581a186d5f70d7221aa8b26cf1e00c7b948a772d948f4159654861671d,-5070.744655497624,7587.151726740484,5093,9914,4993,0
9,18004180000,20000,28de511b675955a6b6d312054422543f45ba34cc1db46832daa72f9feef27daa,-5043.3227497317885,7612.90924369631,5026,9980,4994,0
10,18004200000,20000,e9817eb4da4328d01389e387775e9664f36ee5871579cfdc36ffd58ba0b56026,-5065.983687890845,7618.830354101068,5043,9966,4991,0
11,18004220000,20000,f7ea819be3f3f7fa35272649b2270c42f96843b973e847192c8232594df97527,-5015.378784840331,7560.517004562335,5025,9868,5107,0
12,18004240000,20000,80f3241078c1f9f2a28e55b4d3d287ba366b7d264a9cdd7a34f213daf690e15b,-5091.388408857497,7640.12400259244,5039,9950,5011,0
13,18004260000,20000,236da163bd40d117d1fd5b7c10861d5e5a20ae07d6b23b3b951f26e1fabad5e9,-5034.2153120255025,7530.040959545056,5099,9815,5086,0
14,18004280000,20000,904354281c0519b0e2e57862a26975c2ea5f4d52b0368c9e8aa451eacbc417f4,-4965.176051470995,7442.567272049876,5185,9767,5048,0
15,18004300000,20000,16c14f8681eaed85159d55052f5ad24049e9b8d57093a484cb98ed50a80b8c5f,-5008.834861709779,7508.523649603559,5068,9829,5103,0
16,18004320000,20000,88a3f8089f149048d543c68c1e894d27a4acb8e267623cef432d94969f0e3e61,-5005.085515279691,7552.807156979305,5141,9890,4969,0
17,18004340000,20000,9ade35b1b35883511291af07125bab199715d7de7bb8962f5008d127ca01d520,-5010.565729259891,7541.830016948135,5004,9869,5127,0
18,18004360000,20000,7bb5402d626249aedd9306fdb3ea69cdecabec28318be99cef8362dbd7353b70,-5018.823498208992,7490.786303297157,5217,9785,4998,0
19,18004380000,20000,f60b90105e9ddfb43a929a8c43517421132f55bd2f4339d4bb178153bbd5e7be,-5001.283756746873,7507.936981294451,5208,9817,4975,0
20,18004400000,20000,97cf0cbf9029457aca969c4c8ec13f97f61f36c5c4c1191e5f792efd23a46755,-5079.878426386422,7637.80598504873,5068,9912,5020,0
21,18004420000,20000,e1b08f2a48a8d43a134c22b5fcd223c6a392646c6d4f4a5788541e1f8c2491b8,-5042.43295444434,7532.336245252008,5001,9867,5132,0
22,18004440000,20000,3c6b3cd30202715914f4cb155551dcb0edc7d6fe3a50e90074aac668b890d3b0,-5034.496698217382,7589.272535859117,5023,9909,5068,0
23,18004460000,20000,9c443fc6b9e8c7b864883e1806d37c3c0d0250c687ff113644011ac11ce4498a,-4984.918908793669,7535.385641209653,5071,9841,5088,0
24,18004480000,20000,2aa3540c5bcd6f97e489c78d3b64d9e6efdce5657381078063581d02701aec69,-5139.024191837198,7649.239066076132,5010,9955,5035,0
25,18004500000,20000,6f083faf39dc24f58bbcc973ca3b6dff57dd3720ac0c10f38181dba380db09bd,-4959.249097464591,7438.20208064759,5138,9752,5110,0
26,18004520000,20000,e98d7ad683522cdf1eb2bf92f93e1fde0543c8285b37e29f91e4dcdcf14c1cc3,-5031.209964645971,7571.328587526943,5020,9849,5131,0
27,18004540000,20000,6abde05b018d1db24ca4502839ba7ec580c19134f051f30f8156e7126e367ef0,-5036.379170645975,7612.930895481743,5099,9916,4985,0
28,18004560000,20000,108fa31e50f4fd6199ed367d8929d26912b0080888a8ac286885cc1a88e555a5,-5010.627136775541,7502.701160365968,5179,9823,4998,0
29,18004580000,20000,0715aa21ecd4b483bf1717e63f5a26900f4109e13152735d24e7877543b774c5,-5059.330421329438,7580.9087574372725,5033,9914,5053,0
30,18004600000,20000,eb7df9c62f7289b975e8be6fe13e3ecb1228db4dc805e0ef73b933022cdcda2b,-4925.1905423622275,7436.188357808573,5204,9690,5106,0
31,18004620000,20000,7396785d4fc1c1108888e955ea877df316a06d64af869f17d03132ca0c0c5925,-5043.656111817518,7569.774353225679,5127,9851,5022,0
32,18004640000,20000,61f794a6fe9c35714b6e31839cd9d286f7a736198f03332dd742fb6a7f1a522e,-4953.174665486117,7452.402578379107,5130,9784,5086,0
