batch,replica_first,samples,common_field_sha256,omega_over_2_re,omega_over_2_im,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid
37,18002740000,20000,7835b2a4dcb58efe5226e529c6e1a34781a7cc3590788f4e15aa203e309ec42f,-4961.340915888136,-7525.539040415705,5060,9775,5165,0
38,18002760000,20000,dc73a588c1930747a8cea460873f523ecdc1d91c1880d4c0202b392498bffd61,-5009.260372405187,-7519.463008284675,5208,9809,4983,0
39,18002780000,20000,63b13f2a6a79913bcc54a95490c608a4bc7b7de49540afa695a431e27248ece6,-4997.073628120086,-7547.572299770838,5036,9838,5126,0
40,18002800000,20000,56a800eca65bf8aaa99ea92fbf1bf5290f3c86ca122859dba7a0bf0f1da7202f,-4990.583459565177,-7586.066371995347,4940,9896,5164,0
41,18002820000,20000,64d8c0ec4c7c3b47c81baa500099c2df902bf5327cb414af8b81a626164afb2a,-5004.134828714989,-7581.737225300704,5046,9848,5106,0
42,18002840000,20000,20c30c4312822abc524b5f975ba31a7c86f19843da7b7f299c3021294d8b85b7,-5017.288955186761,-7537.165726431663,5057,9822,5121,0
43,18002860000,20000,786a72df27378ba1ee117dc777d73e3c2db715c6c11433f6d5629152633588e0,-4994.187741462459,-7541.8497485777925,5038,9859,5103,0
44,18002880000,20000,5c703da8b15631ba8be687897a038cbbe14f5c28d1a86436fa67ee1051cee882,-4891.486885214618,-7412.922973122697,5100,9726,5174,0
45,18002900000,20000,0f1d0a73b21a553ccf61ee8b705716fe12f3200c3e5a19d36c05b37b46291a3b,-4909.4118154014905,-7404.5521967063505,5189,9671,5140,0
46,18002920000,20000,2c13ad2b2c57e8b0945cdceb38ec38809425db4e18e4d418015183c246b5c45f,-5034.1518534586185,-7545.447526725087,5090,9824,5086,0
47,18002940000,20000,34d9bb0844c75d3b38b2dbe4c29545abf76f14663fc5187d354ec4b367854e9d,-4998.817876328698,-7496.461525184438,5056,9899,5045,0
48,18002960000,20000,b6b4b04590113ad2ae94c1a436a046442229042a7f91c7f84c86c99bfbaefab8,-4958.547583830907,-7557.638598087797,5029,9816,5155,0
49,18002980000,20000,fa0d79d942b4f49913959a365721463a1de7a8090ced34610fb5dca2af474598,-5095.36084319553,-7605.8666358691635,5031,9924,5045,0
50,18003000000,20000,9fbc7758981ff493e99ce2da321c59273f4677e67ab3a858db74400568368c55,-5050.875613273296,-7512.178600903202,5069,9845,5086,0
