k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,2
32,0
33,0
34,1
35,1
36,3
37,7
38,12
39,11
40,28
41,52
42,70
43,90
44,162
45,237
46,328
47,447
48,614
49,859
50,1239
51,1656
52,2231
53,3020
54,3940
55,5205
56,6828
57,8946
58,11445
59,14567
60,18476
61,23112
62,28658
63,34908
64,41982
65,50547
66,59577
67,69638
68,79554
69,89823
70,99205
71,108167
72,115300
73,119877
74,122243
75,120763
76,116461
77,110545
78,101109
79,89359
80,77035
81,64615
82,52473
83,41160
84,31459
85,23187
86,16747
87,11522
88,7572
89,5016
90,3198
91,2019
92,1230
93,661
94,404
95,198
96,97
97,64
98,21
99,9
100,5
101,1
102,2
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
