k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,3
52,7
53,10
54,13
55,22
56,40
57,81
58,146
59,214
60,401
61,666
62,1037
63,1661
64,2529
65,3858
66,5692
67,8254
68,11683
69,16289
70,22023
71,29401
72,38467
73,48565
74,60215
75,72314
76,84939
77,97331
78,108460
79,116801
80,122448
81,125719
82,124552
83,121220
84,114986
85,106549
86,96356
87,84836
88,73568
89,62347
90,51422
91,42111
92,34132
93,27044
94,21118
95,16250
96,12193
97,9208
98,6797
99,4920
100,3556
101,2518
102,1695
103,1190
104,811
105,504
106,322
107,210
108,125
109,84
110,38
111,25
112,13
113,5
114,3
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
