geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_9_7,0,50000,130,3653922,4088743,269321106,336494331,299821326,434821,6172785,50000,0
g_9_7,1,50000,130,3656049,4090429,269655937,336762239,300134481,434380,6149214,50000,0
g_9_7,2,50000,130,3655165,4091471,269510997,336911665,300128274,436306,6166114,50000,0
g_9_7,3,50000,130,3654641,4090218,269421983,336715396,299985926,435577,6165527,50000,0
g_9_7,4,50000,130,3654713,4091050,269451695,336859926,300066435,436337,6178751,50000,0
g_9_7,5,50000,130,3657800,4092428,269888320,337081148,300413569,434628,6142330,50000,0
g_9_7,6,50000,130,3657332,4091609,269805056,336957113,300310494,434277,6141181,50000,0
g_9_7,7,50000,130,3654332,4091856,269416070,336996692,300083463,437524,6245836,50000,0
g_9_7,8,50000,130,3657701,4090554,269873567,336794450,300273132,432853,6121753,50000,0
g_9_7,9,50000,130,3657531,4090727,269851785,336825639,300296002,433196,6085420,50000,0
g_9_7,10,50000,130,3653203,4087387,269223459,336256801,299667168,434184,6145924,50000,0
g_9_7,11,50000,130,3655574,4089484,269588348,336600144,300028264,433910,6131964,50000,0
g_9_7,12,50000,130,3655051,4089187,269484823,336517961,299948130,434136,6106524,50000,0
g_9_7,13,50000,130,3654660,4089216,269458960,336556962,299940503,434556,6134916,50000,0
g_9_7,14,50000,130,3654228,4090240,269368618,336741536,299979510,436012,6151134,50000,0
g_9_7,15,50000,130,3655625,4089700,269549373,336641468,300032652,434075,6125537,50000,0
g_9_7,16,50000,130,3655970,4090759,269641268,336806153,300153448,434789,6140525,50000,0
g_9_7,17,50000,130,3653561,4087957,269271823,336379743,299749163,434396,6153240,50000,0
g_9_7,18,50000,130,3655165,4091315,269506995,336897171,300109748,436150,6184670,50000,0
g_9_7,19,50000,130,3655672,4089030,269600202,336520652,300002363,433358,6116128,50000,0
g_9_7,20,50000,130,3657609,4091574,269858949,336941246,300341991,433965,6116213,50000,0
g_9_7,21,50000,130,3658327,4093609,269979225,337255787,300536734,435282,6161544,50000,0
g_9_7,22,50000,130,3657474,4090216,269845068,336725848,300245325,432742,6080266,50000,0
g_9_7,23,50000,130,3655087,4091671,269501253,336991131,300148180,436584,6196024,50000,0
g_9_7,24,50000,130,3656835,4094049,269760065,337359175,300458616,437214,6202008,50000,0
g_9_7,25,50000,130,3654325,4090976,269390525,336864050,300032067,436651,6190441,50000,0
g_9_7,26,50000,130,3656121,4092507,269640895,337074269,300261509,436386,6192146,50000,0
g_9_7,27,50000,130,3654423,4090728,269387745,336820602,300008653,436305,6191041,50000,0
g_9_7,28,50000,130,3656560,4090546,269691404,336762284,300179427,433986,6094834,50000,0
g_9_7,29,50000,130,3659406,4091724,270120816,336959242,300493754,432318,6092550,50000,0
g_9_7,30,50000,130,3657175,4091468,269768645,336918224,300277518,434293,6131833,50000,0
g_9_7,31,50000,130,3656970,4091904,269778164,337012516,300315636,434934,6159408,50000,0
g_9_7,32,50000,130,3656517,4092095,269706191,337036095,300271796,435578,6198694,50000,0
g_9_7,33,50000,130,3658702,4093075,270010146,337207597,300527812,434373,6162119,50000,0
g_9_7,34,50000,130,3656083,4090781,269634755,336811835,300157540,434698,6131510,50000,0
g_9_7,35,50000,130,3657471,4091073,269854555,336846565,300278297,433602,6144526,50000,0
g_9_7,36,50000,130,3657215,4090000,269817581,336681148,300200683,432785,6097363,50000,0
g_9_7,37,50000,130,3655448,4091605,269541494,336939749,300158453,436157,6164337,50000,0
g_9_7,38,50000,130,3656543,4091402,269706891,336918314,300239861,434859,6145483,50000,0
g_9_7,39,50000,130,3655549,4092075,269557747,337008789,300200668,436526,6165200,50000,0
