K,q,count,sum_S
0,-1,1,19
1,-1,9,144
2,-1,36,468
3,-1,78,780
3,0,6,66
4,-1,90,648
4,0,36,288
5,-1,45,198
5,0,72,432
5,1,9,54
6,0,48,204
6,1,36,180
7,1,36,180
8,1,9,63
9,1,1,10
