batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,3556793,3556793,2244471,2244471,12662385121,8022860472,8022860472,5295046853,772098,487302,487302,313174
1,1000,3560081,3560081,2257363,2257363,12685857225,8076826184,8076826184,5342802531,774138,490559,490559,316710
2,1000,3559572,3559572,2245386,2245386,12682877848,8034523196,8034523196,5296068646,772360,488838,488838,315338
3,1000,3557919,3557919,2267839,2267839,12671215755,8110699370,8110699370,5392897919,772316,493386,493386,321384
4,1000,3555522,3555522,2224769,2224769,12654310692,7953090713,7953090713,5214780177,769976,483588,483588,309578
5,1000,3559434,3559434,2233104,2233104,12681706482,7989331263,7989331263,5237700704,771782,485895,485895,310746
6,1000,3561965,3561965,2272329,2272329,12698707209,8132741637,8132741637,5402519521,775678,494502,494502,320362
7,1000,3555124,3555124,2233261,2233261,12651331820,7982849632,7982849632,5248132977,771348,485437,485437,311852
8,1000,3557204,3557204,2232605,2232605,12665913904,7985057651,7985057651,5252082283,771362,485126,485126,310446
9,1000,3564619,3564619,2276049,2276049,12717449085,8150614307,8150614307,5426146455,776304,495960,495960,322722
10,1000,3556730,3556730,2248156,2248156,12661275558,8033197502,8033197502,5287695740,770448,488769,488769,314352
11,1000,3559049,3559049,2255777,2255777,12679339861,8070308847,8070308847,5333902169,774722,489552,489552,315136
12,1000,3557866,3557866,2245106,2245106,12669812840,8025985891,8025985891,5285530252,772932,488944,488944,312260
13,1000,3558882,3558882,2264175,2264175,12678437232,8102822765,8102822765,5389368935,774726,492259,492259,318814
14,1000,3558984,3558984,2265813,2265813,12678280808,8105742889,8105742889,5386900255,774788,492146,492146,319860
15,1000,3556054,3556054,2226916,2226916,12657531244,7962227404,7962227404,5239387640,770482,484389,484389,311596
16,1000,3552059,3552059,2217939,2217939,12628840173,7918390315,7918390315,5165140747,769344,481734,481734,308512
17,1000,3555038,3555038,2241573,2241573,12650318696,8008089670,8008089670,5275196799,772290,486076,486076,313858
