batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,8006196,8006196,4616544,4616544,64125253346,37075451126,37075451126,22410744252,1740722,1005300,1005300,593660
1,1000,8000730,8000730,4587749,4587749,64039323400,36829907601,36829907601,22187981723,1735734,998074,998074,581648
2,1000,8002108,8002108,4620504,4620504,64061745930,37094049311,37094049311,22416223788,1734066,1002506,1002506,594060
3,1000,7997898,7997898,4563012,4563012,63996279952,36622020140,36622020140,21972840414,1736794,992359,992359,579058
4,1000,7997109,7997109,4607342,4607342,63979331015,36959783819,36959783819,22315949416,1735154,999600,999600,589692
5,1000,8000567,8000567,4669053,4669053,64037171221,37481060018,37481060018,22924122717,1736712,1013065,1013065,603174
6,1000,8005437,8005437,4648217,4648217,64116035343,37338275025,37338275025,22716010083,1738670,1010637,1010637,600872
7,1000,8012462,8012462,4684981,4684981,64226085144,37658627970,37658627970,23067445557,1742400,1017594,1017594,611522
8,1000,8008101,8008101,4622197,4622197,64157849719,37139933478,37139933478,22531756011,1737988,1003987,1003987,596072
9,1000,8005101,8005101,4637462,4637462,64107535701,37236764811,37236764811,22589408264,1739026,1007643,1007643,594572
10,1000,7998860,7998860,4567946,4567946,64010450246,36664167789,36664167789,22015835918,1737598,991841,991841,579906
11,1000,8011452,8011452,4629495,4629495,64209540774,37202101511,37202101511,22469870733,1737366,1005740,1005740,594358
12,1000,8015831,8015831,4701609,4701609,64281636403,37812512716,37812512716,23214109911,1744982,1022364,1022364,612652
13,1000,8003970,8003970,4613860,4613860,64089946098,37045091404,37045091404,22352994560,1739004,1001879,1001879,593166
14,1000,8016716,8016716,4665146,4665146,64295413906,37517948875,37517948875,22869651002,1742010,1015948,1015948,606294
15,1000,7997509,7997509,4583659,4583659,63988869507,36784412866,36784412866,22111530673,1733116,994670,994670,584788
16,1000,8002380,8002380,4645344,4645344,64065103252,37289285441,37289285441,22650017068,1734536,1009060,1009060,598156
17,1000,8012118,8012118,4646860,4646860,64220923016,37349500316,37349500316,22648298230,1737844,1010118,1010118,595668
18,1000,7995662,7995662,4597040,4597040,63958651486,36882094351,36882094351,22257880368,1735948,996712,996712,587484
19,1000,8002061,8002061,4621541,4621541,64060537187,37098878613,37098878613,22423179403,1738350,1003176,1003176,586516
20,1000,8001551,8001551,4657405,4657405,64053347277,37395781590,37395781590,22831286949,1737012,1009495,1009495,601912
21,1000,8011633,8011633,4638645,4638645,64213187905,37281526437,37281526437,22628028757,1740982,1010222,1010222,600856
22,1000,8000647,8000647,4609490,4609490,64036128653,36995985814,36995985814,22388595380,1734978,1002312,1002312,587864
23,1000,8002360,8002360,4661494,4661494,64064168668,37419187458,37419187458,22806178978,1742290,1012682,1012682,601510
24,1000,8004256,8004256,4641318,4641318,64094444538,37262652359,37262652359,22613170690,1739620,1010150,1010150,597954
25,1000,8002049,8002049,4629356,4629356,64059382625,37155575302,37155575302,22454394098,1737440,1005583,1005583,592574
26,1000,8006539,8006539,4623388,4623388,64129974265,37135791206,37135791206,22446357156,1737400,1003062,1003062,587910
27,1000,8004629,8004629,4646567,4646567,64099699087,37314041503,37314041503,22723577189,1737634,1009832,1009832,603008
28,1000,8012582,8012582,4712535,4712535,64229738712,37887485210,37887485210,23279459429,1744190,1026497,1026497,617508
29,1000,7993434,7993434,4575882,4575882,63922732842,36697034332,36697034332,22054968462,1732558,994132,994132,583776
30,1000,8002703,8002703,4610695,4610695,64070424167,37015711602,37015711602,22296279737,1736710,1002754,1002754,594482
31,1000,8004230,8004230,4645010,4645010,64095448788,37306940821,37306940821,22700862282,1739316,1010300,1010300,598886
32,1000,7991577,7991577,4568622,4568622,63890828971,36624409950,36624409950,21912663866,1731654,990758,990758,580744
33,1000,8001051,8001051,4603032,4603032,64044438121,36954042398,36954042398,22302954144,1735174,999250,999250,587730
34,1000,8002837,8002837,4645608,4645608,64070452351,37282212005,37282212005,22552552186,1737872,1009713,1009713,591770
35,1000,8004532,8004532,4599097,4599097,64101903164,36941726377,36941726377,22291548359,1736722,998672,998672,591356
