joint_sector,geometry,tau,alpha,source_component,k_minus,count,sum_q0,sum_q1,sum_e0,sum_e1,sum_a0,sum_a1,sum_q0a0,sum_q1a1,sum_e0a0,sum_e1a1
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,diag1,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,4,8855,-8855,-8854,8855,8854,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,5,33649,-33642,-33623,33642,33623,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,6,100947,-100821,-100636,100821,100636,4,12,-4,-12,4,12
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,7,245157,-244028,-242847,244028,242847,84,332,-84,-332,84,332
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,8,490314,-483784,-478372,483784,478380,820,3166,-820,-3166,820,3166
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,9,817190,-790316,-771500,790340,771716,4586,15802,-4586,-15770,4586,15770
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,10,1144066,-1061068,-1009805,1061572,1012337,16054,46768,-16038,-46288,16038,46288
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,11,1352078,-1153615,-1043492,1158251,1060582,36312,83530,-36096,-80810,36096,80810
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,12,1352078,-979802,-796677,1004442,869629,52550,84503,-51446,-76757,51446,76757
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,13,1144066,-597795,-369590,680555,571000,46172,43997,-43350,-34093,43350,34261
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,14,817190,-198120,7579,377618,354097,22278,10589,-18926,-5239,18966,5671
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,15,490314,43621,173642,208983,248460,5126,1355,-3540,-99,3604,451
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,16,245157,101929,158242,129045,166310,492,133,-260,47,276,81
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,17,100947,68710,85123,70818,85391,20,8,-16,8,16,8
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,18,33649,28809,31930,28849,31930,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,19,8855,8414,8770,8414,8770,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,21,253,253,253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,far,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,4,8855,-8855,-8854,8855,8854,0,4,0,-4,0,4
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,5,33649,-33642,-33623,33642,33623,4,68,-4,-68,4,68
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,6,100947,-100821,-100636,100821,100636,60,568,-60,-568,60,568
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,7,245157,-244028,-242847,244028,242847,428,3124,-428,-3124,428,3124
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,8,490314,-483784,-478372,483784,478380,2024,12544,-2024,-12520,2024,12520
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,9,817190,-790316,-771500,790340,771716,7144,37642,-7132,-37270,7132,37270
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,10,1144066,-1061068,-1009805,1061572,1012337,19082,82416,-18918,-79904,18918,79904
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,11,1352078,-1153615,-1043492,1158251,1060582,37136,124979,-36120,-115425,36120,115425
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,12,1352078,-979802,-796677,1004442,869629,49728,122142,-46206,-100604,46206,100820
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,13,1144066,-597795,-369590,680555,571000,42948,70853,-35834,-43577,35858,45273
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,14,817190,-198120,7579,377618,354097,22556,23746,-14544,-5765,14720,9469
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,15,490314,43621,173642,208983,248460,7236,5191,-2546,1159,2906,1641
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,16,245157,101929,158242,129045,166310,1510,843,-64,464,312,448
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,17,100947,68710,85123,70818,85391,198,84,36,64,36,64
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,18,33649,28809,31930,28849,31930,12,4,4,4,4,4
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,19,8855,8414,8770,8414,8770,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,21,253,253,253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_a,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,4,8855,-8855,-8854,8855,8854,0,4,0,-4,0,4
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,5,33649,-33642,-33623,33642,33623,4,68,-4,-68,4,68
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,6,100947,-100821,-100636,100821,100636,60,568,-60,-568,60,568
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,7,245157,-244028,-242847,244028,242847,428,3124,-428,-3124,428,3124
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,8,490314,-483784,-478372,483784,478380,2024,12544,-2024,-12520,2024,12520
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,9,817190,-790316,-771500,790340,771716,7144,37642,-7132,-37270,7132,37270
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,10,1144066,-1061068,-1009805,1061572,1012337,19082,82416,-18918,-79904,18918,79904
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,11,1352078,-1153615,-1043492,1158251,1060582,37136,124979,-36120,-115425,36120,115425
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,12,1352078,-979802,-796677,1004442,869629,49728,122142,-46206,-100604,46206,100820
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,13,1144066,-597795,-369590,680555,571000,42948,70853,-35834,-43577,35858,45273
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,14,817190,-198120,7579,377618,354097,22556,23746,-14544,-5765,14720,9469
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,15,490314,43621,173642,208983,248460,7236,5191,-2546,1159,2906,1641
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,16,245157,101929,158242,129045,166310,1510,843,-64,464,312,448
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,17,100947,68710,85123,70818,85391,198,84,36,64,36,64
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,18,33649,28809,31930,28849,31930,12,4,4,4,4,4
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,19,8855,8414,8770,8414,8770,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,21,253,253,253,253,253,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,knight_b,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,2,253,-253,-253,253,253,8,8,-8,-8,8,8
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,3,1771,-1771,-1771,1771,1771,160,160,-160,-160,160,160
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,4,8855,-8855,-8854,8855,8854,1520,1532,-1520,-1532,1520,1532
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,5,33649,-33642,-33623,33642,33623,9156,9344,-9148,-9336,9148,9336
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,6,100947,-100821,-100636,100821,100636,39336,40710,-39200,-40558,39200,40558
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,7,245157,-244028,-242847,244028,242847,128404,134234,-127236,-132822,127236,132822
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,8,490314,-483784,-478372,483784,478380,331068,345164,-324472,-336848,324472,336864
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,9,817190,-790316,-771500,790340,771716,691468,701576,-664080,-666472,664112,666824
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,10,1144066,-1061068,-1009805,1061572,1012337,1187728,1128664,-1098408,-1015358,1098984,1018846
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,11,1352078,-1153615,-1043492,1158251,1060582,1684120,1421836,-1448376,-1139268,1453144,1159804
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,12,1352078,-979802,-796677,1004442,869629,1950952,1376824,-1452668,-851844,1477828,930508
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,13,1144066,-597795,-369590,680555,571000,1807564,1016806,-1002416,-326546,1093736,519482
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,14,817190,-198120,7579,377618,354097,1313148,585230,-372136,36328,585744,254656
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,15,490314,43621,173642,208983,248460,743964,268606,23844,115498,276804,143350
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,16,245157,101929,158242,129045,166310,329296,96352,106672,68436,142384,69572
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,17,100947,68710,85123,70818,85391,112568,25876,61844,22876,63972,22876
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,18,33649,28809,31930,28849,31930,28796,4880,20412,4736,20412,4736
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,19,8855,8414,8770,8414,8770,5200,576,4288,576,4288,576
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,20,1771,1752,1771,1752,1771,592,32,544,32,544,32
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,21,253,253,253,253,253,32,0,32,0,32,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,22,23,23,23,23,23,0,0,0,0,0,0
__GLOBAL__,axis,__GLOBAL__,__SOURCE__,nn_other,23,1,1,1,1,1,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,0,1,-1,-1,1,1,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,1,23,-23,-23,23,23,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,2,253,-253,-253,253,253,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,4,8855,-8855,-8855,8855,8855,0,0,0,0,0,0
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,5,33649,-33649,-33649,33649,33649,24,24,-24,-24,24,24
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,6,100947,-100947,-100912,100947,100912,352,372,-352,-372,352,372
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,7,245157,-245012,-244479,245012,244479,2444,2770,-2444,-2770,2444,2770
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,8,490314,-488238,-484427,488238,484427,10738,13006,-10738,-12986,10738,12986
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,9,817190,-803301,-786282,803301,786354,33446,42350,-33370,-41910,33370,41910
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,10,1144066,-1086414,-1033629,1086582,1035371,77718,98168,-76734,-94534,76734,94534
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,11,1352078,-1186715,-1067765,1189901,1083169,136650,159634,-130964,-143564,130964,143756
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,12,1352078,-1007607,-809976,1029695,882198,179208,174482,-159614,-132498,159790,134498
__GLOBAL__,tilted,__GLOBAL__,__SOURCE__,axial2,13,1144066,-611040,-370556,692466,575296,169914,122706,-127494,-59080,129398,67912
