sector,full_axis_tilted_rectangle,pooled_four_cell_rectangle,det_lower,det_upper,det_midpoint,det_excludes_zero,p4_01_absent,p4_01_present,p4_12_absent,p4_12_present
f391e1c126cafa109148,0,0,0,0,0.0,0,-1.1358895572362802e-09,0.0,0.0,0.0
f409b520b6e34b4b65d8,0,0,0,0,0.0,0,1.1880477704227857e-09,0.0,9.005733303196446e-11,0.0
f42c2e71b90b3d31aab7,0,0,0,0,0.0,0,1.0542821073910804e-10,0.0,0.0,0.0
f4425cdb8000e209c0ec,0,0,0,0,0.0,0,-6.229788456346306e-11,0.0,8.521879555420999e-12,0.0
f45d595ec180d8017e23,0,0,0,0,0.0,0,-3.7205768242164947e-10,0.0,0.0,0.0
f484f2641b0083facb05,0,1,-696610028010105473370308758319/100000000000000000000000000000000000000000000000000,-348305014005052736685154379159/50000000000000000000000000000000000000000000000000,-6.966100280101055e-21,1,-3.2104262386436676e-10,-3.159769942815307e-10,5.740017722837521e-10,5.866431464195888e-10
f4e5300ccb375a7b8ef3,0,0,0,0,0.0,0,1.1363308519796542e-10,0.0,0.0,0.0
f4f7a15370e4394df8c5,0,0,0,0,0.0,0,-2.9798249101366597e-09,0.0,3.5710738099420744e-10,0.0
f523be1e9ffa1b6d9993,0,0,0,0,0.0,0,-4.929366789158011e-11,0.0,0.0,0.0
f53ad359f1d36f6c155c,0,0,0,0,0.0,0,-4.929366789158011e-11,0.0,0.0,0.0
f54594b0fc8f789106c4,0,0,0,0,0.0,0,2.7422767116053766e-09,0.0,-8.799881579923548e-10,0.0
f58b796a03ed79391400,0,0,0,0,0.0,0,-1.0139393595686802e-10,0.0,1.1258457700228299e-10,0.0
f59e4859ac98542a0d92,0,0,0,0,0.0,0,-3.6058743870688175e-10,0.0,0.0,0.0
f5d59616bdcdf349bd97,0,0,0,0,0.0,0,9.349792146611611e-10,7.909589227099251e-10,0.0,0.0
f5d5c71b6dc897bcdc41,0,0,0,0,0.0,0,6.845590633436595e-10,0.0,-1.2557027179306083e-10,0.0
f5e634139776e1b25fea,0,1,2384749887674174266696181368987/20000000000000000000000000000000000000000000000000,1490468679796358916685113355617/12500000000000000000000000000000000000000000000000,1.192374943837087e-19,1,4.994839180250617e-09,3.997449136876401e-09,2.718115107904099e-10,2.414072085350709e-10
f62035bc0c785cf01a38,0,0,0,0,0.0,0,2.16695187502593e-09,1.7464967973397664e-09,0.0,0.0
f62964777b84f97959c2,0,0,0,0,0.0,0,5.015587955853439e-11,4.307815894469937e-11,0.0,0.0
f66242ce67843196ce7e,0,0,0,0,0.0,0,2.0794869927394752e-11,0.0,0.0,0.0
f6c30f676c02e8885071,0,0,0,0,0.0,0,-4.350455022961436e-10,-3.696599220343203e-10,0.0,0.0
f6c40c0bbd786bab96cc,0,0,0,0,0.0,0,-2.5434258726054502e-11,0.0,0.0,0.0
f726efd04befeb5a6d1f,0,0,0,0,0.0,0,-7.165997578854952e-10,0.0,-7.699492973852543e-11,0.0
f7314cb97b0e264ea23e,0,0,0,0,0.0,0,5.328408817071209e-11,0.0,-5.89007904611044e-10,0.0
f7c6e097c5455ec2a7d0,0,0,0,0,0.0,0,-1.154214057292252e-10,0.0,8.521879555420999e-12,0.0
f7eed4eceec8b75a8bb3,0,0,0,0,0.0,0,-3.4894807943650092e-12,-2.8961313545919418e-12,0.0,0.0
f8367912015badb0142a,1,1,-4787329973304787025627294640441/50000000000000000000000000000000000000000000000000,-9574659946609574051254589280881/100000000000000000000000000000000000000000000000000,-9.574659946609574e-20,1,-8.889661725009742e-10,-9.169953305748793e-10,1.7090559982990838e-10,2.839998239403693e-10
f8a88e76a3c7a1593bcc,0,0,0,0,0.0,0,2.9263094617388526e-11,0.0,0.0,0.0
f8ac8674fa8f865fbbe2,0,0,0,0,0.0,0,-3.257495663808093e-11,0.0,0.0,0.0
f8bb50b26c80eba114ac,0,0,0,0,0.0,0,4.699860632716092e-11,0.0,0.0,0.0
f8e33a13dec2eb1d0b2c,0,0,0,0,0.0,0,2.9878876233816876e-10,0.0,0.0,0.0
f959dcbf68dd0ab1b14a,0,0,132716797317950698041754709965133/100000000000000000000000000000000000000000000000000,66358398658975349020877354982567/50000000000000000000000000000000000000000000000000,1.3271679731795069e-18,1,0.0,1.0712066226043015e-09,-1.2389467588922445e-09,7.955531725807086e-11
f963f58cf07642d6b274,0,0,0,0,0.0,0,-5.96872030451613e-11,0.0,-1.4203355477332864e-09,0.0
f97fc84b42dcf8e08553,0,0,0,0,0.0,0,-4.869174232572772e-09,0.0,-2.59130504656943e-10,0.0
f9ea1ac62aabe04827c1,0,0,0,0,0.0,0,0.0,0.0,-8.597461531249103e-10,0.0
f9efc44992a6cb138875,0,0,0,0,0.0,0,5.67582389866573e-10,0.0,-1.3772654640322064e-09,0.0
faefc5334485c624b6bd,0,0,0,0,0.0,0,-7.037301661542397e-10,0.0,0.0,0.0
fb1458273d3d5fee2b18,0,0,0,0,0.0,0,0.0,0.0,-3.127419587897138e-11,0.0
fb2f9f2f311f07141898,0,0,0,0,0.0,0,1.8870805554303847e-09,0.0,-1.4487080024157056e-10,0.0
fb9861e1a3e6d033871f,0,0,0,0,0.0,0,6.303845304317493e-11,0.0,0.0,0.0
fbaacba7b9934544c962,0,0,0,0,0.0,0,7.04119972829924e-11,0.0,0.0,0.0
fbbbd83aef8448a41096,0,0,0,0,0.0,0,-2.3458747132532713e-11,0.0,8.458758254486226e-10,0.0
fbe7cfeaec538f185729,0,0,0,0,0.0,0,2.653318906826637e-10,0.0,0.0,0.0
fc15cdc260d4f24ba0db,0,0,0,0,0.0,0,-1.6718711253499186e-11,0.0,0.0,0.0
fc33eb5ec89b884e6161,0,0,0,0,0.0,0,-6.232952329544048e-11,0.0,0.0,0.0
fc6956b873017db3517d,0,0,0,0,0.0,0,5.705722580184121e-10,0.0,0.0,0.0
fca46df93610bd70b1d7,0,0,0,0,0.0,0,0.0,-7.716199894621681e-10,0.0,2.18652215525333e-10
fcc7e3da9bb7b504f9b6,0,0,0,0,0.0,0,2.0890165625205964e-10,1.707456210615371e-10,0.0,0.0
fcc845fdb7a87aca5a2f,0,0,0,0,0.0,0,1.0844051751352867e-09,0.0,8.782979208536634e-10,0.0
fcfaee410be17a905cf8,0,0,0,0,0.0,0,2.9878876233816876e-10,0.0,0.0,0.0
fdce1b8265a7497a1f39,0,1,-6593034984453912357854950387/2500000000000000000000000000000000000000000000000,-263721399378156494314198015479/100000000000000000000000000000000000000000000000000,-2.637213993781565e-21,1,1.613170859136869e-09,1.3645762631201947e-09,-4.278035703712834e-11,-3.782257371491307e-11
fe36c46a47cf2f4d9e09,0,0,0,0,0.0,0,0.0,0.0,-1.4153341096567027e-09,0.0
fe3940f371f7c5191b82,0,0,0,0,0.0,0,1.6642312239141816e-09,1.3782873929978923e-09,0.0,0.0
fe58dedc148f69d6fa7c,0,0,0,0,0.0,0,4.718626456057183e-09,0.0,-1.8077548731817346e-09,0.0
fe5bdfe2eb85573697e7,0,0,0,0,0.0,0,-4.963404037139713e-11,0.0,0.0,0.0
fe85bd19afa41ff65411,0,0,0,0,0.0,0,-2.9327795775778313e-10,0.0,-1.8096249432821336e-09,0.0
fe977ccee2ea05a14a19,0,0,0,0,0.0,0,-1.8186098046670975e-09,0.0,2.3227578063084686e-10,0.0
fec9071e832eec097f2c,0,0,0,0,0.0,0,-4.0918492898841816e-11,0.0,2.121967258732886e-10,0.0
fecb3606692bd883c1a4,0,0,0,0,0.0,0,2.3255886124402612e-11,0.0,5.78927968971735e-11,0.0
fed45daee98a940f14a6,0,0,0,0,0.0,0,-8.593794680001014e-11,0.0,0.0,0.0
ff0c17eb3a6e9ab465fd,0,0,0,0,0.0,0,-3.505397173998161e-10,0.0,2.3037124143473642e-10,0.0
ff102ab636158f28438e,0,0,0,0,0.0,0,4.626987127683948e-09,0.0,-2.816953844685627e-09,0.0
ff17129f8c1416ac84a8,0,0,0,0,0.0,0,-1.5724730787999307e-10,0.0,0.0,0.0
ff2d413c06263b279f05,0,0,0,0,0.0,0,-3.3047433401981147e-10,0.0,5.016924950196116e-11,0.0
fffcb51eb4d4e7136b27,0,0,0,0,0.0,0,1.3681844392706591e-10,0.0,0.0,0.0
