geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_4,1,4,2,30,181,121,21901,43500,34,2026102632,170000,5000,131260675,3445890977175,30,787893,20692612609,20,525117,13787453467,1,26273,690270529
lambda_1_4,1,4,2,30,181,121,21901,43500,35,2026102632,175000,5000,131257475,3445722787563,47,1233229,32358756205,21,551338,14475004524,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,36,2026102632,180000,5000,131259516,3445829069982,37,971604,25513995016,27,708722,18603271832,2,52527,1379546145
lambda_1_4,1,4,2,30,181,121,21901,43500,37,2026102632,185000,5000,131256350,3445664083874,28,735257,19307339961,17,446609,11733001269,3,78696,2064364922
lambda_1_4,1,4,2,30,181,121,21901,43500,38,2026102632,190000,5000,131262628,3445993006492,37,971150,25490184332,31,814228,21386126178,1,26195,686178025
lambda_1_4,1,4,2,30,181,121,21901,43500,39,2026102632,195000,5000,131254828,3445583279698,35,918831,24121595907,19,498602,13084487064,4,105116,2762356496
lambda_1_4,1,4,2,30,181,121,21901,43500,40,2026102632,200000,5000,131256584,3445676147370,38,997110,26164016748,20,524801,13770864947,2,52472,1376657570
lambda_1_4,1,4,2,30,181,121,21901,43500,41,2026102632,205000,5000,131264294,3446080955658,22,577470,15157902388,13,341856,8989691604,2,52680,1387596002
lambda_1_4,1,4,2,30,181,121,21901,43500,42,2026102632,210000,5000,131255209,3445603142581,36,944883,24800283049,25,656082,17217854704,4,104957,2753994313
lambda_1_4,1,4,2,30,181,121,21901,43500,43,2026102632,215000,5000,131254855,3445583992971,43,1129129,29649701433,20,525190,13791320018,2,52538,1380121060
lambda_1_4,1,4,2,30,181,121,21901,43500,44,2026102632,220000,5000,131250103,3445334962579,41,1075942,28235547120,25,656090,17218268224,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,45,2026102632,225000,5000,131255576,3445622209360,36,944604,24785581676,19,499085,13109862571,1,26122,682358884
lambda_1_4,1,4,2,30,181,121,21901,43500,46,2026102632,230000,5000,131257171,3445706124205,55,1443041,37861463083,9,235982,6187551428,3,78841,2071979553
lambda_1_4,1,4,2,30,181,121,21901,43500,47,2026102632,235000,5000,131260642,3445888676428,33,865900,22720800128,15,394009,10349573637,1,26267,689955289
lambda_1_4,1,4,2,30,181,121,21901,43500,48,2026102632,240000,5000,131258325,3445766779093,40,1049727,27548287617,20,525170,13790227804,1,26147,683665609
lambda_1_4,1,4,2,30,181,121,21901,43500,49,2026102632,245000,5000,131255476,3445617482880,32,840588,22081020226,19,498830,13096487624,1,26334,693479556
lambda_1_4,1,4,2,30,181,121,21901,43500,50,2026102632,250000,5000,131255640,3445625825318,46,1207181,31680328537,19,498507,13079501135,1,26295,691427025
lambda_1_4,1,4,2,30,181,121,21901,43500,51,2026102632,255000,5000,131257384,3445717628474,37,970914,25477794756,17,446197,11711336975,3,78820,2070866994
lambda_1_4,1,4,2,30,181,121,21901,43500,52,2026102632,260000,5000,131260717,3445892531395,40,1050306,27578724656,17,446026,11702341590,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,53,2026102632,265000,5000,131255831,3445636328491,32,839689,22033817025,16,420249,11038122133,2,52551,1380806921
lambda_1_4,1,4,2,30,181,121,21901,43500,54,2026102632,270000,5000,131253391,3445508379283,36,944713,24791303849,18,472292,12392279628,3,78871,2073571409
lambda_1_4,1,4,2,30,181,121,21901,43500,55,2026102632,275000,5000,131263126,3446019519668,38,997635,26191593551,23,603349,15827430641,2,52619,1384379761
lambda_1_4,1,4,2,30,181,121,21901,43500,56,2026102632,280000,5000,131255511,3445619588325,35,918258,24091475232,21,551239,14469837681,1,26286,690953796
lambda_1_4,1,4,2,30,181,121,21901,43500,57,2026102632,285000,5000,131257190,3445708024220,33,866202,22736638474,16,420297,11040650233,1,26299,691637401
lambda_1_4,1,4,2,30,181,121,21901,43500,58,2026102632,290000,5000,131256901,3445692167167,29,760938,19966532170,20,524691,13765122827,4,105017,2757152819
lambda_1_4,1,4,2,30,181,121,21901,43500,59,2026102632,295000,5000,131262427,3445981957887,46,1207442,31694031110,19,498583,13083502785,1,26305,691953025
lambda_1_4,1,4,2,30,181,121,21901,43500,60,2026102632,300000,5000,131252059,3445438013543,46,1207742,31709753136,16,419811,11015121945,1,26206,686754436
lambda_1_4,1,4,2,30,181,121,21901,43500,61,2026102632,305000,5000,131257502,3445724287256,38,997854,26203116894,25,655860,17206185954,1,26313,692373969
lambda_1_4,1,4,2,30,181,121,21901,43500,62,2026102632,310000,5000,131250418,3445351921460,39,1023784,26875374424,23,603749,15848515077,4,104978,2755100230
lambda_1_4,1,4,2,30,181,121,21901,43500,63,2026102632,315000,5000,131253397,3445509004449,30,787644,20679499068,17,446369,11720348665,1,26150,683822500
lambda_1_4,1,4,2,30,181,121,21901,43500,64,2026102632,320000,5000,131258165,3445758310071,54,1417134,37190282318,12,314951,8266240367,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,65,2026102632,325000,5000,131249087,3445282263299,42,1101896,28909087262,6,157566,4137872654,3,78786,2069081654
lambda_1_4,1,4,2,30,181,121,21901,43500,66,2026102632,330000,5000,131260129,3445861417091,29,760810,19959799968,28,735126,19300423052,1,26249,689010001
lambda_1_4,1,4,2,30,181,121,21901,43500,67,2026102632,335000,5000,131259796,3445844287096,33,865831,22717127771,23,603552,15838109906,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,68,2026102632,340000,5000,131257870,3445743393704,37,971228,25494303564,16,419879,11018697769,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,69,2026102632,345000,5000,131257719,3445735648733,37,971057,25485297463,18,472470,12401624116,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,70,2026102632,350000,5000,131257568,3445726990920,47,1233578,32377047178,15,393870,10342259026,0,0,0
lambda_1_4,1,4,2,30,181,121,21901,43500,71,2026102632,355000,5000,131252393,3445456060571,30,787580,20676173090,19,498460,13077035166,3,78729,2066110235
lambda_1_4,1,4,2,30,181,121,21901,43500,72,2026102632,360000,5000,131266396,3446191567240,36,945731,24844760283,10,262456,6888361010,1,26225,687750625
lambda_1_4,1,4,2,30,181,121,21901,43500,73,2026102632,365000,5000,131257578,3445728027776,39,1024062,26889929452,20,524804,13770998790,2,52558,1381174882
lambda_1_4,1,4,2,30,181,121,21901,43500,74,2026102632,370000,5000,131257076,3445701163044,39,1023498,26860349458,10,262310,6880680078,1,26285,690901225
