N,delta_M,mean_M_prime,root_gap,closure_C,A_M,B,A_p,delta_M_se,mean_M_prime_se,root_gap_se,closure_C_se,A_M_se,B_se,A_p_se
65,0.0011364167435807988,8.37922241329148,-0.00013563376315362815,1.0000780740301929,0.7360817636325788,1.7513026688162339,0.4203380978114989,5.8324703616968535e-05,0.00021754934937636414,6.960915922513773e-06,2.1686737032852527e-05,0.03777817507902041,4.5468987141000864e-05,0.021572343713424025
85,0.0008068887827052295,9.256743449224258,-8.716001742287935e-05,0.9999121782416144,0.6910425743876981,1.7495490801913278,0.39494855768100623,6.288153111476992e-05,0.00021766408098539895,6.79297065994692e-06,2.1831588408331958e-05,0.05385353728342148,4.113908900769592e-05,0.030781016845129485
