batch,counter_first,counter_last_exclusive,samples,ES_num_sum,ED_num_sum,OS_num_sum,OD_num_sum,ambient_ES_num_sum,ambient_ED_num_sum,ambient_OS_num_sum,ambient_OD_num_sum,Jlocal_ES_num_sum,Jlocal_ED_num_sum,Jlocal_OS_num_sum,Jlocal_OD_num_sum,ambient_h0_ES_num_sum,ambient_h0_ED_num_sum,ambient_h0_OS_num_sum,ambient_h0_OD_num_sum,ambient_h2_ES_num_sum,ambient_h2_ED_num_sum,ambient_h2_OS_num_sum,ambient_h2_OD_num_sum,ambient_h5_ES_num_sum,ambient_h5_ED_num_sum,ambient_h5_OS_num_sum,ambient_h5_OD_num_sum,ambient_h25_ES_num_sum,ambient_h25_ED_num_sum,ambient_h25_OS_num_sum,ambient_h25_OD_num_sum,partition_r0_ES_num_sum,partition_r0_ED_num_sum,partition_r0_OS_num_sum,partition_r0_OD_num_sum,partition_r2_ES_num_sum,partition_r2_ED_num_sum,partition_r2_OS_num_sum,partition_r2_OD_num_sum,partition_r5_ES_num_sum,partition_r5_ED_num_sum,partition_r5_OS_num_sum,partition_r5_OD_num_sum,partition_r25_ES_num_sum,partition_r25_ED_num_sum,partition_r25_OS_num_sum,partition_r25_OD_num_sum,Cact_ES_num_sum,Cact_ED_num_sum,Cact_OS_num_sum,Cact_OD_num_sum
0,18000000000,18000000200,200,-21597,13,-13485,-11,-799,-1,-9,1,28938,0,16518,0,800,0,-8,0,1599,1,1,-1,1600,0,0,0,1600,0,0,0,248363,19,43919,47,255874,38,46962,38,258858,-12,47714,16,259028,-6,47724,18,-1,1,1,-1
1,18000000200,18000000400,200,-21758,-26,-13774,-90,-799,1,-3,-27,28798,0,16546,0,800,0,-2,-26,1599,-1,1,1,1600,0,0,0,1600,0,0,0,248667,39,44605,117,255879,25,47385,43,258871,-13,48141,5,259043,-1,48149,21,-1,-1,1,1
2,18000000400,18000000600,200,-21212,-94,-13608,-134,-800,0,-14,46,28582,0,16646,0,800,0,-14,46,1600,0,0,0,1600,0,0,0,1600,0,0,0,248292,62,44478,172,255853,-37,47479,41,258856,2,48270,8,259047,-3,48233,11,0,0,0,0
3,18000000600,18000000800,200,-21747,-235,-13911,-131,-800,0,-28,4,29012,0,16640,0,800,0,-28,4,1600,0,0,0,1600,0,0,0,1600,0,0,0,248337,249,44935,139,255764,12,47646,-2,258865,-11,48323,7,259027,-13,48305,-3,0,0,0,0
4,18000000800,18000001000,200,-21797,-103,-13679,7,-800,0,40,-16,29094,0,16578,0,800,0,40,-16,1600,0,0,0,1600,0,0,0,1600,0,0,0,248320,52,44414,-2,255788,-46,47312,6,258836,-20,48128,12,259007,-15,48127,13,0,0,0,0
5,18000001000,18000001200,200,-21531,-1,-13543,-53,-798,0,-26,28,28672,0,16324,0,800,0,-24,28,1598,0,2,0,1600,0,0,0,1600,0,0,0,248493,33,44035,67,255806,-2,46792,8,258850,38,47640,12,259022,4,47616,6,-2,0,2,0
6,18000001200,18000001400,200,-21756,28,-14058,-22,-800,0,58,-14,28892,0,16784,0,800,0,58,-14,1600,0,0,0,1600,0,0,0,1600,0,0,0,248572,78,45532,10,255883,101,48243,-23,258829,3,48987,-7,259004,-2,48972,-18,0,0,0,0
7,18000001400,18000001600,200,-21513,-29,-13693,-81,-800,0,6,22,28734,0,16542,0,800,0,6,22,1600,0,0,0,1600,0,0,0,1600,0,0,0,248447,-25,44425,13,255840,-40,47270,-66,258881,-27,48033,1,259053,-13,48029,3,0,0,0,0
8,18000001600,18000001800,200,-21728,64,-13774,-10,-800,0,-6,-30,28914,0,16602,0,800,0,-6,-30,1600,0,0,0,1600,0,0,0,1600,0,0,0,248406,56,44204,74,255774,116,47010,68,258832,4,47910,-14,259014,0,47888,-10,0,0,0,0
9,18000001800,18000002000,200,-21719,29,-13801,139,-800,0,16,-24,28926,0,16602,0,800,0,16,-24,1600,0,0,0,1600,0,0,0,1600,0,0,0,248546,-42,44862,-58,255916,-8,47628,72,258867,9,48397,11,259030,14,48362,2,0,0,0,0
