n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs
65,8,1,first,52,200,7198,8343,66,82,52,7842,4130
65,7,4,second,52,200,7221,8308,60,85,55,7815,4140
65,8,1,first,53,200,7182,8327,60,77,63,8224,3951
65,7,4,second,53,200,7232,8432,64,78,58,8237,3919
65,8,1,first,54,200,7258,8332,69,71,60,7954,4059
65,7,4,second,54,200,7279,8340,64,69,67,7956,4076
65,8,1,first,55,200,7119,8306,57,77,66,8157,4002
65,7,4,second,55,200,7236,8310,64,75,61,8168,3917
65,8,1,first,56,200,7197,8330,56,79,65,8151,3977
65,7,4,second,56,200,7220,8342,56,82,62,8149,4030
65,8,1,first,57,200,7272,8340,64,73,63,8100,3998
65,7,4,second,57,200,7348,8425,75,67,58,8037,3943
65,8,1,first,58,200,7223,8307,57,76,67,8200,3915
65,7,4,second,58,200,7228,8420,61,81,58,8171,3975
65,8,1,first,59,200,7231,8277,61,68,71,8064,4029
65,7,4,second,59,200,7247,8418,66,71,63,8242,4021
65,8,1,first,60,200,7232,8320,57,72,71,8001,3953
65,7,4,second,60,200,7290,8347,67,60,73,8066,3957
65,8,1,first,61,200,7279,8306,68,67,65,7928,4028
65,7,4,second,61,200,7322,8371,64,77,59,7922,4045
65,8,1,first,62,200,7386,8493,68,70,62,8013,3960
65,7,4,second,62,200,7241,8285,61,69,70,8087,3897
65,8,1,first,63,200,7265,8288,67,57,76,8238,3987
65,7,4,second,63,200,7271,8314,62,77,61,8237,3969
65,8,1,first,64,200,7214,8330,63,72,65,8083,4118
65,7,4,second,64,200,7198,8395,62,79,59,8051,4125
65,8,1,first,65,200,7285,8420,64,77,59,8086,3983
65,7,4,second,65,200,7216,8380,61,77,62,8095,3953
65,8,1,first,66,200,7272,8340,60,76,64,8131,4016
65,7,4,second,66,200,7233,8329,63,80,57,8079,4013
65,8,1,first,67,200,7092,8331,51,78,71,8295,3835
65,7,4,second,67,200,7188,8288,54,71,75,8339,3734
65,8,1,first,68,200,7148,8311,61,73,66,8106,3955
65,7,4,second,68,200,7178,8304,51,81,68,8073,3954
65,8,1,first,69,200,7219,8307,57,69,74,8163,3939
65,7,4,second,69,200,7341,8428,64,75,61,8027,3919
65,8,1,first,70,200,7271,8405,64,58,78,8308,3849
65,7,4,second,70,200,7232,8301,57,74,69,8396,3835
65,8,1,first,71,200,7199,8310,65,73,62,7921,4058
65,7,4,second,71,200,7210,8366,62,79,59,7885,4033
65,8,1,first,72,200,7200,8293,63,74,63,8100,4040
65,7,4,second,72,200,7294,8380,62,75,63,8074,4033
65,8,1,first,73,200,7306,8379,63,81,56,7957,4038
65,7,4,second,73,200,7234,8342,61,74,65,8073,4013
65,8,1,first,74,200,7217,8285,63,76,61,8071,4027
65,7,4,second,74,200,7269,8299,61,79,60,8146,4066
65,8,1,first,75,200,7270,8305,59,74,67,8158,3928
65,7,4,second,75,200,7348,8401,68,73,59,8070,3993
65,8,1,first,76,200,7299,8360,63,67,70,8123,3880
65,7,4,second,76,200,7205,8430,59,80,61,8180,3976
65,8,1,first,77,200,7219,8385,56,75,69,7829,4151
65,7,4,second,77,200,7221,8296,64,68,68,7884,4080
65,8,1,first,78,200,7244,8342,59,78,63,7987,4007
65,7,4,second,78,200,7322,8365,67,74,59,8169,4061
65,8,1,first,79,200,7238,8325,64,79,57,7956,4032
65,7,4,second,79,200,7240,8313,61,72,67,7994,4061
65,8,1,first,80,200,7372,8390,74,66,60,8123,3959
65,7,4,second,80,200,7149,8354,55,82,63,8176,3926
65,8,1,first,81,200,7173,8307,64,73,63,7916,4019
65,7,4,second,81,200,7167,8360,63,85,52,7888,4043
65,8,1,first,82,200,7269,8325,70,73,57,8124,4031
65,7,4,second,82,200,7270,8402,59,77,64,8035,4003
65,8,1,first,83,200,7159,8250,54,71,75,8285,3997
65,7,4,second,83,200,7202,8428,57,84,59,8257,4024
65,8,1,first,84,200,7185,8350,57,90,53,8078,3981
65,7,4,second,84,200,7229,8323,53,81,66,8185,3977
65,8,1,first,85,200,7174,8340,58,76,66,8042,4003
65,7,4,second,85,200,7243,8414,63,72,65,8043,3984
65,8,1,first,86,200,7243,8406,68,72,60,8078,4047
65,7,4,second,86,200,7169,8266,60,73,67,8067,3916
65,8,1,first,87,200,7283,8365,70,68,62,8049,3982
65,7,4,second,87,200,7263,8301,67,66,67,8079,3965
65,8,1,first,88,200,7247,8409,59,74,67,8056,3981
65,7,4,second,88,200,7353,8340,69,67,64,8023,4041
65,8,1,first,89,200,7249,8355,72,66,62,7884,4141
65,7,4,second,89,200,7151,8239,60,75,65,7915,4144
