n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs
130,11,3,first,0,200,14733,16394,68,63,69,16208,7810
130,9,7,second,0,200,14725,16346,63,73,64,16184,7710
130,11,3,first,1,200,14741,16452,64,80,56,15901,7885
130,9,7,second,1,200,14596,16261,65,59,76,15838,7982
130,11,3,first,2,200,14537,16307,69,69,62,16037,7911
130,9,7,second,2,200,14630,16333,58,86,56,16071,8035
130,11,3,first,3,200,14523,16526,63,86,51,15788,8022
130,9,7,second,3,200,14632,16188,69,67,64,15864,8051
130,11,3,first,4,200,14507,16327,47,85,68,16621,7614
130,9,7,second,4,200,14530,16528,52,91,57,16529,7605
130,11,3,first,5,200,14575,16488,61,78,61,16155,7835
130,9,7,second,5,200,14730,16402,66,69,65,16060,7852
130,11,3,first,6,200,14398,16305,55,76,69,15816,7996
130,9,7,second,6,200,14523,16300,59,81,60,15849,7970
130,11,3,first,7,200,14388,16089,53,73,74,16217,7849
130,9,7,second,7,200,14569,16221,58,72,70,15974,7857
130,11,3,first,8,200,14684,16433,71,76,53,15551,8177
130,9,7,second,8,200,14611,16401,69,79,52,15800,8149
130,11,3,first,9,200,14549,16449,66,86,48,15532,8239
130,9,7,second,9,200,14658,16334,68,78,54,15401,8306
130,11,3,first,10,200,14606,16374,56,74,70,16240,7869
130,9,7,second,10,200,14644,16415,67,70,63,16272,7859
130,11,3,first,11,200,14572,16453,56,77,67,16168,7727
130,9,7,second,11,200,14538,16238,60,73,67,16190,7714
130,11,3,first,12,200,14614,16174,69,66,65,15702,8070
130,9,7,second,12,200,14513,16127,66,69,65,15819,8101
130,11,3,first,13,200,14517,16267,61,72,67,15903,8089
130,9,7,second,13,200,14684,16456,67,76,57,15865,7967
130,11,3,first,14,200,14510,16196,56,69,75,16262,7675
130,9,7,second,14,200,14586,16440,58,77,65,16279,7915
130,11,3,first,15,200,14541,16412,64,73,63,15956,7802
130,9,7,second,15,200,14713,16355,73,61,66,15898,7949
130,11,3,first,16,200,14594,16402,52,77,71,16397,7786
130,9,7,second,16,200,14763,16413,64,75,61,16502,7802
130,11,3,first,17,200,14646,16483,64,86,50,15902,7934
130,9,7,second,17,200,14648,16283,63,70,67,15966,7965
130,11,3,first,18,200,14629,16486,70,72,58,15757,7923
130,9,7,second,18,200,14681,16436,69,79,52,16022,7853
130,11,3,first,19,200,14775,16384,67,76,57,15642,8169
130,9,7,second,19,200,14698,16308,69,64,67,15914,8002
130,11,3,first,20,200,14641,16405,55,83,62,16191,7812
130,9,7,second,20,200,14559,16295,58,75,67,16146,7792
130,11,3,first,21,200,14762,16434,69,71,60,15654,8046
130,9,7,second,21,200,14496,16334,68,71,61,15562,8047
130,11,3,first,22,200,14637,16364,65,80,55,15777,8029
130,9,7,second,22,200,14666,16329,71,71,58,15864,8065
130,11,3,first,23,200,14649,16368,69,67,64,15587,8036
130,9,7,second,23,200,14844,16523,72,78,50,15489,8128
130,11,3,first,24,200,14586,16299,52,69,79,16375,7794
130,9,7,second,24,200,14663,16391,63,70,67,16258,7680
130,11,3,first,25,200,14698,16403,66,76,58,16102,7824
130,9,7,second,25,200,14555,16291,55,84,61,16005,7915
