k,count,sum_q,sum_e,sum_sstar,sum_qsstar,sum_esstar,sum_qplus,sum_eplus,sum_splus,sum_sminus_qplus,sum_sminus_eplus
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,2,-2,2,46,-46,46,-2,2,40,-46,46
3,42,-42,42,856,-856,856,-42,42,730,-856,856
4,420,-420,420,7612,-7612,7612,-420,420,6360,-7612,7612
5,2660,-2660,2660,43184,-43184,43184,-2594,2594,35422,-42068,42068
6,11970,-11838,11838,176362,-174394,174394,-10782,10782,142888,-158434,158434
7,40698,-38270,38270,555928,-522852,522852,-30356,30628,449728,-413700,417124
8,108528,-88568,89328,1418096,-1162128,1170968,-53464,60828,1160680,-703686,794518
9,232560,-136772,150268,3023812,-1815240,1970232,-36528,98336,2531484,-514476,1274068
10,406980,-108744,199900,5488172,-1595616,2701980,82302,178202,4726274,998652,2348992
11,587860,52340,267476,8521380,511120,3799272,301760,342124,7554600,4207250,4832074
12,705432,289364,386164,11277692,4340116,5999908,518670,528574,10261638,8141320,8313048
13,705432,461154,489298,12623406,8038736,8583056,613814,615142,11724630,10896332,10922284
14,587860,478676,483796,11840060,9532252,9643612,554034,554110,11160922,11124446,11126122
15,406980,369836,370368,9216396,8335976,8348904,397786,397786,8776778,8998988,8998988
16,232560,223076,223100,5892468,5642004,5642652,230816,230816,5651192,5846616,5846616
17,108528,106784,106784,3055888,3004944,3004944,108320,108320,2945696,3049840,3049840
18,40698,40490,40490,1264166,1257494,1257494,40686,40686,1223264,1263782,1263782
19,11970,11958,11958,407200,406780,406780,11970,11970,395218,407200,407200
20,2660,2660,2660,98428,98428,98428,2660,2660,95768,98428,98428
21,420,420,420,16800,16800,16800,420,420,16380,16800,16800
22,42,42,42,1806,1806,1806,42,42,1764,1806,1806
23,2,2,2,92,92,92,2,2,90,92,92
24,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
