K,q,count,sum_S
0,-1,1,27
1,-1,13,312
2,-1,78,1638
3,-1,286,5148
4,-1,715,10751
5,-1,1235,15054
5,0,52,676
6,-1,1352,12948
6,0,364,3796
7,-1,780,5720
7,0,858,7150
7,1,78,624
8,-1,169,949
8,0,780,5408
8,1,338,2262
9,0,260,1716
9,1,455,2860
10,0,26,208
10,1,260,1820
11,1,78,676
12,1,13,143
13,1,1,14
