geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,outer_seed,completion_seed,inner_replicates,sample_begin,samples,count_14_23,sum_delta_J_14_23,sum_delta_J_inner_square_14_23,sum_delta_J2_individual_14_23,sum_revealed,sum_revealed2,sum_revealed_14_23,max_revealed
lambda_1_4,1,4,1,15,91,61,5551,10950,17,2026102633,2026102634,8,17000,1000,1,-235,55225,9301,2205313,11421776657,5769,9281
lambda_1_4,1,4,1,15,91,61,5551,10950,18,2026102633,2026102634,8,18000,1000,2,-278,123514,28930,2049928,10586283846,14902,8855
lambda_1_4,1,4,1,15,91,61,5551,10950,19,2026102633,2026102634,8,19000,1000,1,-442,195364,28226,2472874,13586595196,6068,9247
lambda_1_3,1,3,1,14,85,57,4845,9548,0,2026102633,2026102634,8,0,1000,1,298,88804,15540,2071299,9691290325,5030,7973
lambda_1_3,1,3,1,14,85,57,4845,9548,1,2026102633,2026102634,8,1000,1000,0,0,0,0,2003798,9129426344,0,7670
lambda_1_3,1,3,1,14,85,57,4845,9548,2,2026102633,2026102634,8,2000,1000,3,9,170993,39809,1899638,8403183494,17661,7839
lambda_1_3,1,3,1,14,85,57,4845,9548,3,2026102633,2026102634,8,3000,1000,1,46,2116,4610,2018850,9333181928,6952,8047
lambda_1_3,1,3,1,14,85,57,4845,9548,4,2026102633,2026102634,8,4000,1000,0,0,0,0,1965553,8995451837,0,8106
lambda_1_3,1,3,1,14,85,57,4845,9548,5,2026102633,2026102634,8,5000,1000,2,-273,37809,12201,1885920,8338407388,10812,8333
lambda_1_3,1,3,1,14,85,57,4845,9548,6,2026102633,2026102634,8,6000,1000,3,115,72233,21479,2006631,9317525623,18198,7967
lambda_1_3,1,3,1,14,85,57,4845,9548,7,2026102633,2026102634,8,7000,1000,1,183,33489,10205,1991507,9087280955,4723,8078
lambda_1_3,1,3,1,14,85,57,4845,9548,8,2026102633,2026102634,8,8000,1000,1,81,6561,3223,1883696,8462165864,5021,8303
lambda_1_3,1,3,1,14,85,57,4845,9548,9,2026102633,2026102634,8,9000,1000,2,126,11466,8400,1958460,8719140888,9665,7863
lambda_1_3,1,3,1,14,85,57,4845,9548,10,2026102633,2026102634,8,10000,1000,1,364,132496,20922,1853630,8270861034,7848,8217
lambda_1_3,1,3,1,14,85,57,4845,9548,11,2026102633,2026102634,8,11000,1000,1,-137,18769,6673,2036636,9254664180,6155,8012
lambda_1_3,1,3,1,14,85,57,4845,9548,12,2026102633,2026102634,8,12000,1000,0,0,0,0,2109372,9858296622,0,8036
lambda_1_3,1,3,1,14,85,57,4845,9548,13,2026102633,2026102634,8,13000,1000,2,-22,23570,10128,2058449,9568795377,13065,7938
lambda_1_3,1,3,1,14,85,57,4845,9548,14,2026102633,2026102634,8,14000,1000,0,0,0,0,1921320,8561058872,0,8078
lambda_1_3,1,3,1,14,85,57,4845,9548,15,2026102633,2026102634,8,15000,1000,2,-45,41625,17885,2029587,9416404589,14816,8114
lambda_1_3,1,3,1,14,85,57,4845,9548,16,2026102633,2026102634,8,16000,1000,0,0,0,0,2038311,9401620237,0,8038
lambda_1_3,1,3,1,14,85,57,4845,9548,17,2026102633,2026102634,8,17000,1000,0,0,0,0,2058810,9583830948,0,7837
lambda_1_3,1,3,1,14,85,57,4845,9548,18,2026102633,2026102634,8,18000,1000,0,0,0,0,1848920,8038933526,0,7758
lambda_1_3,1,3,1,14,85,57,4845,9548,19,2026102633,2026102634,8,19000,1000,1,71,5041,1145,2139478,10147088036,2657,8044
lambda_2_3,2,3,1,15,91,61,5551,10950,0,2026102633,2026102634,8,0,1000,7,230,61908,46984,2511874,13400465686,46186,9023
lambda_2_3,2,3,1,15,91,61,5551,10950,1,2026102633,2026102634,8,1000,1000,7,763,264615,62305,2402726,12700664554,43345,8867
lambda_2_3,2,3,1,15,91,61,5551,10950,2,2026102633,2026102634,8,2000,1000,7,-517,161043,52967,2430680,12742870504,42181,9173
lambda_2_3,2,3,1,15,91,61,5551,10950,3,2026102633,2026102634,8,3000,1000,7,-331,151157,45643,2379034,12263883068,41099,9206
lambda_2_3,2,3,1,15,91,61,5551,10950,4,2026102633,2026102634,8,4000,1000,8,-506,102098,55806,2480687,13069963121,48466,9425
lambda_2_3,2,3,1,15,91,61,5551,10950,5,2026102633,2026102634,8,5000,1000,3,-68,111030,25592,2367031,12203544767,19517,9329
lambda_2_3,2,3,1,15,91,61,5551,10950,6,2026102633,2026102634,8,6000,1000,6,871,455093,81409,2491747,13331859411,38341,9516
lambda_2_3,2,3,1,15,91,61,5551,10950,7,2026102633,2026102634,8,7000,1000,4,-430,211078,36868,2542067,13647845413,24965,9224
lambda_2_3,2,3,1,15,91,61,5551,10950,8,2026102633,2026102634,8,8000,1000,5,-407,52011,34759,2705703,14921535741,33955,9380
lambda_2_3,2,3,1,15,91,61,5551,10950,9,2026102633,2026102634,8,9000,1000,9,336,210972,63858,2448017,13112128607,56981,9517
lambda_2_3,2,3,1,15,91,61,5551,10950,10,2026102633,2026102634,8,10000,1000,1,-68,4624,1558,2477051,13132610913,979,9077
lambda_2_3,2,3,1,15,91,61,5551,10950,11,2026102633,2026102634,8,11000,1000,6,-365,311447,76909,2519434,13542789140,38470,9690
lambda_2_3,2,3,1,15,91,61,5551,10950,12,2026102633,2026102634,8,12000,1000,3,-383,55985,19161,2500639,13337776189,20385,9510
lambda_2_3,2,3,1,15,91,61,5551,10950,13,2026102633,2026102634,8,13000,1000,6,44,127314,27902,2628754,14267595508,33450,9497
lambda_2_3,2,3,1,15,91,61,5551,10950,14,2026102633,2026102634,8,14000,1000,7,-171,22351,21413,2495344,13007723078,31578,9314
lambda_2_3,2,3,1,15,91,61,5551,10950,15,2026102633,2026102634,8,15000,1000,2,62,28372,20930,2460926,12684900808,14612,9130
lambda_2_3,2,3,1,15,91,61,5551,10950,16,2026102633,2026102634,8,16000,1000,6,505,252093,62843,2506845,13088606361,39299,9197
lambda_2_3,2,3,1,15,91,61,5551,10950,17,2026102633,2026102634,8,17000,1000,8,-974,198920,62552,2467440,12826940090,47345,9092
lambda_2_3,2,3,1,15,91,61,5551,10950,18,2026102633,2026102634,8,18000,1000,7,-243,301483,61537,2291637,11937997501,41740,8914
lambda_2_3,2,3,1,15,91,61,5551,10950,19,2026102633,2026102634,8,19000,1000,4,-1250,603838,96712,2571636,13840970280,27453,9222
lambda_3_4,3,4,1,14,85,57,4845,9548,0,2026102633,2026102634,8,0,1000,6,-189,373187,68297,2206837,10270503773,27888,7963
lambda_3_4,3,4,1,14,85,57,4845,9548,1,2026102633,2026102634,8,1000,1000,8,-937,509121,92277,2083733,9525991163,46337,7888
lambda_3_4,3,4,1,14,85,57,4845,9548,2,2026102633,2026102634,8,2000,1000,15,-902,369204,104016,2139806,9693658710,78875,7812
lambda_3_4,3,4,1,14,85,57,4845,9548,3,2026102633,2026102634,8,3000,1000,9,-726,155650,50086,2226393,10420351375,45346,8084
lambda_3_4,3,4,1,14,85,57,4845,9548,4,2026102633,2026102634,8,4000,1000,9,-544,321220,68524,2155776,9918503894,49193,8105
lambda_3_4,3,4,1,14,85,57,4845,9548,5,2026102633,2026102634,8,5000,1000,12,42,175446,67188,2066274,9287668230,66229,8330
lambda_3_4,3,4,1,14,85,57,4845,9548,6,2026102633,2026102634,8,6000,1000,15,-208,362044,122502,2211101,10347370155,90179,7936
lambda_3_4,3,4,1,14,85,57,4845,9548,7,2026102633,2026102634,8,7000,1000,13,-252,317852,88054,2137847,9812810283,72956,8078
lambda_3_4,3,4,1,14,85,57,4845,9548,8,2026102633,2026102634,8,8000,1000,11,157,140823,71509,2116671,9624679781,60049,8281
lambda_3_4,3,4,1,14,85,57,4845,9548,9,2026102633,2026102634,8,9000,1000,11,648,269942,69502,2208406,10127854934,55243,7863
lambda_3_4,3,4,1,14,85,57,4845,9548,10,2026102633,2026102634,8,10000,1000,8,-578,331892,65122,2031515,9207012881,46101,7877
lambda_3_4,3,4,1,14,85,57,4845,9548,11,2026102633,2026102634,8,11000,1000,10,-1065,222163,68003,2200332,10061108126,63137,8003
lambda_3_4,3,4,1,14,85,57,4845,9548,12,2026102633,2026102634,8,12000,1000,14,-23,536469,137911,2268549,10645394703,71662,7978
lambda_3_4,3,4,1,14,85,57,4845,9548,13,2026102633,2026102634,8,13000,1000,11,-78,253640,64952,2211199,10264506539,60501,7937
lambda_3_4,3,4,1,14,85,57,4845,9548,14,2026102633,2026102634,8,14000,1000,11,-730,231164,75944,2190732,10125093292,59921,8083
lambda_3_4,3,4,1,14,85,57,4845,9548,15,2026102633,2026102634,8,15000,1000,11,-454,167442,68860,2230233,10452485389,65031,8114
lambda_3_4,3,4,1,14,85,57,4845,9548,16,2026102633,2026102634,8,16000,1000,8,-410,202808,49156,2147103,9923021967,36989,8036
lambda_3_4,3,4,1,14,85,57,4845,9548,17,2026102633,2026102634,8,17000,1000,9,-310,121916,45174,2216852,10363300758,44110,7825
lambda_3_4,3,4,1,14,85,57,4845,9548,18,2026102633,2026102634,8,18000,1000,7,-39,217985,49891,2052982,8962437898,28650,7776
lambda_3_4,3,4,1,14,85,57,4845,9548,19,2026102633,2026102634,8,19000,1000,11,-176,215828,78400,2275246,10872064516,57017,8298
