stage,mode,N,a1,b1,a2,b2,t,p,channel,observable,mean,batch_se,z_batch,samples,batches
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_0,primal_delta,0.0005450000000000177,0.0011938322856732402,0.45651303498855766,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_0,matching_delta,-0.0022649999999999615,0.0014864701211435832,-1.5237440482540163,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_0,M_delta,0.002809999999999979,0.001724222173985458,1.6297203703770942,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_0,S_delta,-0.0008599999999999719,0.0010364260452962485,-0.8297745930865259,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o1_primal,0.520235,0.0011588850131415984,448.90993851901254,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o1_matching,0.51762,0.001164442491404994,444.52173793095574,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o2_primal,0.51842,0.001395945256052233,371.3755949614416,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o2_matching,0.518615,0.0014086625795973642,368.1612669431703,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o1_M,0.002615000000000034,0.001896149491663786,1.3791106721788529,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o2_M,-0.00019500000000005624,0.0022659083806442124,-0.08605820149913408,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o1_S,0.5189275,0.0006712858340920246,773.0350822938143,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,o2_S,0.5185175,0.0008263846036549165,627.4530015524389,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,primal_delta,0.001815000000000011,0.0015119397614009823,1.2004446515238207,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,matching_delta,-0.0009950000000000792,0.0011767590416501008,-0.8455426852763744,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,M_delta,0.00281000000000009,0.0017242221739854628,1.6297203703771541,200000,20
pilot_n65,site,65,8,1,7,4,1,0.59274605079,direction_1,S_delta,0.00040999999999996595,0.0010450484753299592,0.39232629842411304,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o1_primal,0.3146,0.001090219678490727,288.56569570962466,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o1_matching,0.311985,0.0010829121313433176,288.09816694267954,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o2_primal,0.31476,0.0011213337922689253,280.70143089428296,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o2_matching,0.313895,0.0009875934332880532,317.83828184734966,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o1_M,0.0026149999999999785,0.0018961494916637902,1.3791106721788204,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o2_M,0.0008650000000000047,0.0017966822493872302,0.4814429486877929,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o1_S,0.3132925,0.000530841871092761,590.1804606239402,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,o2_S,0.3143275,0.0005561909341792242,565.1431562146114,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,primal_delta,-0.00015999999999999348,0.000895879456177001,-0.1785954560033821,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,matching_delta,-0.0019099999999999673,0.0010888888590523914,-1.7540816807163866,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,M_delta,0.0017499999999999738,0.0015160457568431445,1.1543187216486073,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,cross,S_delta,-0.0010349999999999804,0.0006477196843339587,-1.5979134570601428,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o1_primal,0.35162,0.001062781851161327,330.8487057958098,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o1_matching,0.349005,0.0012407229429057193,281.29164693500826,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o2_primal,0.351115,0.0013685042737852226,256.5684351345366,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o2_matching,0.35025,0.0007960263153544873,439.99801670378986,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o1_M,0.0026149999999999785,0.0018961494916637886,1.3791106721788216,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o2_M,0.0008650000000000047,0.0017966822493872302,0.4814429486877929,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o1_S,0.3503125,0.0006600027412223774,530.7743106508823,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,o2_S,0.3506825,0.0006679926232652878,524.9795997533485,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,primal_delta,0.0005049999999999777,0.0011259960502875471,0.44849180409737244,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,matching_delta,-0.0012449999999999961,0.0011335430017613375,-1.0983262197071244,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,M_delta,0.0017499999999999738,0.001516045756843146,1.1543187216486062,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,both,S_delta,-0.0003700000000000092,0.0008377319003369174,-0.44166874849961346,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o1_primal,0.688015,0.0010829121313433159,635.3377897304933,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o1_matching,0.6854,0.0010902196784907255,628.680635217346,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o2_primal,0.686105,0.0009875934332880527,694.7241414067632,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o2_matching,0.68524,0.0011213337922689264,611.0936856843254,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o1_M,0.002615000000000034,0.0018961494916637873,1.3791106721788517,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o2_M,0.0008650000000000047,0.001796682249387231,0.4814429486877927,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o1_S,0.6867075,0.0005308418710927591,1293.619696175031,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,o2_S,0.6856724999999999,0.0005561909341792236,1232.8005687684456,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,primal_delta,0.0019100000000000783,0.0010888888590523962,1.754081680716481,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,matching_delta,0.000160000000000049,0.000895879456177002,0.17859545600344387,200000,20
pilot_n65,site,65,8,1,7,4,4,0.59274605079,either,M_delta,0.0017500000000000293,0.0015160457568431519,1.1543187216486381,200000,20
