n,a,b,orientation,batch,k,samples,sum_rank1,sum_rank1_s,sum_line4_re,sum_line4_im,sum_line4_s_re,sum_line4_s_im
130,11,3,first,0,0,1000,0,0,0,0,0,0
130,11,3,first,0,1,1000,0,0,0,0,0,0
130,11,3,first,0,2,1000,0,0,0,0,0,0
130,11,3,first,0,3,1000,0,0,0,0,0,0
130,11,3,first,0,4,1000,0,0,0,0,0,0
130,11,3,first,0,5,1000,0,0,0,0,0,0
130,11,3,first,0,6,1000,0,0,0,0,0,0
130,11,3,first,0,7,1000,0,0,0,0,0,0
130,11,3,first,0,8,1000,0,0,0,0,0,0
130,11,3,first,0,9,1000,0,0,0,0,0,0
130,11,3,first,0,10,1000,0,0,0,0,0,0
130,11,3,first,0,11,1000,0,0,0,0,0,0
130,11,3,first,0,12,1000,0,0,0,0,0,0
130,11,3,first,0,13,1000,0,0,0,0,0,0
130,11,3,first,0,14,1000,0,0,0,0,0,0
130,11,3,first,0,15,1000,0,0,0,0,0,0
130,11,3,first,0,16,1000,0,0,0,0,0,0
130,11,3,first,0,17,1000,0,0,0,0,0,0
130,11,3,first,0,18,1000,0,0,0,0,0,0
130,11,3,first,0,19,1000,0,0,0,0,0,0
130,11,3,first,0,20,1000,0,0,0,0,0,0
130,11,3,first,0,21,1000,0,0,0,0,0,0
130,11,3,first,0,22,1000,0,0,0,0,0,0
130,11,3,first,0,23,1000,0,0,0,0,0,0
130,11,3,first,0,24,1000,0,0,0,0,0,0
130,11,3,first,0,25,1000,0,0,0,0,0,0
130,11,3,first,0,26,1000,0,0,0,0,0,0
130,11,3,first,0,27,1000,0,0,0,0,0,0
130,11,3,first,0,28,1000,0,0,0,0,0,0
130,11,3,first,0,29,1000,0,0,0,0,0,0
130,11,3,first,0,30,1000,0,0,0,0,0,0
130,11,3,first,0,31,1000,0,0,0,0,0,0
130,11,3,first,0,32,1000,0,0,0,0,0,0
130,11,3,first,0,33,1000,0,0,0,0,0,0
130,11,3,first,0,34,1000,0,0,0,0,0,0
130,11,3,first,0,35,1000,0,0,0,0,0,0
130,11,3,first,0,36,1000,0,0,0,0,0,0
130,11,3,first,0,37,1000,0,0,0,0,0,0
130,11,3,first,0,38,1000,0,0,0,0,0,0
130,11,3,first,0,39,1000,0,0,0,0,0,0
130,11,3,first,0,40,1000,0,0,0,0,0,0
130,11,3,first,0,41,1000,1,12,0.484497041420118346178,0.874792899408283974871,5.81396449704141993209,10.4975147928994072544
130,11,3,first,0,42,1000,1,12,0.484497041420118346178,0.874792899408283974871,5.81396449704141993209,10.4975147928994072544
130,11,3,first,0,43,1000,1,13,0.484497041420118346178,0.874792899408283974871,6.29846153846153811173,11.3723076923076913403
130,11,3,first,0,44,1000,1,14,0.484497041420118346178,0.874792899408283974871,6.78295857988165717956,12.2471005917159754262
130,11,3,first,0,45,1000,1,13,0.484497041420118346178,0.874792899408283974871,6.29846153846153811173,11.3723076923076913403
130,11,3,first,0,46,1000,1,13,0.484497041420118346178,0.874792899408283974871,6.29846153846153811173,11.3723076923076913403
130,11,3,first,0,47,1000,1,14,0.484497041420118346178,0.874792899408283974871,6.78295857988165717956,12.2471005917159754262
130,11,3,first,0,48,1000,2,27,0.968994082840236692356,1.74958579881656794974,13.0814201183431944031,23.6194082840236667664
130,11,3,first,0,49,1000,2,28,0.968994082840236692356,1.74958579881656794974,13.5659171597633125828,24.4942011834319508523
130,11,3,first,0,50,1000,2,28,0.968994082840236692356,1.74958579881656794974,13.5659171597633125828,24.4942011834319508523
130,11,3,first,0,51,1000,5,69,2.4224852071005917864,4.37396449704141954129,33.4302958579881632772,60.3607100591715948212
130,11,3,first,0,52,1000,9,113,4.36047337278106450498,7.87313609467455588486,54.7481656804733773924,98.8515976331360803897
130,11,3,first,0,53,1000,11,133,5.32946745562130086427,9.62272189349112316847,64.4381065088757480908,116.347455621301762108
130,11,3,first,0,54,1000,14,179,6.7829585798816554032,12.2471005917159754262,86.7249704142011808017,156.587928994082830059
130,11,3,first,0,55,1000,16,203,7.75195266272189176249,13.9966863905325435979,98.3528994082840171131,177.582958579881619698
130,11,3,first,0,56,1000,19,236,9.2054437869822471896,16.6210650887573940793,114.341301775147911712,206.451124260354959006
130,11,3,first,0,57,1000,23,281,11.1434319526627199082,20.1202366863905304228,136.143668639053231573,245.816804733727735766
130,11,3,first,0,58,1000,29,336,14.050414201183428986,25.3689940828402349382,162.791005917159765204,293.930414201183339173
130,11,3,first,0,59,1000,30,341,14.5349112426035471657,26.2437869822485190241,165.213491124260372089,298.304378698224752497
130,11,3,first,0,60,1000,35,388,16.9573964497041416166,30.6177514792899394536,187.984852071005974494,339.419644970414196905
130,11,3,first,0,61,1000,46,461,21.3178698224852212206,38.4908875739644926739,214.632189349112508125,387.533254437869686626
130,11,3,first,0,62,1000,60,598,27.1318343195266606926,48.9884023668639017046,270.349349112426011743,488.134437869822306766
130,11,3,first,0,63,1000,72,701,32.9457988165681001647,59.4859171597633107353,320.252544378698246419,578.238106508875489453
130,11,3,first,0,64,1000,91,866,41.1822485207101394167,74.3573964497040549304,392.44260355029598486,708.582248520709526929
130,11,3,first,0,65,1000,120,1099,53.2946745562131383167,96.2272189349109794421,488.857514792899337408,882.666035502957697645
130,11,3,first,0,66,1000,143,1268,60.5621301775149376567,109.349112426035134149,543.605680473372558481,981.51763313609353645
130,11,3,first,0,67,1000,174,1477,73.6435502958580343602,132.968520710058612622,630.330650887573483487,1138.10556213017639493
130,11,3,first,0,68,1000,198,1603,84.3024852071005170728,152.213964497040706192,687.501301775147339868,1241.33112426035449971
130,11,3,first,0,69,1000,235,1857,96.4149112426033383372,174.083786982247630704,771.803786982247743254,1393.54508875739384166
130,11,3,first,0,70,1000,276,2123,108.527337278106159602,195.953609467454555215,851.261301775146989712,1537.01112426035365388
130,11,3,first,0,71,1000,320,2409,125.000236686389996521,225.696568047335972551,960.757633136093659232,1734.71431952662646836
130,11,3,first,0,72,1000,371,2720,143.895621301774866652,259.813491124258916898,1074.61443786982226811,1940.29065088757283775
130,11,3,first,0,73,1000,399,2885,164.244497041420203232,296.554792899407743789,1191.37822485207357204,2151.11573964496983535
130,11,3,first,0,74,1000,433,3044,176.841420118343506829,319.299408284023684246,1245.15739644970699374,2248.21775147928838123
130,11,3,first,0,75,1000,450,3151,180.232899408284396259,325.422958579881822061,1266.9597633136127115,2287.58343195266206749
130,11,3,first,0,76,1000,477,3314,186.531360946746048057,336.795266272189792289,1313.95597633136549121,2372.43834319526604304
130,11,3,first,0,77,1000,475,3238,182.655384615385031566,329.796923076923349072,1278.10319526627586129,2307.7036686390547402
130,11,3,first,0,78,1000,468,3164,187.015857988166175119,337.670059171598097691,1291.66911242603987375,2332.19786982248479035
130,11,3,first,0,79,1000,465,3106,191.376331360947318672,345.543195266272846311,1291.66911242604010113,2332.19786982248615459
130,11,3,first,0,80,1000,449,2985,181.686390532544777443,328.047337278106738268,1218.5100591716013696,2200.10414201183539262
130,11,3,first,0,81,1000,432,2887,177.32591715976363389,320.174201183431989648,1197.19218934911509677,2161.61325443787154654
130,11,3,first,0,82,1000,392,2592,158.915029585798805556,286.932071005916384365,1066.86248520710114462,1926.29396449704199767
130,11,3,first,0,83,1000,347,2234,139.050650887573596037,251.065562130176004985,914.730414201183748446,1651.60899408284035417
130,11,3,first,0,84,1000,305,1982,121.608757396449206567,219.573017751478033688,804.265088757396370056,1452.15621301775058782
130,11,3,first,0,85,1000,242,1608,103.682366863905031096,187.205680473371785411,695.737751479289727286,1256.20260355029540733
130,11,3,first,0,86,1000,203,1376,86.7249704142010813257,156.587928994082091094,593.024378698224950313,1070.74650887573898217
130,11,3,first,0,87,1000,169,1151,73.1590532544379215096,132.093727810650335641,503.39242603550280819,908.909822485206973397
130,11,3,first,0,88,1000,125,868,56.6861538461539780087,102.350769230768918305,398.256568047337339067,719.079763313609419129
130,11,3,first,0,89,1000,98,697,45.5427218934912190207,82.2305325443785477546,328.004497041420222558,592.234792899408034828
130,11,3,first,0,90,1000,71,512,32.4613017751479802087,58.6111242603550266494,238.372544378698279388,430.398106508875400777
130,11,3,first,0,91,1000,59,423,26.6473372781065407366,48.1136094674556176187,195.252307692307766729,352.54153846153832319
130,11,3,first,0,92,1000,48,359,22.2868639053254611326,40.2404733727810608457,169.089467455621360159,305.302721893490968341
130,11,3,first,0,93,1000,36,278,16.4728994082840216606,29.7429585798816553677,128.87621301775146776,232.694911242603467372
130,11,3,first,0,94,1000,25,192,11.1434319526627199082,20.1202366863905304228,87.2094674556212936523,157.462721893491078617
130,11,3,first,0,95,1000,23,180,10.1744378698224835489,18.3706508875739622511,81.3955029585798683911,146.965207100591669587
130,11,3,first,0,96,1000,16,124,6.7829585798816554032,12.2471005917159754262,54.2636686390532645419,97.9768047337277891984
130,11,3,first,0,97,1000,9,81,3.39147928994082814569,6.12355029585798771308,32.4613017751479304707,58.611124260355019544
130,11,3,first,0,98,1000,7,65,3.39147928994082814569,6.12355029585798771308,31.4923076923076941114,56.8615384615384584777
130,11,3,first,0,99,1000,5,47,2.4224852071005917864,4.37396449704141954129,22.7713609467455597724,41.1152662721893449316
130,11,3,first,0,100,1000,5,48,2.4224852071005917864,4.37396449704141954129,23.2558579881656797284,41.9900591715976290175
130,11,3,first,0,101,1000,3,26,1.45349112426035498302,2.62437869822485181359,12.5969230769230779998,22.7446153846153826805
130,11,3,first,0,102,1000,3,26,1.45349112426035498302,2.62437869822485181359,12.5969230769230779998,22.7446153846153826805
130,11,3,first,0,103,1000,1,10,0.484497041420118346178,0.874792899408283974871,4.8449704142011835728,8.74792899408283908258
