n,a,b,orientation,batch,k,samples,sum_rank1,sum_rank1_s,sum_line4_re,sum_line4_im,sum_line4_s_re,sum_line4_s_im
85,9,2,first,0,0,1000,0,0,0,0,0,0
85,9,2,first,0,1,1000,0,0,0,0,0,0
85,9,2,first,0,2,1000,0,0,0,0,0,0
85,9,2,first,0,3,1000,0,0,0,0,0,0
85,9,2,first,0,4,1000,0,0,0,0,0,0
85,9,2,first,0,5,1000,0,0,0,0,0,0
85,9,2,first,0,6,1000,0,0,0,0,0,0
85,9,2,first,0,7,1000,0,0,0,0,0,0
85,9,2,first,0,8,1000,0,0,0,0,0,0
85,9,2,first,0,9,1000,0,0,0,0,0,0
85,9,2,first,0,10,1000,0,0,0,0,0,0
85,9,2,first,0,11,1000,0,0,0,0,0,0
85,9,2,first,0,12,1000,0,0,0,0,0,0
85,9,2,first,0,13,1000,0,0,0,0,0,0
85,9,2,first,0,14,1000,0,0,0,0,0,0
85,9,2,first,0,15,1000,0,0,0,0,0,0
85,9,2,first,0,16,1000,0,0,0,0,0,0
85,9,2,first,0,17,1000,0,0,0,0,0,0
85,9,2,first,0,18,1000,0,0,0,0,0,0
85,9,2,first,0,19,1000,0,0,0,0,0,0
85,9,2,first,0,20,1000,0,0,0,0,0,0
85,9,2,first,0,21,1000,0,0,0,0,0,0
85,9,2,first,0,22,1000,0,0,0,0,0,0
85,9,2,first,0,23,1000,0,0,0,0,0,0
85,9,2,first,0,24,1000,0,0,0,0,0,0
85,9,2,first,0,25,1000,0,0,0,0,0,0
85,9,2,first,0,26,1000,0,0,0,0,0,0
85,9,2,first,0,27,1000,0,0,0,0,0,0
85,9,2,first,0,28,1000,0,0,0,0,0,0
85,9,2,first,0,29,1000,1,6,0.641245674740484439269,0.767335640138408270339,3.84747404844290663561,4.60401384083044984408
85,9,2,first,0,30,1000,3,20,1.92373702422145331781,2.30200692041522492204,12.8249134948096887854,15.3467128027681649627
85,9,2,first,0,31,1000,4,31,2.56498269896193775708,3.06934256055363308135,19.8786159169550202819,23.7874048442906556033
