batch,replica_first,samples,cpu_seconds,comparator_classification_cpu_seconds,base_sha256,l0_F_re,l0_F_im,l0_energy_re,l0_energy_im,l0_euler_energy,l0_degree5_energy,l1_F_re,l1_F_im,l1_energy_re,l1_energy_im,l1_euler_energy,l1_degree5_energy,l2_F_re,l2_F_im,l2_energy_re,l2_energy_im,l2_euler_energy,l2_degree5_energy,l3_F_re,l3_F_im,l3_energy_re,l3_energy_im,l3_euler_energy,l3_degree5_energy,l4_F_re,l4_F_im,l4_energy_re,l4_energy_im,l4_euler_energy,l4_degree5_energy,l5_F_re,l5_F_im,l5_energy_re,l5_energy_im,l5_euler_energy,l5_degree5_energy,unfiltered_variance,euler_variance
0,43700000000,200,0.701422,0.19528800000000013,c0a645eace08c63b874973b618667ec3e344491f4f8d5cf32d0bb881fe87404b,2.1666666666666665,2.598076211353316,16.888888888888847,-4.651619364994135e-18,87.36734693877547,200.0,-4.0,-2.309401076758503,-0.8333333333333335,-1.250925583244189,24.729591836734684,8.0,-1.833333333333335,6.639528095680699,-0.3888888888888889,-1.250925583244189,14.081632653061213,-2.0,1.1666666666666665,2.598076211353316,1.1666666666666672,-1.058475493514314,4.790816326530612,-12.0,-3.0000000000000027,2.886751345948129,1.2777777777777781,-1.443375672974064,0.20408163265305845,12.0,-0.8333333333333337,5.484827557301447,1.2777777777777781,-1.443375672974064,-1.4795918367346943,16.0,15.444444444444413,92.03571428571428
1,43700000200,200,0.708449,0.19703599999999954,15160c864229fb62eab0cf1f34e11c1cf75d9d2c600cb000cf390b0eda04d852,-2.333333333333334,1.7320508075688774,16.999999999999957,-3.578168742303181e-18,78.69897959183672,200.0,0.6666666666666666,5.196152422706634,1.833333333333334,0.8660254037844387,16.403061224489786,8.0,2.333333333333335,1.732050807568877,-1.0000000000000002,0.19245008972987526,2.729591836734696,-2.0,-0.5000000000000017,0.28867513459481264,-0.05555555555555547,1.443375672974064,1.474489795918368,6.0,-4.000000000000001,-2.886751345948129,-1.2777777777777781,0.6735753140545633,2.147959183673469,0.0,-3.9999999999999956,-1.1547005383792512,-1.8333333333333337,0.8660254037844386,1.260204081632652,6.0,18.055555555555546,79.98724489795914
2,43700000400,200,0.661847,0.18792099999999973,60f5c52822945f0079cd580e74f9859cad11cc3f2cbc412f8444afb073667ab1,1.8333333333333333,-0.8660254037844384,15.444444444444406,-3.5781687423031806e-19,90.8469387755102,200.0,0.9999999999999999,2.220446049250313e-16,0.6666666666666667,0.5773502691896256,25.576530612244902,4.0,-4.333333333333333,-2.886751345948129,0.16666666666666663,-0.6735753140545633,6.081632653061224,-10.0,-2.1666666666666665,1.443375672974064,0.11111111111111091,-1.1547005383792515,6.979591836734694,8.0,-0.6666666666666664,-0.5773502691896257,0.11111111111111094,8.255109309842612e-17,4.168367346938776,8.0,-0.9999999999999999,3.4641016151377553,-0.16666666666666669,0.6735753140545633,3.2346938775510203,-2.0,15.166666666666636,91.13010204081634
3,43700000600,200,0.669867,0.18912799999999963,14716aad876fda0972d6b721f6a8d386db1ebe023820b20254113f54b80a9b62,-0.33333333333333326,0.5773502691896257,14.333333333333298,3.578168742303181e-18,87.61734693877548,200.0,-2.333333333333333,5.196152422706634,0.6666666666666667,0.9622504486493763,14.2295918367347,18.0,-2.1666666666666665,0.28867513459481264,-0.4999999999999998,-0.8660254037844387,-4.163265306122448,-6.0,-3.8333333333333313,0.28867513459481264,1.1111111111111116,-0.1924500897298752,-3.8520408163265314,4.0,3.000000000000001,0.577350269189626,0.388888888888889,-0.2886751345948128,-0.6632653061224515,14.0,2.3333333333333326,1.732050807568877,-0.8333333333333335,-0.09622504486493753,-1.48469387755102,10.0,16.222222222222186,89.66581632653059
4,43700000800,200,0.685193,0.1942209999999999,3a0eabf1a2e1565a23427a445bc6158f5cfcb069613bf0613aa5fed1460293dd,-0.16666666666666674,-6.062177826491073,15.444444444444406,3.2203518680728626e-18,78.5816326530612,200.0,2.4999999999999996,-5.484827557301447,-1.1111111111111114,-8.255109309842612e-17,19.913265306122444,8.0,4.166666666666665,1.4433756729740643,-0.1666666666666666,0.09622504486493759,7.9387755102040805,16.0,1.5000000000000036,-2.02072594216369,-0.7222222222222223,0.2886751345948128,3.224489795918366,10.0,2.833333333333335,3.175426480542942,-0.9444444444444444,0.09622504486493759,-1.3418367346938802,4.0,3.333333333333333,4.0414518843273814,-0.7777777777777779,-0.5773502691896256,-0.7346938775510229,2.0,16.611111111111086,87.15306122448978
5,43700001000,200,0.7043999999999999,0.2027350000000006,2380caadf2f49f73207b52fdea1bc3c428ee90f4d09f49f798415b6e6c6dd3e8,1.166666666666666,1.4433756729740643,16.666666666666625,1.7890843711515903e-18,82.12755102040818,200.0,-5.551115123125783e-17,-1.732050807568877,1.3333333333333337,-0.9622504486493763,29.22448979591836,6.0,1.6666666666666687,2.309401076758503,-1.2777777777777781,-0.6735753140545633,7.71428571428571,18.0,-0.6666666666666677,1.1547005383792512,0.4444444444444443,-0.7698003589195009,11.576530612244897,12.0,1.5000000000000007,0.28867513459481264,0.38888888888888884,-0.2886751345948128,7.882653061224493,-20.0,-2.166666666666668,0.8660254037844384,0.1666666666666667,0.09622504486493764,5.770408163265305,-32.0,15.944444444444413,68.47448979591832
6,43700001200,200,0.73,0.2059279999999994,24be18e2b539bd51adfb752e63cc5cd37f2c23c11fac8a298a57e44c2fa5874d,-0.500000000000001,-6.639528095680699,16.444444444444404,-5.367253113454771e-18,90.38775510204081,200.0,-4.166666666666666,-2.598076211353316,1.0,2.309401076758502,7.770408163265304,8.0,0.8333333333333347,-3.175426480542942,1.166666666666667,0.2886751345948128,-3.704081632653062,-2.0,3.499999999999999,-1.443375672974064,0.11111111111111094,0.9622504486493763,-6.255102040816324,12.0,-1.4999999999999996,-5.484827557301447,-0.16666666666666652,-0.09622504486493753,-3.9081632653061216,4.0,-3.000000000000001,-5.196152422706634,0.4444444444444444,-0.1924500897298752,-3.1683673469387785,4.0,16.611111111111086,90.45153061224484
7,43700001400,200,0.687442,0.19103799999999987,d1b576ec0dbacd9a2e88846ef196acb337d502ddbf834dc4225c39aa6b865e6f,-1.6666666666666659,4.618802153517008,16.444444444444404,-5.009436239224453e-18,81.13265306122445,200.0,-2.8333333333333344,-2.02072594216369,1.7777777777777783,2.7755575615628914e-17,11.107142857142858,-12.0,-4.833333333333331,-0.8660254037844388,0.8333333333333335,0.2886751345948128,-0.43367346938775675,14.0,-5.666666666666666,1.732050807568877,-0.5555555555555554,-2.7755575615628914e-17,-0.2755102040816345,-2.0,-3.500000000000001,1.4433756729740643,0.6666666666666667,-0.3849001794597505,3.4081632653061207,-12.0,-5.166666666666668,-3.175426480542942,0.0555555555555555,0.6735753140545633,3.0918367346938758,-12.0,16.222222222222193,84.22448979591833
8,43700001600,200,0.695934,0.20050699999999977,f7d86be72f867c0e8860d9898d488e1dd30384adaf4c11f58936589a5e1ce199,1.666666666666667,5.77350269189626,17.22222222222218,-7.156337484606361e-19,80.33163265306122,200.0,1.9999999999999984,-1.1547005383792512,1.7222222222222228,0.8660254037844387,13.938775510204078,-24.0,0.833333333333333,-3.7527767497325684,0.3888888888888889,-0.09622504486493759,7.520408163265307,-14.0,1.8333333333333328,-3.7527767497325684,-0.5555555555555556,1.1547005383792515,9.724489795918366,-10.0,-0.8333333333333336,-3.175426480542942,-1.0555555555555558,-0.09622504486493753,10.52551020408163,-8.0,-0.3333333333333337,1.1547005383792512,0.11111111111111113,-0.9622504486493763,10.755102040816325,-12.0,16.61111111111109,83.86479591836728
9,43700001800,200,0.692788,0.19759399999999994,c252313a648edffa15c39316b3e0c61d248afb843d9eb60e9ae0eacca5ce3f78,2.1666666666666674,-3.175426480542942,15.111111111111073,-3.5781687423031806e-19,89.41326530612243,200.0,0.4999999999999991,-0.8660254037844384,-0.7777777777777777,0.1924500897298752,3.4438775510204045,12.0,-2.5000000000000004,-4.3301270189221945,-0.2777777777777778,-0.2886751345948129,4.505102040816323,-10.0,-2.3333333333333326,2.220446049250313e-16,1.166666666666667,-1.443375672974064,3.3877551020408134,18.0,-1.9999999999999993,-0.577350269189626,0.22222222222222218,-0.1924500897298752,4.602040816326528,18.0,-2.000000000000001,1.1547005383792512,0.6111111111111112,-0.28867513459481287,1.1479591836734704,16.0,15.44444444444441,83.91071428571428
