design,batch,samples,point,category,count
pell_Dminus2_N30,3,5000,plus,"rank1:1,0",604
pell_Dminus2_N30,3,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,3,5000,plus,"rank1:2,-1",1
pell_Dminus2_N30,3,5000,plus,rank2,1831
pell_Dminus2_N30,4,5000,minus,rank0,1711
pell_Dminus2_N30,4,5000,minus,"rank1:0,1",597
pell_Dminus2_N30,4,5000,minus,"rank1:1,-2",9
pell_Dminus2_N30,4,5000,minus,"rank1:1,-1",633
pell_Dminus2_N30,4,5000,minus,"rank1:1,0",585
pell_Dminus2_N30,4,5000,minus,"rank1:1,1",5
pell_Dminus2_N30,4,5000,minus,"rank1:2,-1",1
pell_Dminus2_N30,4,5000,minus,rank2,1459
pell_Dminus2_N30,4,5000,center,rank0,1488
pell_Dminus2_N30,4,5000,center,"rank1:0,1",603
pell_Dminus2_N30,4,5000,center,"rank1:1,-2",12
pell_Dminus2_N30,4,5000,center,"rank1:1,-1",637
pell_Dminus2_N30,4,5000,center,"rank1:1,0",594
pell_Dminus2_N30,4,5000,center,"rank1:1,1",5
pell_Dminus2_N30,4,5000,center,"rank1:2,-1",1
pell_Dminus2_N30,4,5000,center,rank2,1660
pell_Dminus2_N30,4,5000,plus,rank0,1311
pell_Dminus2_N30,4,5000,plus,"rank1:0,1",606
pell_Dminus2_N30,4,5000,plus,"rank1:1,-2",10
pell_Dminus2_N30,4,5000,plus,"rank1:1,-1",617
pell_Dminus2_N30,4,5000,plus,"rank1:1,0",593
pell_Dminus2_N30,4,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,4,5000,plus,"rank1:2,-1",1
pell_Dminus2_N30,4,5000,plus,rank2,1857
pell_Dminus2_N30,5,5000,minus,rank0,1821
pell_Dminus2_N30,5,5000,minus,"rank1:0,1",633
pell_Dminus2_N30,5,5000,minus,"rank1:1,-2",15
pell_Dminus2_N30,5,5000,minus,"rank1:1,-1",616
pell_Dminus2_N30,5,5000,minus,"rank1:1,0",590
pell_Dminus2_N30,5,5000,minus,"rank1:1,1",2
pell_Dminus2_N30,5,5000,minus,"rank1:2,-1",3
pell_Dminus2_N30,5,5000,minus,rank2,1320
pell_Dminus2_N30,5,5000,center,rank0,1632
pell_Dminus2_N30,5,5000,center,"rank1:0,1",627
pell_Dminus2_N30,5,5000,center,"rank1:1,-2",18
pell_Dminus2_N30,5,5000,center,"rank1:1,-1",607
pell_Dminus2_N30,5,5000,center,"rank1:1,0",570
pell_Dminus2_N30,5,5000,center,"rank1:1,1",2
pell_Dminus2_N30,5,5000,center,"rank1:2,-1",5
pell_Dminus2_N30,5,5000,center,rank2,1539
pell_Dminus2_N30,5,5000,plus,rank0,1430
pell_Dminus2_N30,5,5000,plus,"rank1:0,1",630
pell_Dminus2_N30,5,5000,plus,"rank1:1,-2",17
pell_Dminus2_N30,5,5000,plus,"rank1:1,-1",613
pell_Dminus2_N30,5,5000,plus,"rank1:1,0",563
pell_Dminus2_N30,5,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,5,5000,plus,"rank1:2,-1",6
pell_Dminus2_N30,5,5000,plus,rank2,1736
pell_Dminus2_N30,6,5000,minus,rank0,1735
pell_Dminus2_N30,6,5000,minus,"rank1:0,1",618
pell_Dminus2_N30,6,5000,minus,"rank1:1,-2",8
pell_Dminus2_N30,6,5000,minus,"rank1:1,-1",639
pell_Dminus2_N30,6,5000,minus,"rank1:1,0",614
pell_Dminus2_N30,6,5000,minus,"rank1:1,1",6
pell_Dminus2_N30,6,5000,minus,"rank1:2,-1",5
pell_Dminus2_N30,6,5000,minus,rank2,1375
pell_Dminus2_N30,6,5000,center,rank0,1528
pell_Dminus2_N30,6,5000,center,"rank1:0,1",606
pell_Dminus2_N30,6,5000,center,"rank1:1,-2",10
pell_Dminus2_N30,6,5000,center,"rank1:1,-1",665
pell_Dminus2_N30,6,5000,center,"rank1:1,0",624
pell_Dminus2_N30,6,5000,center,"rank1:1,1",6
pell_Dminus2_N30,6,5000,center,"rank1:2,-1",5
pell_Dminus2_N30,6,5000,center,rank2,1556
pell_Dminus2_N30,6,5000,plus,rank0,1341
pell_Dminus2_N30,6,5000,plus,"rank1:0,1",592
pell_Dminus2_N30,6,5000,plus,"rank1:1,-2",9
pell_Dminus2_N30,6,5000,plus,"rank1:1,-1",642
pell_Dminus2_N30,6,5000,plus,"rank1:1,0",623
pell_Dminus2_N30,6,5000,plus,"rank1:1,1",6
pell_Dminus2_N30,6,5000,plus,"rank1:2,-1",5
pell_Dminus2_N30,6,5000,plus,rank2,1782
pell_Dminus2_N30,7,5000,minus,rank0,1784
pell_Dminus2_N30,7,5000,minus,"rank1:0,1",651
pell_Dminus2_N30,7,5000,minus,"rank1:1,-2",14
pell_Dminus2_N30,7,5000,minus,"rank1:1,-1",619
pell_Dminus2_N30,7,5000,minus,"rank1:1,0",581
pell_Dminus2_N30,7,5000,minus,"rank1:1,1",9
pell_Dminus2_N30,7,5000,minus,"rank1:2,-1",5
pell_Dminus2_N30,7,5000,minus,rank2,1337
pell_Dminus2_N30,7,5000,center,rank0,1567
pell_Dminus2_N30,7,5000,center,"rank1:0,1",644
pell_Dminus2_N30,7,5000,center,"rank1:1,-2",17
pell_Dminus2_N30,7,5000,center,"rank1:1,-1",610
pell_Dminus2_N30,7,5000,center,"rank1:1,0",597
pell_Dminus2_N30,7,5000,center,"rank1:1,1",8
pell_Dminus2_N30,7,5000,center,"rank1:2,-1",6
pell_Dminus2_N30,7,5000,center,rank2,1551
pell_Dminus2_N30,7,5000,plus,rank0,1377
pell_Dminus2_N30,7,5000,plus,"rank1:0,1",641
pell_Dminus2_N30,7,5000,plus,"rank1:1,-2",18
pell_Dminus2_N30,7,5000,plus,"rank1:1,-1",596
pell_Dminus2_N30,7,5000,plus,"rank1:1,0",578
pell_Dminus2_N30,7,5000,plus,"rank1:1,1",8
pell_Dminus2_N30,7,5000,plus,"rank1:2,-1",4
pell_Dminus2_N30,7,5000,plus,rank2,1778
pell_Dminus2_N30,8,5000,minus,rank0,1827
pell_Dminus2_N30,8,5000,minus,"rank1:0,1",566
pell_Dminus2_N30,8,5000,minus,"rank1:1,-2",10
pell_Dminus2_N30,8,5000,minus,"rank1:1,-1",612
pell_Dminus2_N30,8,5000,minus,"rank1:1,0",550
