geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_9_2,0,50000,85,2374222,2704624,114000564,147418576,128957415,330402,3504310,50000,0
g_9_2,1,50000,85,2374901,2705862,114053855,147542784,129047609,330961,3501421,50000,0
g_9_2,2,50000,85,2375528,2706730,114129158,147641266,129131162,331202,3508100,50000,0
g_9_2,3,50000,85,2375507,2705855,114133187,147539037,129086939,330348,3498346,50000,0
g_9_2,4,50000,85,2374488,2705459,114028094,147514483,129020640,330971,3501297,50000,0
g_9_2,5,50000,85,2373029,2704936,113894785,147436894,128909846,331907,3511987,50000,0
g_9_2,6,50000,85,2374639,2703715,114050355,147324009,128950609,329076,3473146,50000,0
g_9_2,7,50000,85,2372738,2705063,113863842,147466347,128899515,332325,3531159,50000,0
g_9_2,8,50000,85,2374550,2704204,114032086,147374472,128960163,329654,3486232,50000,0
g_9_2,9,50000,85,2373342,2704472,113918762,147397248,128904292,331130,3507426,50000,0
g_9_2,10,50000,85,2374395,2705162,114033109,147484578,128997419,330767,3522849,50000,0
g_9_2,11,50000,85,2374119,2703800,113994523,147329798,128920177,329681,3483967,50000,0
g_9_2,12,50000,85,2374355,2707034,114013601,147669132,129076109,332679,3530515,50000,0
g_9_2,13,50000,85,2375949,2706440,114168417,147613154,129134169,330491,3513233,50000,0
g_9_2,14,50000,85,2375265,2704314,114091777,147378944,129005070,329049,3460581,50000,0
g_9_2,15,50000,85,2373646,2705091,113953192,147466555,128948062,331445,3523623,50000,0
g_9_2,16,50000,85,2374742,2704197,114060400,147366581,128975457,329455,3476067,50000,0
g_9_2,17,50000,85,2374324,2704224,114017502,147367136,128953740,329900,3477158,50000,0
g_9_2,18,50000,85,2373279,2703626,113914523,147299340,128861526,330347,3490811,50000,0
g_9_2,19,50000,85,2373559,2704589,113940517,147413563,128916553,331030,3520974,50000,0
g_9_2,20,50000,85,2374909,2703994,114065959,147337520,128959913,329085,3483653,50000,0
g_9_2,21,50000,85,2374680,2704574,114040596,147405342,128977955,329894,3490028,50000,0
g_9_2,22,50000,85,2374728,2705686,114046522,147535898,129039642,330958,3503136,50000,0
g_9_2,23,50000,85,2374298,2705991,114016522,147559471,129031221,331693,3513551,50000,0
g_9_2,24,50000,85,2375460,2705789,114135208,147536093,129078243,330329,3514815,50000,0
g_9_2,25,50000,85,2371711,2703940,113782063,147340206,128789251,332229,3543767,50000,0
g_9_2,26,50000,85,2375241,2704717,114095011,147418115,129020417,329476,3472292,50000,0
g_9_2,27,50000,85,2374822,2706398,114060624,147593352,129066622,331576,3520732,50000,0
g_9_2,28,50000,85,2372542,2703843,113856356,147340921,128847635,331301,3502007,50000,0
g_9_2,29,50000,85,2374230,2704565,114022554,147414817,128964290,330335,3508791,50000,0
g_9_2,30,50000,85,2373134,2705145,113901180,147475753,128929177,332011,3518579,50000,0
g_9_2,31,50000,85,2374708,2706357,114048070,147595849,129057410,331649,3529099,50000,0
g_9_2,32,50000,85,2373083,2703913,113899931,147356513,128871420,330830,3513604,50000,0
g_9_2,33,50000,85,2375358,2704999,114102354,147451723,129036788,329641,3480501,50000,0
g_9_2,34,50000,85,2374378,2704800,114014068,147435530,128974170,330422,3501258,50000,0
g_9_2,35,50000,85,2375634,2707664,114142538,147754108,129182128,332030,3532390,50000,0
g_9_2,36,50000,85,2375974,2706038,114163308,147579408,129124083,330064,3494550,50000,0
g_9_2,37,50000,85,2375079,2705321,114086073,147483331,129037167,330242,3495070,50000,0
g_9_2,38,50000,85,2374111,2705025,113992543,147452657,128967791,330914,3509618,50000,0
g_9_2,39,50000,85,2373793,2704839,113972701,147439639,128948246,331046,3515848,50000,0
