k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,2
33,12
34,26
35,49
36,128
37,264
38,515
39,953
40,1828
41,3321
42,5797
43,9771
44,15838
45,25016
46,37068
47,53308
48,72488
49,95841
50,119250
51,141066
52,158563
53,169180
54,171965
55,167337
56,154272
57,136052
58,115123
59,93569
60,73441
61,55496
62,40611
63,28836
64,19854
65,13116
66,8403
67,5154
68,3034
69,1761
70,893
71,468
72,213
73,76
74,28
75,8
76,4
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
