k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,3
20,6
21,18
22,31
23,52
24,97
25,145
26,256
27,382
28,647
29,978
30,1521
31,2205
32,3400
33,4984
34,7341
35,10134
36,14441
37,19639
38,26585
39,36099
40,46785
41,60020
42,75603
43,94192
44,111661
45,130610
46,145724
47,158664
48,163990
49,163063
50,155448
51,139268
52,118954
53,96435
54,72712
55,52194
56,34987
57,22473
58,13363
59,7420
60,3973
61,1988
62,910
63,401
64,137
65,40
66,16
67,3
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
