batch,M_pref,M_p0,M_p1,M_p2,M_p3,M_p4,M_p5,M_p6,M_p7,M_p8,M_p9,M_p10,M_p11,M_p12,M_p13,M_p14,Mp,Mpp,meanKminus,meanKplus,gap,varKminus
0,-0.0003020919467412453,-0.00011060910685323222,-0.00016809791448557654,-0.00022564552276871375,-0.00026897427909300387,-0.00029110594514614174,-0.00029547103808669206,-0.00029244971433251,-0.00029178852957079116,-0.0002963132683819758,-0.00030148026166076924,-0.00030094656760537575,-0.0002934646423591314,-0.0002850330376926724,-0.00028416684259224834,-0.0002943293922966772,-0.0001931777024788417,-0.05185923572792461,0.013730000000009568,0.03096999999999639,-0.01723999999998682,-0.0996477653097827
1,0.0007986767869171407,0.0004816198677674022,0.0005315921851534178,0.0005743265146356258,0.0006126755705896381,0.000652600054214969,0.0007006767139042802,0.0007582780872160688,0.0008148867184980535,0.0008458643409390287,0.0008195052558468419,0.0007127139567791874,0.0005269949286335063,0.000293403608761178,6.118464087923048e-05,-0.00012375557044452812,0.004379312686142889,-0.2563100884089877,-0.03569000000001665,-0.017679999999984375,-0.018010000000032278,1.7242390153041924
2,0.00026962577687417166,-0.00026409674324467947,-0.00021532192321827015,-0.00014871102615743315,-6.672084694159253e-05,2.5437409810202816e-05,0.0001189176834153205,0.00020189896394651186,0.00026181405547820447,0.0002885988524577998,0.00027842243129660993,0.00023653143656865439,0.00017635387570191785,0.00011306626885698723,5.489985454754098e-05,-3.7654521789498574e-07,0.004334994425564176,-0.3313029455209673,-0.0042400000000100135,0.021809999999987895,-0.026049999999997908,-1.0778874128009193
3,0.0014475677701364376,-0.0001626195699018229,-0.00014591366209104617,-9.4471466026258e-05,1.12306233283066e-05,0.00018499123898485514,0.0004258576777803613,0.000712712921601022,0.00100612722717619,0.0012575267704567628,0.001422031643844135,0.0014700375943239585,0.0013941437879149143,0.0012104512389997657,0.0009545141191643625,0.0006724359647514166,0.027240692442792813,-0.42014762294707,-0.06573000000000206,0.009749999999996817,-0.07547999999999888,-2.1280186964868335
4,0.0016270924920124274,-0.0007189866118160193,-0.0006076204233510518,-0.00039201833277013876,-7.587343713921779e-05,0.00031373071329787727,0.0007283760772356374,0.001109547516821019,0.0014050096475881624,0.0015824582149290833,0.0016338891972189629,0.0015700544406449524,0.0014104826905136925,0.0011761269508073768,0.000887926146546536,0.0005691988641841617,0.023645534905408994,-1.180135634263337,0.003919999999993706,-0.025939999999991414,0.02985999999998512,-2.1077499423990957
5,-0.0008548944827854177,-0.00016357857910542783,-0.0002596200290574391,-0.00040550528848992684,-0.0005856642349770791,-0.0007740231411184073,-0.0009400604576688121,-0.0010542081247820745,-0.0010923152114696855,-0.0010410423265891922,-0.000904454575990532,-0.0007079866985806316,-0.0004943387238267594,-0.0003099254544344232,-0.00018764050379260766,-0.0001355701539880183,0.0006582899096443384,0.8937997156810411,0.07390999999998371,0.006959999999992306,0.0669499999999914,-0.32841971929883584
6,-0.0004523201142505595,-0.0002017967372802687,-0.000203100564963421,-0.00023805100687190883,-0.0003035735893088809,-0.0003815921036761649,-0.00044706705266228663,-0.0004811979296833746,-0.00048199140733018453,-0.0004649055880594499,-0.00045252299789777517,-0.0004599419528822368,-0.0004857865930373295,-0.0005147591079414093,-0.0005293319727568413,-0.0005216701537321677,0.0008146170811906828,0.17879296917655552,0.033950000000004366,0.04376000000002023,-0.009810000000015862,-0.7367240004969062
7,0.000835367186955982,-0.00021072333203420168,-0.00016107768866091554,-0.00010139266651132406,-2.938921347184209e-05,6.315614194341013e-05,0.00018589670498203592,0.00034173206238452547,0.0005190252801905437,0.0006893458816406017,0.0008140483957160827,0.0008586950322252429,0.0008090775209215195,0.0006794602777013825,0.0005064747741350129,0.00033123104836418893,0.01738069096280892,-0.06972616356070915,0.008450000000010505,-0.02488999999999919,0.033340000000009695,-1.0871857605015975
8,-0.0030287517451624835,-0.0007047423704620304,-0.0009171295355678843,-0.0011672996864806606,-0.0014475808247420563,-0.0017474841212262726,-0.002053004542429182,-0.002347194952982523,-0.0026125684532718463,-0.002833447670863909,-0.002996073460390769,-0.0030868131691381695,-0.003091232263292776,-0.0029963522743639004,-0.0027958998815736935,-0.0024962869371217833,-0.024312635894074397,0.44494282697371546,0.15269999999998163,0.13417000000001167,0.01852999999996996,-0.6905050759960432
9,-0.00020476402534641558,-0.0011338045395388185,-0.0012693054471124565,-0.0013389890277603067,-0.0013244302332731106,-0.0012250326650496968,-0.0010580623676893497,-0.0008515625692795403,-0.0006343955069569862,-0.00042888830460652283,-0.00024875649642164266,-0.00010084140972665967,1.2543923620489394e-05,9.234912739775059e-05,0.00014215367839187643,0.0001674476346940068,0.02113371323365154,-0.11659859972090914,0.09453999999999496,-0.012830000000008113,0.10737000000000307,-3.511007393200998
