batch,M_pref,M_p0,M_p1,M_p2,M_p3,M_p4,M_p5,M_p6,M_p7,M_p8,M_p9,M_p10,M_p11,M_p12,M_p13,M_p14,Mp,Mpp,meanKminus,meanKplus,gap,varKminus
0,3.5792146670154956e-05,0.0009717211580743124,0.001043434698919099,0.001062333475061128,0.0010179442594921984,0.0009083729137526753,0.0007472798736528619,0.000562303680836207,0.00038181207732146394,0.00021981770867585126,7.391834467229685e-05,-6.07089650724868e-05,-0.00017581881610007066,-0.0002510592356378405,-0.00027280679739982716,-0.0002520104007073254,-0.01712429860801823,0.18497234869130352,-0.06759999999999877,0.0031200000000239925,-0.07072000000002276,5.355995735990291
1,-0.001454194719614943,0.00032918853218688593,0.000331616035552984,0.000318070400357251,0.00028066196095066775,0.0001968169607493575,3.295318676288517e-05,-0.00023742546718052981,-0.0006071608971389697,-0.0010189245384393253,-0.00137785099729415,-0.0015925919170006742,-0.0016180218878347752,-0.001468847133212381,-0.0011998016704436454,-0.0008766516978087058,-0.039074953562950654,-0.4202821134169312,0.0508700000000033,0.0231899999999996,0.0276800000000037,4.298470526293386
2,0.0011152140509468333,0.0009621195222494494,0.001117384496684748,0.0012443388422794799,0.0013620583878508619,0.0014888768672822739,0.001620262426320962,0.0017153040319577428,0.001707163038977555,0.001541435074833175,0.001221448356402588,0.0008224240995025056,0.000454002168332468,0.00019548544878111862,5.525559598773544e-05,-1.5672249430331853e-05,-0.00869344785621795,-1.5758697116441454,-0.12019999999998277,-0.022750000000030468,-0.0974499999999523,3.3809125879924977
3,-0.0002733369461938029,7.371509495923689e-06,8.10711145841081e-05,0.00019487556082209423,0.00030933930495158357,0.00037688240901401215,0.0003650904559071577,0.0002702753042724826,0.00011543230286670259,-6.305974313214335e-05,-0.00023174411919979487,-0.0003706404590769763,-0.0004720661744722632,-0.0005312597357481907,-0.0005413164328695874,-0.0004996295256822769,-0.016666752370230853,-0.23649044593067003,0.001370000000008531,0.01393999999999096,-0.012569999999982429,1.4327458783009206
4,-0.0013333491593142677,0.0004042690314645103,0.00031543349798923703,0.00016341823865861915,-4.459460181949204e-05,-0.00029501223489991624,-0.0005680842250760376,-0.0008387816301884676,-0.0010782156405989562,-0.0012541284281379905,-0.0013327271060630252,-0.0012875185403713463,-0.0011151304100468495,-0.0008469426973753968,-0.0005426956222197576,-0.00026480828520414335,-0.02076733989748103,0.6352122287156448,0.04875999999998726,-0.014389999999991687,0.06314999999997895,3.4652870768113644
5,0.0015074320014657472,-5.8088765319874724e-05,4.204465482449127e-05,0.0001891496969267381,0.00038031917780478874,0.0006017976938570424,0.0008314781342497746,0.0010482614241452692,0.001238312942464459,0.0013912265806930169,0.0014917627612306417,0.0015189465582434725,0.0014564499580355106,0.001305997555387295,0.0010919915179504747,0.0008529174063551803,0.017148257827387603,-0.3713788009063137,-0.06655000000000655,-0.06209999999998672,-0.004450000000019827,-1.0107085214986
6,-0.0017908794631728009,7.602179221732897e-05,0.00010535976422443305,0.00012138377139525591,0.0001047437742615065,3.127365090371814e-05,-0.0001284715476211895,-0.0004006739909241386,-0.0007866973894954388,-0.0012428828934202274,-0.0016847264922627003,-0.0020208194006366975,-0.0021934327361216033,-0.002195288095221848,-0.0020552959763743273,-0.001813759454777908,-0.042110445124803775,-0.7016210535348932,0.021099999999989905,0.13913000000002285,-0.11803000000003294,2.1953023620008025
7,0.0011924909446566767,0.0002699488584191334,0.00034542872116538614,0.0004547100216838462,0.0005970823073493392,0.0007647609553893542,0.0009406963769140742,0.0010977499354463127,0.0012051372512551506,0.0012421633455058645,0.0012104077138818115,0.0011341415904955188,0.0010466736128157406,0.0009712427621516584,0.0009104094526523054,0.000851189351434356,0.007220670502988469,-0.7036122155834619,-0.08539999999999281,-0.07005999999995538,-0.015340000000037435,0.7571569720021216
8,0.002155578281659576,0.00026150560872195694,0.0003947955347073373,0.0005446857224967738,0.0007103187225229179,0.0008960713796853925,0.0011080506939488144,0.001347931105734279,0.001607579162656414,0.0018676171656497598,0.0021004252944860635,0.002276273097374659,0.002370735056803297,0.0023705547369531343,0.0022751043126301163,0.0020935686162758538,0.025984302995774478,0.0038994607121054514,-0.1300499999999829,-0.12343999999995958,-0.0066100000000233194,-1.5849081595006282
9,-0.0014563819697345215,-0.0006565352346665776,-0.0007540263493680532,-0.0008027056756040318,-0.0008061526612104242,-0.0007872466465033146,-0.0007850110798219845,-0.0008425747637537118,-0.0009852315938922995,-0.0011962509093532692,-0.0014095151109350113,-0.0015354927492730042,-0.0015120473513938748,-0.0013442399102278069,-0.0010991922562223477,-0.0008579719680386066,-0.01768380727997787,-0.6836248532238187,0.10103999999998337,0.053519999999991796,0.04751999999999157,-0.15763195839099353
