batch,M_pref,M_p0,M_p1,M_p2,M_p3,M_p4,M_p5,M_p6,M_p7,M_p8,M_p9,M_p10,M_p11,M_p12,M_p13,M_p14,Mp,Mpp,meanKminus,meanKplus,gap,varKminus
0,-0.001022501010454313,0.0004451168810654105,0.0004213294751058694,0.00033665903681223686,0.00017626767172551627,-6.0487352931071214e-05,-0.0003474507375762492,-0.0006323828090331052,-0.0008575896055343923,-0.0009882573898507552,-0.0010255375597069127,-0.0009936250177541295,-0.0009146703843981863,-0.0007962569439585732,-0.0006413719554756447,-0.0004661486473240828,-0.017793729040877615,0.9453901218481349,0.03398000000001389,0.010170000000016444,0.023809999999997444,3.151016985590104
1,-0.0010151423924724678,-0.0003437084079751518,-0.00028481148944581314,-0.00017158020789154182,-3.367818073019002e-05,7.447158477580373e-05,8.983717586963369e-05,-3.2030075430067306e-05,-0.0002895998935241728,-0.0006248483834859764,-0.0009431402559401114,-0.0011580291702232293,-0.001232495587397131,-0.0011864466878169777,-0.0010685972276328615,-0.0009216928761391907,-0.029640915402806556,-0.7767867186747566,0.04655000000002474,0.061350000000004457,-0.014799999999979718,1.1170257134872372
2,-0.0007340078047411991,0.00038809358646507697,0.0004995053674025085,0.0005854190346963328,0.0006146202141363855,0.000554682295361042,0.0003848352683651912,0.00011173333425917864,-0.00021942861655854795,-0.0005271683908670832,-0.0007147237076386981,-0.0007064121218554043,-0.0004844839551103597,-0.00010575497223075381,0.00031548879186171774,0.0006536178879232857,-0.03194508625631354,0.2342217650919025,0.005899999999996908,-0.05128999999999451,0.057189999999991414,2.4679002440025215
3,-0.0003154021777158622,0.00025727490539007025,0.0003780822897724301,0.0004923284850976151,0.0005735156099363481,0.0005931506212498716,0.0005291035501677754,0.0003767077505167915,0.0001583819896573413,-7.739557301889022e-05,-0.00027406136565688577,-0.0003937986877591282,-0.0004330548423523428,-0.0004140073750217299,-0.00036159493422593947,-0.0002883870135863553,-0.02270516617678897,-0.1745180181667081,-0.02934999999999377,0.017420000000015534,-0.046770000000009304,1.1949514654988889
4,0.000745702972075879,0.00014602480046599364,0.00015258237864801405,0.00012221749528840142,7.314856329265762e-05,5.529829018258159e-05,0.00012169120618166218,0.00028496697683089156,0.0004964345115594515,0.0006718567391225116,0.0007458285739605497,0.0007088420662331174,0.0006001814674198025,0.0004731962805409884,0.0003674295806617156,0.0003018493490382079,0.01934448811458722,-0.36045307165611007,0.00970999999998412,-0.08623000000000047,0.0959399999999846,1.0554287473059958
5,0.0015616365428363643,6.597143857256516e-05,0.00013328974779980296,0.00025175641946195704,0.00042250733456161704,0.0006292583068820967,0.0008458204918362355,0.0010505649857079913,0.001234991833896304,0.0013982972246577852,0.0015326911176087865,0.0016132602770407845,0.0016035982865985066,0.001475834287831601,0.0012312062559609593,0.000906555606552728,0.017386611947490138,-0.21121457426831114,-0.046670000000005984,-0.08404000000001588,0.037370000000009895,1.1405444152987911
6,-0.0008401880204038648,9.281679458650327e-05,0.00018098473196193066,0.0003201203048709411,0.0004846601569298281,0.0006177646846525775,0.0006439386668746216,0.0005013419390552665,0.00017981868344607577,-0.00026302212639373046,-0.000724414710222554,-0.001103153508203225,-0.0013359477044725399,-0.0014028145719604534,-0.0013126531703673283,-0.0010935494134680646,-0.0382182032724554,-1.213175542305052,-0.0362700000000018,0.08012000000002217,-0.11639000000002397,0.9011126265031635
7,0.0007177366061117407,-8.375280925765338e-05,-1.8361511482711812e-05,8.335015427307635e-05,0.0002224736904107294,0.0003919539145507134,0.0005699982342415311,0.0007206498588366861,0.0008071798254336571,0.0008116441229205629,0.0007447659712173094,0.0006362201491590946,0.000513103872139653,0.00038656920676172213,0.0002584595850320115,0.0001375049091857372,0.004549713204198724,-0.8206566911017603,-0.03391999999999484,-0.01966999999996233,-0.014250000000032514,-0.059964415995636955
8,0.002303079837890243,0.0003259254374567977,0.000497032547987053,0.0007191470581621173,0.000994407804304931,0.0013103666196399022,0.001634172117806032,0.0019199630428144987,0.0021295021034759554,0.002251229094921925,0.0022997074943660323,0.0022944377100811986,0.002238586844153456,0.002119147331221982,0.0019271552722001095,0.001675336546532069,0.016563302605366204,-0.8781206921537716,-0.13406999999997993,-0.11921999999998434,-0.014849999999995589,-0.7532473419050802
9,0.0010289141195877205,-0.00038112582095706227,-0.0005008698079798091,-0.0005614867951798663,-0.0005210383477014524,-0.00035764549644057286,-8.188686778809462e-05,0.00026086578629380686,0.0006009893787606302,0.0008671621661051621,0.0010122998640559322,0.001027712369894962,0.0009363748407926753,0.0007737919683541428,0.0005748437846720966,0.0003737731364833463,0.03031481899056221,-0.7395080512218044,0.02962999999999738,-0.07306999999997288,0.10269999999997026,-0.9207016931031831
