design,seed_block,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2_N120_norm2_generation2,14085500845886129287,0,20000,6291,2239,2554,2565,69,6282,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,1,20000,6325,2233,2570,2605,57,6210,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,2,20000,6368,2229,2549,2539,73,6242,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,3,20000,6266,2233,2511,2595,58,6337,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,4,20000,6183,2347,2594,2531,57,6288,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,5,20000,6351,2216,2587,2605,71,6170,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,6,20000,6248,2287,2541,2564,72,6288,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,7,20000,6307,2276,2540,2533,69,6275,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,8,20000,6394,2234,2420,2475,72,6405,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,9,20000,6226,2292,2550,2543,62,6327,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,10,20000,6254,2267,2589,2526,53,6311,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,11,20000,6369,2254,2494,2535,59,6289,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,12,20000,6396,2268,2527,2492,64,6253,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,13,20000,6247,2268,2536,2602,66,6281,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,14,20000,6283,2363,2544,2518,62,6230,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,15,20000,6318,2195,2409,2543,77,6458,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,16,20000,6346,2269,2435,2534,62,6354,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,17,20000,6224,2208,2576,2572,52,6368,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,18,20000,6309,2259,2574,2552,66,6240,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,19,20000,6316,2230,2555,2493,61,6345,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,20,20000,6281,2317,2600,2471,60,6271,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,21,20000,6357,2212,2525,2509,55,6342,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,22,20000,6343,2202,2620,2491,71,6273,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,23,20000,6343,2264,2592,2529,58,6214,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,24,20000,6414,2242,2478,2497,69,6300,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,25,20000,6362,2273,2519,2512,59,6275,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,26,20000,6350,2196,2578,2458,63,6355,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,27,20000,6351,2265,2472,2538,63,6311,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,28,20000,6241,2257,2589,2546,56,6311,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,29,20000,6289,2292,2559,2592,66,6202,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,30,20000,6199,2310,2626,2503,72,6290,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,31,20000,6310,2323,2538,2482,66,6281,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,32,20000,6328,2281,2576,2562,61,6192,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,33,20000,6296,2201,2462,2524,67,6450,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,34,20000,6277,2285,2537,2518,75,6308,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,35,20000,6214,2188,2586,2567,69,6376,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,36,20000,6379,2166,2684,2506,58,6207,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,37,20000,6273,2285,2547,2605,67,6223,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,38,20000,6326,2170,2580,2495,71,6358,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,39,20000,6329,2220,2500,2540,66,6345,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,40,20000,6317,2234,2482,2583,75,6309,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,41,20000,6330,2173,2627,2539,58,6273,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,42,20000,6302,2269,2517,2476,66,6370,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,43,20000,6285,2229,2579,2496,63,6348,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,44,20000,6315,2334,2487,2501,83,6280,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,45,20000,6297,2230,2580,2542,66,6285,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,46,20000,6232,2267,2523,2616,60,6302,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,47,20000,6266,2219,2465,2601,64,6385,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,48,20000,6338,2247,2606,2529,51,6229,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,49,20000,6324,2268,2579,2407,75,6347,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,50,20000,6404,2218,2596,2517,75,6190,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,51,20000,6340,2234,2484,2530,68,6344,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,52,20000,6344,2233,2423,2619,45,6336,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,53,20000,6198,2248,2562,2551,68,6373,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,54,20000,6286,2269,2527,2554,70,6294,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,55,20000,6138,2320,2530,2564,63,6385,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,56,20000,6263,2205,2564,2551,59,6358,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,57,20000,6355,2249,2544,2526,62,6264,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,58,20000,6384,2253,2504,2552,60,6247,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,59,20000,6296,2205,2558,2464,71,6406,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,60,20000,6315,2289,2514,2548,63,6271,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,61,20000,6258,2328,2455,2647,65,6247,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,62,20000,6433,2217,2504,2598,65,6183,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,63,20000,6328,2258,2536,2505,59,6314,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,64,20000,6357,2215,2498,2571,62,6297,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,65,20000,6218,2268,2541,2504,73,6396,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,66,20000,6402,2267,2507,2532,69,6223,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,67,20000,6392,2257,2540,2555,56,6200,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,68,20000,6159,2279,2514,2594,56,6398,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,69,20000,6330,2236,2519,2444,56,6415,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,70,20000,6347,2275,2545,2569,70,6194,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,71,20000,6269,2257,2596,2580,78,6220,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,72,20000,6348,2230,2536,2512,68,6306,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,73,20000,6347,2280,2509,2446,63,6355,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,74,20000,6286,2220,2524,2566,67,6337,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,75,20000,6468,2201,2538,2443,65,6285,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,76,20000,6337,2223,2540,2584,50,6266,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,77,20000,6335,2170,2600,2500,44,6351,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,78,20000,6342,2254,2522,2503,57,6322,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,79,20000,6410,2207,2519,2510,65,6289,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,80,20000,6406,2237,2510,2487,86,6274,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,81,20000,6411,2272,2519,2555,76,6167,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,82,20000,6301,2297,2515,2543,64,6280,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,83,20000,6266,2254,2526,2589,62,6303,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,84,20000,6365,2184,2589,2491,68,6303,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,85,20000,6234,2217,2587,2470,57,6435,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,86,20000,6311,2184,2548,2589,72,6296,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,87,20000,6313,2212,2599,2490,59,6327,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,88,20000,6322,2207,2510,2555,61,6345,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,89,20000,6183,2318,2511,2564,53,6371,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,90,20000,6435,2205,2546,2455,56,6303,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,91,20000,6381,2255,2524,2560,77,6203,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,92,20000,6297,2195,2568,2553,58,6329,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,93,20000,6311,2226,2600,2539,72,6252,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,94,20000,6396,2268,2527,2559,60,6190,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,95,20000,6309,2322,2597,2473,60,6239,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,96,20000,6330,2310,2501,2524,79,6256,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,97,20000,6238,2236,2583,2553,68,6322,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,98,20000,6276,2261,2573,2546,64,6280,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,99,20000,6264,2288,2578,2558,63,6249,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,100,20000,6350,2266,2567,2483,74,6260,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,101,20000,6228,2281,2494,2576,75,6346,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,102,20000,6318,2148,2515,2628,53,6338,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,103,20000,6351,2222,2552,2510,71,6294,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,104,20000,6229,2334,2538,2547,64,6288,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,105,20000,6350,2298,2564,2490,79,6219,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,106,20000,6181,2324,2624,2573,64,6234,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,107,20000,6269,2293,2583,2538,73,6244,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,108,20000,6271,2324,2456,2557,64,6328,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,109,20000,6272,2215,2559,2527,66,6361,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,110,20000,6284,2230,2594,2570,81,6241,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,111,20000,6357,2281,2423,2508,68,6363,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,112,20000,6243,2270,2419,2534,70,6464,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,113,20000,6348,2304,2533,2460,65,6290,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,114,20000,6272,2230,2584,2547,61,6306,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,115,20000,6330,2219,2559,2549,62,6281,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,116,20000,6294,2198,2559,2555,69,6325,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,117,20000,6351,2218,2445,2631,66,6289,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,118,20000,6266,2285,2514,2538,92,6305,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,119,20000,6236,2275,2578,2486,67,6358,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,120,20000,6278,2243,2578,2558,59,6284,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,121,20000,6243,2301,2454,2601,62,6339,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,122,20000,6439,2174,2515,2516,69,6287,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,123,20000,6265,2305,2497,2490,71,6372,0
pell_Dminus2_N120_norm2_generation2,14085500845886129287,124,20000,6419,2202,2484,2582,57,6256,0
