model,row_id,N,seed,observed_delta_M,predicted_delta_M,signed_error_observed_minus_predicted,prediction_residual_se,standardized_signed_error
fixed_13_8,145:20260829,145,20260829,0.0003286666666666641,0.0004703183400341883,-0.0001416516733675242,0.00019662994839599854,-0.7203972463149303
fixed_13_8,145:2026093001,145,2026093001,0.0004422500000000029,0.0004703183400341883,-2.8068340034185396e-05,8.664106670167374e-05,-0.323961154943204
fixed_13_8,170:2026093001,170,2026093001,0.00023764000000000117,0.00030197120321646015,-6.433120321645898e-05,9.305785076335684e-05,-0.6913033418325035
fixed_13_8_power_correction,145:20260829,145,20260829,0.0003286666666666641,0.000535137482683003,-0.0002064708160163389,0.00021209606319008933,-0.9734778331613405
fixed_13_8_power_correction,145:2026093001,145,2026093001,0.0004422500000000029,0.000535137482683003,-9.288748268300012e-05,0.00011759284780004778,-0.7899075872449648
fixed_13_8_power_correction,170:2026093001,170,2026093001,0.00023764000000000117,0.0003512052415281678,-0.00011356524152816662,0.00011093593285882158,-1.023701145351084
fixed_13_8_log,145:20260829,145,20260829,0.0003286666666666641,0.0005426398884565256,-0.0002139732217898615,0.00021499230377171878,-0.9952599141272548
fixed_13_8_log,145:2026093001,145,2026093001,0.0004422500000000029,0.0005426398884565256,-0.0001003898884565227,0.00012273967783101697,-0.8179090106032006
fixed_13_8_log,170:2026093001,170,2026093001,0.00023764000000000117,0.00035909533466509786,-0.00012145533466509668,0.00011565162821905454,-1.0501826609397094
fixed_13_8_h4_h8,145:20260829,145,20260829,0.0003286666666666641,0.0004773562782619031,-0.000148689611595239,0.00019693983674862813,-0.7550001769577214
fixed_13_8_h4_h8,145:2026093001,145,2026093001,0.0004422500000000029,0.0004773562782619031,-3.51062782619002e-05,8.734206965470383e-05,-0.40194007768179263
fixed_13_8_h4_h8,170:2026093001,170,2026093001,0.00023764000000000117,0.00029761674127475957,-5.9976741274758396e-05,9.330836816911414e-05,-0.6427798754990038
free_alpha,145:20260829,145,20260829,0.0003286666666666641,0.0005466894022206069,-0.0002180227355539428,0.00021784115103848202,-1.0008335638817327
free_alpha,145:2026093001,145,2026093001,0.0004422500000000029,0.0005466894022206069,-0.000104439402220604,0.0001276640314213897,-0.8180800892607994
free_alpha,170:2026093001,170,2026093001,0.00023764000000000117,0.0003634400322881217,-0.00012580003228812052,0.00012067051471406687,-1.0425084585593112
