N,seed_count,scaled_amplitude,scaled_amplitude_se,drift_from_fixed_training_A,drift_z
65,2,0.7812416700285431,0.04582428523088802,-0.016441444658929938,-0.3587932594275911
85,2,0.8138822061280789,0.0670919214502137,0.01619909144060594,0.24144622915035538
130,1,0.9329944448702525,0.17883161958842697,0.13531133018277952,0.7566409703954622
145,2,0.7201262408667223,0.13068598137495122,-0.07755687382075072,-0.5934597804965189
170,1,0.6277466637719422,0.24301673464784218,-0.16993645091553078,-0.6992788013623312
