batch,replica,hand,residue,translation,fiber,orientation,anchor_D_field,anchor_J_field,landing_field,L_D,L_J,L_DJ,L_JD,R_plus,R_minus,dual_reason,D0_site_field,D0_source_id,D0_target_id,D0_source_rank,D0_target_rank,D0_source_basis,D0_target_basis,dual_D0_site_field,dual_D0_source_id,dual_D0_target_id,dual_D0_source_rank,dual_D0_target_rank,dual_D0_source_basis,dual_D0_target_basis,J0_site_field,J0_source_id,J0_target_id,J0_source_rank,J0_target_rank,J0_source_basis,J0_target_basis,dual_J0_site_field,dual_J0_source_id,dual_J0_target_id,dual_J0_source_rank,dual_J0_target_rank,dual_J0_source_basis,dual_J0_target_basis,J_after_D_site_field,J_after_D_source_id,J_after_D_target_id,J_after_D_source_rank,J_after_D_target_rank,J_after_D_source_basis,J_after_D_target_basis,dual_J_after_D_site_field,dual_J_after_D_source_id,dual_J_after_D_target_id,dual_J_after_D_source_rank,dual_J_after_D_target_rank,dual_J_after_D_source_basis,dual_J_after_D_target_basis,D_after_J_site_field,D_after_J_source_id,D_after_J_target_id,D_after_J_source_rank,D_after_J_target_rank,D_after_J_source_basis,D_after_J_target_basis,dual_D_after_J_site_field,dual_D_after_J_source_id,dual_D_after_J_target_id,dual_D_after_J_source_rank,dual_D_after_J_target_rank,dual_D_after_J_source_basis,dual_D_after_J_target_basis
0,25050600011,minus,72,46,3,3,233,278,298,-1,1,1,-1,0,2,defined,298,6,10,1,1,"((0, 1),)","((0, 1),)",348,10,6,1,1,"((0, 1),)","((0, 1),)",348,10,6,1,1,"((0, 1),)","((0, 1),)",298,6,10,1,1,"((0, 1),)","((0, 1),)",298,10,6,1,1,"((0, 1),)","((0, 1),)",298,6,10,1,1,"((0, 1),)","((0, 1),)",298,6,10,1,1,"((0, 1),)","((0, 1),)",298,10,6,1,1,"((0, 1),)","((0, 1),)"
0,25050600017,minus,88,88,2,1,442,397,297,-1,1,1,1,-2,0,defined,297,1,5,1,1,"((1, 0),)","((1, 0),)",354,5,1,1,1,"((1, 0),)","((1, 0),)",354,5,1,1,1,"((1, 0),)","((1, 0),)",297,1,5,1,1,"((1, 0),)","((1, 0),)",297,5,1,1,1,"((1, 0),)","((1, 0),)",347,1,479,1,0,"((1, 0),)",(),347,1,479,1,0,"((1, 0),)",(),297,5,1,1,1,"((1, 0),)","((1, 0),)"
0,25050600018,minus,19,50,1,2,251,199,191,-1,1,1,-1,0,2,defined,191,1,3,1,1,"((1, 0),)","((1, 0),)",241,3,1,1,1,"((1, 0),)","((1, 0),)",241,3,1,1,1,"((1, 0),)","((1, 0),)",191,1,3,1,1,"((1, 0),)","((1, 0),)",191,3,1,1,1,"((1, 0),)","((1, 0),)",191,1,3,1,1,"((1, 0),)","((1, 0),)",191,1,3,1,1,"((1, 0),)","((1, 0),)",191,3,1,1,1,"((1, 0),)","((1, 0),)"
0,25050600051,minus,15,70,1,3,351,399,91,-1,0,1,-1,-1,2,defined,186,6,0,1,1,"((1, -1),)","((1, -1),)",231,0,6,1,1,"((1, -1),)","((1, -1),)",231,0,6,1,1,"((1, -1),)","((1, -1),)",186,6,0,1,1,"((1, -1),)","((1, -1),)",91,0,6,1,1,"((1, -1),)","((1, -1),)",241,6,0,1,1,"((1, -1),)","((1, -1),)",241,6,0,1,1,"((1, -1),)","((1, -1),)",91,0,6,1,1,"((1, -1),)","((1, -1),)"
0,25050600065,plus,25,46,4,1,234,189,474,-1,0,1,-1,-1,2,defined,469,5,167,1,1,"((0, 1),)","((0, 1),)",5,167,5,1,1,"((0, 1),)","((0, 1),)",5,167,5,1,1,"((0, 1),)","((0, 1),)",469,5,167,1,1,"((0, 1),)","((0, 1),)",474,167,3,1,1,"((0, 1),)","((0, 1),)",10,0,167,1,1,"((0, 1),)","((0, 1),)",10,0,167,1,1,"((0, 1),)","((0, 1),)",474,167,3,1,1,"((0, 1),)","((0, 1),)"
0,25050600079,plus,24,86,2,3,432,477,117,-1,1,1,-1,0,2,defined,117,223,9,1,1,"((0, 1),)","((0, 1),)",122,9,223,1,1,"((0, 1),)","((0, 1),)",122,9,223,1,1,"((0, 1),)","((0, 1),)",117,223,9,1,1,"((0, 1),)","((0, 1),)",117,9,223,1,1,"((0, 1),)","((0, 1),)",117,223,9,1,1,"((0, 1),)","((0, 1),)",117,223,9,1,1,"((0, 1),)","((0, 1),)",117,9,223,1,1,"((0, 1),)","((0, 1),)"
0,25050600137,minus,63,36,3,1,183,138,303,-1,1,1,-1,0,2,defined,303,0,16,1,1,"((1, 0),)","((1, 0),)",308,16,0,1,1,"((1, 0),)","((1, 0),)",308,16,0,1,1,"((1, 0),)","((1, 0),)",303,0,16,1,1,"((1, 0),)","((1, 0),)",303,16,0,1,1,"((1, 0),)","((1, 0),)",303,0,16,1,1,"((1, 0),)","((1, 0),)",303,0,16,1,1,"((1, 0),)","((1, 0),)",303,16,0,1,1,"((1, 0),)","((1, 0),)"
0,25050600138,plus,71,69,2,2,347,292,362,0,1,0,-1,2,1,defined,8,103,10,1,1,"((0, 1),)","((0, 1),)",462,10,103,1,1,"((0, 1),)","((0, 1),)",462,10,103,1,1,"((0, 1),)","((0, 1),)",8,103,10,1,1,"((0, 1),)","((0, 1),)",272,10,103,1,1,"((0, 1),)","((0, 1),)",362,6,10,1,1,"((0, 1),)","((0, 1),)",362,6,10,1,1,"((0, 1),)","((0, 1),)",272,10,103,1,1,"((0, 1),)","((0, 1),)"
0,25050600153,minus,48,84,4,1,424,379,299,0,1,1,-1,1,2,defined,199,171,8,1,1,"((0, 1),)","((0, 1),)",249,8,171,1,1,"((0, 1),)","((0, 1),)",249,8,171,1,1,"((0, 1),)","((0, 1),)",199,171,8,1,1,"((0, 1),)","((0, 1),)",244,8,171,1,1,"((0, 1),)","((0, 1),)",299,171,8,1,1,"((0, 1),)","((0, 1),)",299,171,8,1,1,"((0, 1),)","((0, 1),)",244,8,171,1,1,"((0, 1),)","((0, 1),)"
0,25050600166,plus,57,51,4,2,259,204,79,0,0,0,0,0,0,defined,478,2,1,1,1,"((1, 0),)","((1, 0),)",24,1,2,1,1,"((1, 0),)","((1, 0),)",24,1,2,1,1,"((1, 0),)","((1, 0),)",478,2,1,1,1,"((1, 0),)","((1, 0),)",483,1,2,1,1,"((1, 0),)","((1, 0),)",24,2,1,1,1,"((1, 0),)","((1, 0),)",24,2,1,1,1,"((1, 0),)","((1, 0),)",483,1,2,1,1,"((1, 0),)","((1, 0),)"
