model,N,true_deltaM,pred_deltaM,signed_residual,signed_residual_scaled
fixed_13_8_cos4,145,0.00022633245872396725,0.0003731646405352606,-0.00014683218181129338,-0.47757793762257883
fixed_13_8_cos4,170,0.0009140497274162477,0.00023959298608699627,0.0006744567413292514,2.8407538054454546
fixed_13_8_cos4_power,145,0.00022633245872396725,0.001086449348371371,-0.0008601168896474038,-2.7975668903433837
fixed_13_8_cos4_power,170,0.0009140497274162477,0.0007390632705443869,0.00017498645687186079,0.7370279112051872
fixed_13_8_cos4_log_amplitude,145,0.00022633245872396725,0.0011995087933143068,-0.0009731763345903396,-3.165297559999944
fixed_13_8_cos4_log_amplitude,170,0.0009140497274162477,0.0008966966811732348,1.73530462430129e-05,0.07308953878013824
fixed_13_8_cos4_plus_cos8,145,0.00022633245872396725,0.00047638336511154113,-0.00025005090638757386,-0.813301244319242
fixed_13_8_cos4_plus_cos8,170,0.0009140497274162477,0.00010631371788476389,0.0008077360095314838,3.4021146239114213
free_alpha_cos4,145,0.00022633245872396725,0.0008132911364283998,-0.0005869586777044326,-1.909108148566642
free_alpha_cos4,170,0.0009140497274162477,0.0006245046665615311,0.00028954506085471655,1.2195389015608296
