N,split,rep1,rep2,delta_cos4,delta_cos8,delta_cos4_exact,delta_cos8_exact,delta_M,delta_M_se,mean_Mprime,mean_Mprime_se,delta_root,delta_root_se,A_M,A_M_se,B,B_se,y_scaled,y_scaled_se,samples,n_batches
65,train,"[8, 1]","[7, 4]",1.3633136094674556,1.0751623542593047,1152/845,3838464/3570125,0.0002187865930674445,0.0004037915835338863,8.378115685265216,0.001583188998493737,-2.6188141597049963e-05,4.818889495933905e-05,0.14171281987345835,0.2615445633184498,1.7510713566907825,0.00033089503793388655,0.1931990159694959,0.3565672626542653,2000000,40
85,train,"[9, 2]","[7, 6]",1.5944636678200692,-0.9948570539145843,2304/1445,-10386432/10440125,0.0016437669366669231,0.0003703881413845772,9.253536476177825,0.0016631121907395776,-0.00017767570255458053,4.0047875907670415e-05,1.407768901928904,0.3172109716124004,1.748942953773937,0.0003143326181095855,2.2446363668125913,0.5057813692698758,2000000,40
130,train,"[11, 3]","[9, 7]",1.3633136094674556,-1.0751623542593047,1152/845,-3838464/3570125,9.675944485883976e-05,0.00046018390033165517,10.84339355276502,0.00229461210879089,-8.838330232935343e-06,4.243177500003562e-05,0.19331054505786927,0.9193769221159536,1.747577575597982,0.0003698115950975546,0.2635428969309649,1.2533990701509805,2000000,40
145,holdout,"[12, 1]","[9, 8]",1.917717003567182,-0.10471054078930439,8064/4205,-9257472/88410125,0.00022633245872396725,0.0005291200283756784,11.289717460533744,0.00257251589756912,-2.009601647793846e-05,4.6847746253123146e-05,0.3838710193965308,0.8974136799503802,1.7465059617521732,0.00039796517207032816,0.7361559810733946,1.7209854732746412,2000000,40
170,holdout,"[13, 1]","[11, 7]",1.5944636678200692,0.9948570539145843,2304/1445,10386432/10440125,0.0009140497274162477,0.0004568335456656452,11.979886808125489,0.002346103464720994,-7.637905643635423e-05,3.812102645185207e-05,2.414541604558154,1.2067654190822863,1.7459603189829611,0.00034192339370460695,3.84989886290795,1.9241436163083654,2000000,40
