geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_13_1,0,50000,170,4801569,5316753,464505405,568474517,512130978,515184,8717966,50000,0
g_13_1,1,50000,170,4797070,5314223,463673666,567938495,511416398,517153,8779365,50000,0
g_13_1,2,50000,170,4798471,5313050,463909197,567675080,511433907,514579,8716463,50000,0
g_13_1,3,50000,170,4800009,5316438,464217683,568415858,511919268,516429,8795005,50000,0
g_13_1,4,50000,170,4799998,5317215,464220104,568569403,512016761,517217,8755985,50000,0
g_13_1,5,50000,170,4792851,5313392,462887355,567765490,510886812,520541,8879221,50000,0
g_13_1,6,50000,170,4795395,5314837,463340803,568079591,511282162,519442,8856070,50000,0
g_13_1,7,50000,170,4799264,5316241,464062482,568360991,511833759,516977,8755955,50000,0
g_13_1,8,50000,170,4798727,5314864,463989697,568050342,511647654,516137,8744731,50000,0
g_13_1,9,50000,170,4797364,5311994,463755566,567487476,511273565,514630,8695912,50000,0
g_13_1,10,50000,170,4798999,5313959,463981869,567838231,511552620,514960,8714860,50000,0
g_13_1,11,50000,170,4799232,5316998,464085024,568556058,511912242,517766,8816598,50000,0
g_13_1,12,50000,170,4802344,5317856,464669082,568715234,512323474,515512,8737368,50000,0
g_13_1,13,50000,170,4800470,5316023,464314108,568315377,511954656,515553,8720173,50000,0
g_13_1,14,50000,170,4800192,5316640,464295052,568432940,511972765,516448,8782462,50000,0
g_13_1,15,50000,170,4797015,5319165,463672827,568977853,511850116,522150,8950448,50000,0
g_13_1,16,50000,170,4797079,5313894,463660071,567849828,511396156,516815,8717587,50000,0
g_13_1,17,50000,170,4798857,5314017,464001613,567901559,511587095,515160,8728982,50000,0
g_13_1,18,50000,170,4797527,5314266,463754569,567930422,511452126,516739,8780739,50000,0
g_13_1,19,50000,170,4799412,5314848,464071356,568057812,511692067,515436,8745034,50000,0
g_13_1,20,50000,170,4801624,5317708,464546076,568633702,512208361,516084,8763056,50000,0
g_13_1,21,50000,170,4796937,5316926,463676221,568493908,511648818,519989,8872493,50000,0
g_13_1,22,50000,170,4800149,5313917,464236861,567853981,511718428,513768,8653986,50000,0
g_13_1,23,50000,170,4800076,5319989,464206858,569152613,512248934,519913,8861603,50000,0
g_13_1,24,50000,170,4796821,5317392,463638241,568633250,511688606,520571,8894279,50000,0
g_13_1,25,50000,170,4798584,5316083,463979652,568351717,511779340,517499,8772689,50000,0
g_13_1,26,50000,170,4799098,5315657,464041594,568289465,511787643,516559,8755773,50000,0
g_13_1,27,50000,170,4799109,5315998,464039987,568277278,511787019,516889,8743227,50000,0
g_13_1,28,50000,170,4799475,5314694,464176977,568045898,511738714,515219,8745447,50000,0
g_13_1,29,50000,170,4799191,5316586,464052185,568430158,511854076,517395,8774191,50000,0
g_13_1,30,50000,170,4798230,5316973,463857358,568536331,511784758,518743,8824173,50000,0
g_13_1,31,50000,170,4801476,5315390,464471126,568210626,512016437,513914,8648878,50000,0
g_13_1,32,50000,170,4801002,5318275,464419732,568788359,512211781,517273,8784529,50000,0
g_13_1,33,50000,170,4800852,5317711,464443384,568690303,512157910,516859,8817867,50000,0
g_13_1,34,50000,170,4798855,5314007,464017825,567904471,511602567,515152,8717162,50000,0
g_13_1,35,50000,170,4798919,5316125,464015743,568330855,511786963,517206,8772672,50000,0
g_13_1,36,50000,170,4795617,5313244,463381833,567714920,511163970,517627,8768813,50000,0
g_13_1,37,50000,170,4800611,5316497,464335713,568446455,512023710,515886,8734748,50000,0
g_13_1,38,50000,170,4799936,5316682,464187538,568440872,511944015,516746,8740380,50000,0
g_13_1,39,50000,170,4792571,5314266,462806191,567962430,510946759,521695,8875103,50000,0
