k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,2
68,1
69,1
70,2
71,3
72,9
73,11
74,18
75,46
76,67
77,113
78,153
79,236
80,347
81,537
82,775
83,1222
84,1686
85,2311
86,3262
87,4467
88,6146
89,8173
90,10818
91,14175
92,18251
93,23272
94,28789
95,35722
96,42290
97,50432
98,59655
99,68361
100,76239
101,84073
102,90710
103,96320
104,100993
105,103927
106,103728
107,102515
108,99276
109,95167
110,88641
111,82332
112,74482
113,67154
114,59232
115,51389
116,44273
117,37782
118,32037
119,26653
120,21567
121,17329
122,14215
123,11347
124,8886
125,6852
126,5453
127,4316
128,3240
129,2451
130,1737
131,1275
132,920
133,655
134,482
135,337
136,226
137,162
138,97
139,67
140,43
141,37
142,10
143,8
144,7
145,1
146,2
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
