k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,2
69,4
70,2
71,8
72,8
73,10
74,24
75,39
76,61
77,110
78,150
79,231
80,319
81,537
82,791
83,1182
84,1527
85,2290
86,3254
87,4508
88,5952
89,8237
90,10761
91,14290
92,18289
93,23210
94,28844
95,35297
96,42814
97,50883
98,59233
99,68162
100,76149
101,83795
102,91094
103,96199
104,101033
105,103461
106,103522
107,102048
108,98954
109,94751
110,88500
111,82059
112,74901
113,66646
114,59288
115,51827
116,44435
117,38119
118,31545
119,26466
120,21890
121,17915
122,14503
123,11328
124,9237
125,7021
126,5574
127,4214
128,3329
129,2490
130,1896
131,1377
132,1014
133,692
134,519
135,386
136,262
137,188
138,118
139,69
140,81
141,29
142,11
143,10
144,11
145,6
146,6
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
