geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_11_7,0,50000,170,4799581,5317642,464099675,568662876,511967236,518061,8828079,50000,0
g_11_7,1,50000,170,4804838,5317329,465140944,568614229,512550340,512491,8654493,50000,0
g_11_7,2,50000,170,4800719,5318849,464356353,568968191,512283376,518130,8757792,50000,0
g_11_7,3,50000,170,4802132,5316339,464626020,568385399,512177577,514207,8656265,50000,0
g_11_7,4,50000,170,4802771,5316576,464681827,568447860,512230830,513805,8668027,50000,0
g_11_7,5,50000,170,4796395,5312914,463556013,567681296,511223054,516519,8791201,50000,0
g_11_7,6,50000,170,4802477,5318359,464651697,568827439,512373931,515882,8731274,50000,0
g_11_7,7,50000,170,4801935,5317953,464539963,568737419,512282396,516018,8712590,50000,0
g_11_7,8,50000,170,4799442,5315506,464063120,568222276,511759303,516064,8766790,50000,0
g_11_7,9,50000,170,4800513,5317109,464268015,568562647,512030724,516596,8769214,50000,0
g_11_7,10,50000,170,4802290,5318596,464633892,568903442,512385504,516306,8766326,50000,0
g_11_7,11,50000,170,4798206,5315315,463846292,568165205,511638227,517109,8735043,50000,0
g_11_7,12,50000,170,4801133,5318984,464405961,568979212,512291670,517851,8801833,50000,0
g_11_7,13,50000,170,4800518,5318079,464256262,568787977,512150771,517561,8742697,50000,0
g_11_7,14,50000,170,4802176,5320310,464621090,569238414,512521375,518134,8816754,50000,0
g_11_7,15,50000,170,4798512,5317063,463926078,568562567,511834672,518551,8819301,50000,0
g_11_7,16,50000,170,4800128,5317057,464217080,568560875,512009543,516929,8758869,50000,0
g_11_7,17,50000,170,4801715,5317050,464533819,568531360,512170362,515335,8724455,50000,0
g_11_7,18,50000,170,4798387,5313899,463876281,567860423,511514551,515512,8707602,50000,0
g_11_7,19,50000,170,4802169,5318736,464567049,568891682,512361095,516567,8736541,50000,0
g_11_7,20,50000,170,4799910,5315162,464194872,568160808,511821518,515252,8712644,50000,0
g_11_7,21,50000,170,4797937,5313891,463801087,567879199,511464368,515954,8751550,50000,0
g_11_7,22,50000,170,4799273,5316305,464045851,568363435,511824911,517032,8759464,50000,0
g_11_7,23,50000,170,4802142,5319235,464596068,569017059,512412732,517093,8787663,50000,0
g_11_7,24,50000,170,4800677,5319744,464345643,569151566,512323665,519067,8849879,50000,0
g_11_7,25,50000,170,4800243,5315143,464279559,568153643,511838889,514900,8755424,50000,0
g_11_7,26,50000,170,4801321,5316384,464478083,568410316,512085935,515063,8716529,50000,0
g_11_7,27,50000,170,4798936,5318381,463983456,568842027,512001987,519445,8821509,50000,0
g_11_7,28,50000,170,4799919,5317377,464184005,568651665,512016160,517458,8803350,50000,0
g_11_7,29,50000,170,4800376,5316953,464260732,568528037,512016638,516577,8755493,50000,0
g_11_7,30,50000,170,4799512,5318872,464089628,568986520,512111439,519360,8853270,50000,0
g_11_7,31,50000,170,4798734,5315232,463957580,568187814,511690255,516498,8764884,50000,0
g_11_7,32,50000,170,4799895,5318352,464149495,568811174,512075400,518457,8809869,50000,0
g_11_7,33,50000,170,4802851,5317455,464730443,568629319,512325966,514604,8707830,50000,0
g_11_7,34,50000,170,4805009,5317938,465102213,568760824,512621458,512929,8620121,50000,0
g_11_7,35,50000,170,4799157,5315799,464019227,568305533,511775070,516642,8774620,50000,0
g_11_7,36,50000,170,4801048,5315570,464383830,568218106,511940265,514522,8721406,50000,0
g_11_7,37,50000,170,4800239,5316966,464261273,568567188,512051245,516727,8725971,50000,0
g_11_7,38,50000,170,4798218,5317223,463826556,568611631,511806683,519005,8824821,50000,0
g_11_7,39,50000,170,4798494,5315511,463927542,568216027,511678535,517017,8786499,50000,0
