batch,replica_first,samples,field_sha256,translation_sha256,d1_T1_plus_re,d1_T1_plus_im,d1_A1_plus_re,d1_A1_plus_im,d1_T2_plus_re,d1_T2_plus_im,d1_A2_plus_re,d1_A2_plus_im,d1_T1_minus_re,d1_T1_minus_im,d1_A1_minus_re,d1_A1_minus_im,d1_T2_minus_re,d1_T2_minus_im,d1_A2_minus_re,d1_A2_minus_im,d2_T1_plus_re,d2_T1_plus_im,d2_A1_plus_re,d2_A1_plus_im,d2_T2_plus_re,d2_T2_plus_im,d2_A2_plus_re,d2_A2_plus_im,d2_T1_minus_re,d2_T1_minus_im,d2_A1_minus_re,d2_A1_minus_im,d2_T2_minus_re,d2_T2_minus_im,d2_A2_minus_re,d2_A2_minus_im,d3_T1_plus_re,d3_T1_plus_im,d3_A1_plus_re,d3_A1_plus_im,d3_T2_plus_re,d3_T2_plus_im,d3_A2_plus_re,d3_A2_plus_im,d3_T1_minus_re,d3_T1_minus_im,d3_A1_minus_re,d3_A1_minus_im,d3_T2_minus_re,d3_T2_minus_im,d3_A2_minus_re,d3_A2_minus_im,d4_T1_plus_re,d4_T1_plus_im,d4_A1_plus_re,d4_A1_plus_im,d4_T2_plus_re,d4_T2_plus_im,d4_A2_plus_re,d4_A2_plus_im,d4_T1_minus_re,d4_T1_minus_im,d4_A1_minus_re,d4_A1_minus_im,d4_T2_minus_re,d4_T2_minus_im,d4_A2_minus_re,d4_A2_minus_im,d5_T1_plus_re,d5_T1_plus_im,d5_A1_plus_re,d5_A1_plus_im,d5_T2_plus_re,d5_T2_plus_im,d5_A2_plus_re,d5_A2_plus_im,d5_T1_minus_re,d5_T1_minus_im,d5_A1_minus_re,d5_A1_minus_im,d5_T2_minus_re,d5_T2_minus_im,d5_A2_minus_re,d5_A2_minus_im,d6_T1_plus_re,d6_T1_plus_im,d6_A1_plus_re,d6_A1_plus_im,d6_T2_plus_re,d6_T2_plus_im,d6_A2_plus_re,d6_A2_plus_im,d6_T1_minus_re,d6_T1_minus_im,d6_A1_minus_re,d6_A1_minus_im,d6_T2_minus_re,d6_T2_minus_im,d6_A2_minus_re,d6_A2_minus_im
0,0,400,41d3387f939af5bcaaf053b104a749d55f5351ee96544ae518c8e415aa0df58c,09d51db02210fe702d4e304adb8631c63704e08ad9a8e3e0578f2af52e2b7049,2.6509830056250534,0.39283343455272846,1.1472135954999583,1.9961586729571013,3.769016994374948,-0.12522736401245027,0.25278640450004225,1.0234014619777227,2.6029992668625637,1.2625053732306721,0.9722793735874403,1.710031941520753,3.9670007331374353,-0.6392027710857349,-0.30227937358744,-0.25746991859003543,3.0078211263873733,0.9542365500833113,-0.38283665448744864,0.46049693815763515,0.30217887361262746,1.2206279558018887,0.7128366544874494,2.019515429489817,1.3030495168499714,0.7625603472876608,0.8877708763999654,-1.1353126402517677,0.6769504831500299,0.3398554350669143,0.17222912360003345,0.008075201827856461,0.01729490168751617,0.2947024026940392,0.0060487837125348665,-0.583699860800579,0.35270509831248453,0.6290075467324378,0.7439512162874651,0.3489906481574908,1.1788854381999827,0.9233050611525757,-1.4238699100999073,-0.34631108379916575,0.821114561800016,-0.2179627584016081,0.5438699100999083,1.8363193167959249,0.6436067977499786,-0.10383597644619025,-0.634427190999916,1.025521484503161,0.19639320225002083,-0.8527708308774792,1.154427190999915,-1.574263537284159,0.8328366544874484,0.44051137772494525,-0.38450849718747326,0.6803659931226491,-0.26283665448744875,-0.5426322199195974,0.17450849718747324,-1.8664410291788573,0.02763932022500211,0.4561978207037059,0.03554175279993253,0.401813994084321,0.07236067977499684,-2.609575357866714,-1.3955417527999332,-0.22482329540776058,0.33395121628746516,2.021635452015256,0.5593614129124338,0.43284106417099044,-0.40395121628746555,-0.038601802484690674,-0.8493614129124344,-1.1256769577313568,0.9533939353874569,0.4097345423531929,-1.244477440987322,-1.120126666702841,0.03660606461254296,-0.5353667946395438,2.534477440987323,-0.2716914620321752,0.7594427190999918,2.052257633828025,0.3504257247250446,0.49919432179825984,0.5805572809000088,-1.4917233672482955,1.2895742752749568,1.7017065049779807
1,400,400,b53b1cd92c79401f1a2186258bdc6345f0802e2946fa4a823a95c607d78ad143,f8273519b3e812d093a1096b87deb802e0ae867f872aa249abb5747a8f39bcd1,3.2200813061875597,0.4961098691660333,2.5521167612123246,-0.4396060200212111,4.449918693812441,-1.2705805750585286,-1.1821167612123247,-0.6922763517274807,3.1118033988749896,-0.2312789441400125,2.2421980673998827,0.6386432292528477,2.8881966011250113,0.6719449754239416,-0.26219806739988266,-0.7356186686928864,1.3405070309126021,1.5121503247077694,-0.3203444185374863,-1.7544342697488788,3.5094929690873973,-0.9580717068602906,-0.029655581462514236,-1.0317268985204948,0.7767376207875077,1.1518088597783305,-0.258966744387541,-1.8630107606757806,0.9332623792124918,-0.9704825348949583,-1.1310332556124594,-0.9411115266567751,2.5107390870623787,0.4900591087076835,0.8181152949374534,2.302057238864107,-0.060739087062379245,0.35544629688974144,-0.18811529493745274,-0.3647361635393015,1.1476393202250026,-0.1611496021388168,1.228854381999832,-0.17174971476601283,1.1923606797749977,0.005550291028515227,-2.3488543819998307,-2.103925387336204,0.16819660112501061,2.1048307450399393,0.6895742752749563,-0.015436208263843246,0.39180339887498916,-1.4066582864130925,-0.24957427527495551,1.173354900903574,1.1097871376374775,-0.5037801827199889,0.5471322893123999,-0.14262894124274747,0.640212862362522,0.6875358372467684,-1.5771322893124007,1.8044824701614524,1.0101315561749642,1.426835009157648,-0.39613008990009274,-1.0794048416927118,0.24986844382503634,-0.011910358604833832,-2.3638699100999068,2.1718391256560268,1.4124109297624043,1.0272956911577498,-2.135754615162457,-0.5076153394969664,-0.6224109297624034,2.080664211959421,-1.174245384837545,0.3960134683408879,2.470212862362522,0.8495907970893195,0.9837886039123496,-1.3047876789333572,2.939787137637477,-0.7366786799556059,-2.2137886039123513,-0.2280989103518523,0.059179606750062674,-3.058007283860533,-1.7823606797749978,-0.5578181934685223,1.4008203932499375,0.39697789844767484,-1.7376393202250024,-0.16074471386491454
2,800,400,9d3c26b1da5a96d744d91870a8932f773e520238805cdf1fcbf4ca77f2359152,fb84c97449eb679ca1c18da5a3d71be5047eae8b029c4e44e135a619471c4341,5.6285912696499025,-0.11331700540761849,-2.8503946685248924,0.7489348544312904,3.571408730350096,1.0340015746049172,-0.5696053314751071,-0.9566068073236688,5.008722825824868,-1.440151194896053,-0.5740325224750228,1.3323844805169514,2.1912771741751333,1.6071603951813498,-1.0659674775249774,-0.4120092184376157,2.4838699100999073,-0.4979796569765562,0.7856733089748973,0.9618477912342155,0.5161300899000926,-0.044902797657958404,-1.4056733089748976,-1.9816278223969959,2.3854101966249677,-1.4802178969173638,0.5009519494249023,1.3956532855119939,1.7145898033750318,-1.1776905271103861,-1.6009519494249014,-0.5569128357647868,1.3690169943749477,0.8625611669568733,1.06636214604987,1.3238088092592597,0.2509830056250522,0.9011038970385137,-1.7063621460498692,0.2398546153977028,1.5860990336999412,-0.4684174864265085,1.7744271909999167,1.4336955461638001,0.3339009663000585,-1.7089719302580357,-0.014427190999915768,-0.5334014256730883,0.5675580140374444,-1.5557428763880916,-0.7792298567374689,-0.42083512441022386,-0.6175580140374444,0.773410694629776,-0.13077014326253056,0.2130675903619106,0.2632623792124927,-0.42164490095802654,1.756149283687347,-1.889952439270557,0.10673762078750727,-0.8914682145181041,-1.4861492836873473,-0.6423237324708418,0.44750776405003767,0.7818317123284813,1.3563621460498692,-0.5834496260856618,1.2524922359499624,-0.5419770969307794,-1.4163621460498699,-0.5445975888860527,1.103475241575015,1.2211874976347736,2.6513776741499453,-0.1470236398526109,1.4165247584249867,1.0438874918402457,1.488622325850055,-0.4851639406679874,-0.0883281572999743,-0.6749703556531164,-0.4948529157249609,0.5677041107038505,0.44832815729997455,0.5817344918341227,0.35485291572495936,-1.1737597891774754,0.5165247584249854,-0.7617505707398584,-0.0033126291998975127,1.0716389469828234,0.20347524157501407,0.7646803698131,2.1433126291998987,-0.415439486940693
3,1200,400,83007339459cbddb40b06870215cde6759241329ed8affc4846a3f76fa5222e9,c592b3d7ecbd4c821398104963956fd40e2f4270d50111e264e8fde267cbbf8e,2.1844079972126607,-1.6903556882060338,1.7949031657123669,0.8837979009641488,5.605592002787343,-0.072094710967652,-1.0449031657123669,-1.0046896387697852,2.3498684438250357,1.875671823425367,1.8126237921249273,-0.20524262324897263,3.1101315561749643,-0.31281817531620737,0.2473762078750738,1.6080657528850868,0.7548839719251114,-0.8629660552307751,0.7421980673998833,0.023106521817797376,3.125116028074889,-1.4533717994785227,-1.7621980673998827,-0.5903101630918131,1.8996555814625138,-1.2244631125788674,1.9278211263873724,-1.4342550879966862,2.190344418537487,0.6627141811774317,-0.7778211263873733,-1.4647226162504698,1.044934221912517,0.9717927808725949,0.6368691769624716,-0.9953041909642933,1.4250657780874822,0.46916819057125836,0.033130823037528456,-0.43112592991945314,0.7743769410125093,-0.5110456080000422,0.9200502499874071,-0.45585200483285526,0.9756230589874908,0.6567590018750158,-1.0700502499874058,-0.6234572557039229,0.18840946348753276,1.8608907381503408,-0.17313082303752822,1.2850158444627031,0.8815905365124671,0.5192163909838321,-0.7768691769624713,2.8971079164366347,0.43896674438754035,1.14575809931998,-0.7266060646125432,0.47290776619230357,1.3110332556124586,0.6555443370533123,-1.6433939353874565,1.6591739645603787,1.1077708763999663,0.08203970060602883,-0.4333436854000504,0.34621550264323253,0.39222912360003376,0.7604403247622217,-1.5066563145999492,0.5031250597311709,-0.9973451516749232,0.2811359822407183,-0.5577708763999665,-0.5877852522924726,0.657345151674923,3.1178458203524992,0.15777087639996668,0.9510565162951539,1.5506888370749736,-0.791121578978041,-1.9302631123499276,0.48990445514870046,0.9693111629250268,-2.2501392506410127,-0.40973688765007116,-1.090409842593809,1.1722291236000344,-0.03844714892570785,0.16236067977499732,-1.1144217221153427,1.887770876399966,-0.5757793125317066,0.11763932022500247,1.3353142795901927
4,1600,400,8ee89e23b06569ec65fb59d0694b8f83c4df5179c3508af383b46ef40bf9ed80,392258d0432972653a78e5132476565796a7f5d9524ff5af6c82bb4f05b1566c,3.8993614129124343,2.136572010518478,0.4328366544874488,0.14172358353901193,2.4906385870875667,1.1364682326704199,-0.6628366544874481,-0.5695738985143728,4.732492235949964,3.4918127781383084,0.3688854381999832,-0.9570116955975707,3.9275077640500395,1.027737088184533,0.011114561800016735,-1.3012027568712974,1.1697871376374787,1.9306151918776377,0.34326237921249264,-0.01135081677194845,0.7002128623625219,-0.6994461958516021,0.18673762078750736,0.5712890327659107,1.5494929690873982,1.398428431026251,-0.7132623792124924,1.4256794167389955,-0.6194929690873983,-0.47633803469537894,-0.556737620787507,2.1165864500857885,0.4004257247250444,-0.24066439194550485,-0.05888543819998317,0.9335958666618044,1.3395742752749555,0.21927300437924507,0.2988854381999831,-1.0001993590039904,0.23758907023759618,1.0384918543707138,0.22464005336243828,-0.321239193014913,2.272410929762404,0.0635190397099601,-1.0946400533624383,0.2220481498935032,1.1677708763999661,0.597170700097966,-0.6900000000000004,-1.9957537846832012,0.45222912360003353,-0.4983845452504575,-0.6899999999999995,-0.4711335595377139,0.13188470506254688,1.4829930424316213,0.519361412912434,-0.10368132288720527,1.138115294937453,1.2582653281797933,-0.8893614129124333,0.593085308606072,-0.5749031657123664,0.4011588710955023,-1.2375580140374445,-0.789251791167519,2.264903165712367,0.11649703919577403,-0.052441985962555865,-0.9346558779245236,1.4115402865250608,0.03975739490334425,-0.4529179606750069,-1.3870776142543035,2.7084597134749395,-0.10686135667536611,-0.5870820393249939,-0.09495099807053131,0.45854101966249594,-4.019199952105931,-0.27604878371253455,0.7508046422418114,0.39145898033750337,2.037285386241134,-1.0139512162874653,0.35887656539281815,1.2011145618000159,-2.108165432387081,1.1479024325749307,0.05600337971498909,1.5588854381999837,-0.6720405565798746,-0.32790243257493035,-0.17568045269892374
5,2000,400,14423522cad71d711a62c2b41e8e5eb30b09045d4bd5b6f2829e4126939561ff,df6786b407ebcd0be0ad77331ffbf6df2d307e0f3cf84af2100c23db6a632310,4.142917960675005,-0.3082688231473604,0.3155417527999327,-0.047022820183397505,4.277082039324994,1.8598307268876206,-1.115541752799933,0.07608452130361297,6.29400146627487,-1.3298595697176117,0.2399999999999997,-1.5790040517648722,3.5659985337251277,1.3861722565505668,0.24000000000000002,-0.08213528176196275,1.7032623792124926,-0.4850092871090034,0.7163118960624628,1.04192212287379,1.5467376207875074,1.5928797793361604,-0.06631189606246335,-0.19722649382416715,1.186818926975065,-0.43602109795915034,-1.6979024325749306,-0.8917184492330211,2.573181073024936,0.49283425422194077,-0.22209756742506892,1.3152331380015703,2.491590536512468,0.13264744285148627,-0.6738196601125008,-0.6755298974860009,1.798409463487532,1.8694664094080329,-0.6961803398874991,-1.4163895500894343,1.776048783712535,-0.19258156049938738,-0.43296821066241237,0.15584954582521793,2.5139512162874653,0.35413605091210465,1.4229682106624126,-1.0602881302108764,-0.31232962357484606,0.9044385843856573,-0.43498447189992434,0.9041292772676888,2.9523296235748475,1.2161376760360922,1.174984471899923,-1.6755746029310084,1.021671842700025,0.7010066765441553,0.65,-0.5094851273074882,1.558328157299975,0.3543862856270218,0.6500000000000001,-0.9194699043755987,-0.7951160280748889,-0.6950514972417398,0.27124611797498155,-0.19233132578447054,1.5751160280748897,0.35903121895180123,-0.13124611797498142,-0.5394521861314389,1.7134441853748639,1.5973700591019566,0.1931810730249358,0.23813948114616423,-1.193444185374863,0.4352113214113478,-1.1931810730249348,-1.1934360424921975,-1.1861492836873466,-0.19086642624784939,1.3865750084123922,-1.9682525642555413,2.056149283687347,0.22376328414504043,-0.9165750084123921,1.2282026881999104,1.1897871376374776,0.8495907970893202,1.583525491562422,0.6601892703780915,0.7202128623625216,-0.7366786799556053,-0.09352549156242135,0.2503000744659149
6,2400,400,3aa94a5f8f7be2b156b6efc20edeff421edde6ccb519713190c96ac7feb43e4a,e2a0a88a079763dc008e36bb51f886adc97342dd94c93680178388bc88a4ac4f,3.1711145618000165,0.4000988598327825,0.6659674775249775,0.30050292843747134,3.5288854381999823,-0.09445052864069756,0.17403252247502346,-0.10343108817228902,3.2802128623625197,-0.5160954295987241,0.32185364886239626,-0.43234059474115644,3.7497871376374774,-1.2915670743508876,-1.8918536488623954,-0.6614995163557286,2.9583281572999764,2.329963347565668,0.8338699100999079,1.2367192870545491,2.421671842700027,1.8868679866383298,-1.1338699100999081,-2.468911785590421,3.6528366544874475,2.792771470560608,0.06991869381244195,0.11740239689951029,2.557163345512553,-0.3506102012530963,-1.1599186938124424,-1.6360674427425805,0.35673762078750765,1.2123615916621664,0.38575461516245474,0.03567200341144988,0.5132623792124932,2.5893395627191076,-0.5757546151624544,0.495204511462298,1.686787870774915,0.3521706819456494,0.9744271909999159,0.29959757073373616,-0.14678787077491387,1.216542564309994,-0.8144271909999152,1.13147748347479,-0.17403252247502238,0.7015071459739908,1.577050983124843,-0.9681122776546014,-0.6659674775249772,-1.4327901884600633,-1.777050983124843,-1.623501961148928,0.0875077640500373,-0.05640826798889036,-0.03737620787507362,-1.8504452790821302,0.8924922359499622,-0.3765874497410844,-1.6026237921249264,0.14440314789733671,-0.7691796067500629,-0.04995261925663941,-1.8740014662748719,-3.453866098642435,-2.110820393249937,-1.4503464192493467,0.8540014662748718,1.335218698434259,0.5684597134749387,-0.30898301853922966,0.08390096630005808,-1.044697268388048,-0.7284597134749395,-1.5841494545194865,1.3360990336999419,0.11665169275475842,-0.06721359549995776,1.1002957598291365,-1.0188854381999835,-0.3043380852144491,0.8272135954999571,-0.8446000478936908,-0.6611145618000174,-0.18809128073359194,1.770820393249938,0.3257294727807085,0.9442956348249512,-0.9246153071302136,0.4291796067500624,-0.2718461155911587,-0.08429563482495145,0.9006034276086797
7,2800,400,7e6ce1042c30a770f434587d3d16dc9266d33651ca44b834714c310adb1e6269,07c0d0c4aed805e7d463bbc9a048ebd895a01ff54eb01231277878b79a4d4d11,4.571296367962387,-0.49913524939521003,-0.6157546151624544,0.48279368342763096,2.1787036320376107,2.083594011032664,0.34575461516245476,0.32466946151798876,2.6260487837125353,-0.6619044046296305,-2.1167065645873566,-1.0388967426446145,3.3639512162874636,-0.11992730769885199,0.9467065645873559,-0.6157869421499682,2.64636214604987,0.7463143624760153,-1.1568189269750655,0.5595333277200618,-0.12636214604986973,0.40867453109047336,-2.543181073024934,0.03037194709785207,0.4575077640500376,-1.390912771031281,-0.5597368876500708,0.46598815678309946,1.2624922359499624,-0.38647336697641155,-2.0802631123499293,-1.60463548438201,3.3867065645873558,1.5274909518156778,-0.10506577808748205,-1.2171021061428786,0.32329343541264416,0.20801776876323055,0.27506577808748195,-1.6459533599779088,1.4619349550499543,0.7472197201797511,0.1794427190999914,-0.5205857093645195,0.47806504495004637,-0.8262340405566053,0.0005572809000083251,-1.2417691086532316,0.6427864045000422,0.31846404750065427,-0.28639320225002085,-0.46901353701227466,1.5372135954999582,-0.30262295096291203,-0.7336067977499783,2.417648920356147,1.1011145618000164,-2.314217832183857,-1.0799999999999998,0.9378359117126855,1.4588854381999823,-0.16851060857480354,-1.0800000000000003,-0.15640908765810316,-0.05124611797498133,1.4965594628849428,-0.601803398874989,-1.1092763193607287,0.3512461179749815,-1.2305729454402667,-0.3781966011250104,0.9441959792890007,-1.1496555814625131,0.6383929945379317,-0.8917220926874321,0.7823912541613669,-1.4403444185374863,0.15796956835065712,0.5617220926874306,1.4561469449927793,2.5852786404500026,-0.6228021327151059,0.21291796067500657,1.3405552635007398,2.674721359549997,0.11453167022931873,0.3470820393249932,-1.616140954712943,2.6137383539249437,-0.4210853591251421,-0.5447213595499959,0.12734738653788896,1.4062616460750574,1.1066558274054539,-0.4552786404500041,0.8147285702256729
8,3200,400,6f13d8a7d049182a9cb2347916cf1875e5e2baad4324225342ed8e3afd066d4d,19d988d540eaad811eccdb82c705f9c2708f3d3801d383cf607a03033d6070a3,2.784934221912519,1.3509051414130187,1.3957546151624547,-0.5776491003422285,3.1650657780874814,1.386922960695319,0.43424538483754493,-1.2770362237907793,5.292836654487447,1.5865197117598422,1.7157546151624548,0.6986364193037988,4.197163345512552,-0.7806761199098291,0.7542453848375459,0.8260793869976213,3.4691485505499142,0.7770911978477674,0.7127553482998903,-1.5815289625642133,1.590851449450088,0.40140910581042005,-1.6127553482998915,-1.0562983198749134,2.9254915028125286,-1.2273929116521078,0.9590672443623541,-0.29560776039777514,3.4845084971874747,-0.8637167593755269,-2.1490672443623535,0.6059010249146408,2.09026311234993,1.3754765627674381,-0.5895742752749553,0.11160187115607759,0.5697368876500718,1.5598282678799849,0.349574275274955,-0.9036288078378548,2.807182539299808,0.2962628833865926,0.49832815729997465,-1.8974680992655275,-1.3071825392998073,-0.9472213595181753,-0.038328157299974866,0.2204876692009492,-2.489198800537318,0.1836010009677964,-0.5140827724624301,-0.24172440320822472,1.3791988005373184,-0.254540119516794,0.9840827724624298,0.008325436542773214,-1.9612150617748298,-0.6398578940745517,-0.22068883707497272,-1.3016076451451977,1.661215061774831,-0.9211850386271375,0.36068883707497285,0.40474379315756304,-0.3694929690873976,0.4233600352095648,-0.1238196601125012,0.10580134541264513,1.7994929690873978,0.7610954477510397,-0.14618033988749857,-0.1711901729331268,1.8497560814373257,0.4413211542727478,0.6807390870623793,1.1812754491724458,-1.8397560814373273,0.5619035849604178,-1.8907390870623786,-0.2951072909679399,0.45458980337503163,0.5330921185551203,-1.3952786404500046,0.8916228680770879,1.1254101966249677,-1.458016732803302,-1.4847213595499955,1.0242112385255255,1.880131556174964,-0.43683087450695296,-1.9066563145999493,0.12008196125783575,1.1198684438250357,-0.6117015506580739,-0.8333436854000497,0.7839517348539209
9,3600,400,b5ea1f1614bd3c175477d9a103a61c273b43749ad21405532da5bba6a91683a5,8abab07636c0fdec5b74f3a9bcd4c39db3ea19e525212de68e22a9f28ae9fc16,3.237933488775083,1.262255138515754,0.38944271909999195,1.601205215878936,4.982066511224917,0.2543854659578084,0.21055728090000858,0.7267336903172275,2.1090480505751006,1.5661883354563029,-0.9185912696499031,1.2776913467795978,4.2109519494249055,-0.10979115574860701,1.1385912696499032,-0.9189694349457641,0.6741951348501388,1.4615425824623105,1.7087228258248677,-0.04530768593185994,3.62580486514986,-2.067097791506103,-1.1087228258248674,-0.05428824546345081,0.8563429522626153,0.8658367819009651,1.2967065645873561,-0.38369822146215404,3.293657047737385,-0.805497775979165,-1.7667065645873554,1.4714875721006895,1.0423104297875918,0.35847167711891664,1.3129682106624128,-0.10620623368654734,2.9876895702124067,-1.3030725446818194,-0.5429682106624129,-0.3810777295068799,0.4046711095625898,0.8782476099356334,2.372410929762405,1.1714851130930515,2.3053288904374094,-1.1658392409086038,0.3375890702375954,-1.3000471644526443,2.909837387624884,0.6766854899046542,-0.7906888370749731,-1.1194715437140232,0.4501626123751162,-0.7121072586011875,-0.20931116292502733,-0.6130117966357103,1.2952786404500045,0.2620557795117642,0.2944271909999164,1.1349077519778659,1.3847213595499959,-0.6792104007039953,-1.494427190999917,-0.560343104267863,3.533525491562422,-0.06039807832485242,1.0429682106624123,0.4841039294052671,1.8564745084375782,-2.1139659581305144,-0.8129682106624122,-0.3579712076890822,3.2460679774997896,0.8309745550373179,2.371640786499874,-0.7950523169109525,-1.2260679774997898,-0.19616648256144764,-0.31164078649987387,-0.20221724301979774,2.045835921350012,0.1487387741041483,-0.7912461179749818,0.27820618316747725,2.3141640786499864,0.3547911739009225,-0.38875388202501876,1.591414879799541,1.7216718427000257,-0.053478468915648794,0.09164078649987338,-1.3691164951911199,2.2583281572999754,1.1498434908118749,-2.591640786499874,-0.29414286086115304
