N,target,estimator,mean,batch_mean_variance,variance_of_overall_mean,variance_reduction_vs_optimized
85,orientation_difference,optimized_gls,0.00021975000000000092,4.171669166666674e-06,1.0429172916666685e-07,1.0
85,orientation_difference,equal_weight,0.00021975000000000092,4.171669166666674e-06,1.0429172916666685e-07,1.0
85,orientation_difference,pilot_best_single_cross,0.0002197500000000012,4.171669166666672e-06,1.042917291666668e-07,0.9999999999999996
85,orientation_difference,single_cross,0.0002197500000000012,4.171669166666672e-06,1.042917291666668e-07,0.9999999999999996
85,orientation_difference,single_both,0.00021974999999999772,4.171669166666659e-06,1.0429172916666648e-07,0.9999999999999966
85,orientation_difference,single_either,0.0002197500000000019,4.17166916666669e-06,1.0429172916666725e-07,1.0000000000000038
85,orientation_difference,single_direction_0,0.00021975000000000605,4.171669166666666e-06,1.0429172916666665e-07,0.9999999999999982
85,orientation_difference,single_direction_1,0.00021974999999999772,4.1716691666666805e-06,1.0429172916666701e-07,1.0000000000000016
