a1,b1,a2,b2,N,channel,sector,cos4_first,cos4_second,delta_cos4_first_minus_second,first_estimate,first_batch_se,second_estimate,second_batch_se,difference_first_minus_second,difference_batch_se,difference_z,normalized_by_delta_cos4,normalized_batch_se,hypothesis_N_exponent,hypothesis_scaled_amplitude,hypothesis_scaled_batch_se
9,2,7,6,85,cross,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.312335,0.0003805702536309398,0.3123075,0.00028740009412413903,2.7500000000002522e-05,0.00039230396868519395,0.07009870456362886,1.7247178819446026e-05,0.0002460413345269554,1.0,0.0014660101996529123,0.02091351343479121
9,2,7,6,85,cross,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.3126875,0.0003293752341506491,0.3130995,0.00036853451113489483,-0.0004119999999999999,0.0003725702824764957,-1.105831622590542,-0.00025839409722222214,0.0002336649558066564,1.0,-0.02196349826388888,0.019861521243565793
9,2,7,6,85,cross,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31251125,0.00015384815503506123,0.3127035,0.00016879495602501666,-0.00019224999999999936,0.00020509456464937737,-0.9373724765873896,-0.00012057345920138849,0.0001286291865965062,1.0,-0.01024874403211802,0.010933480860703029
9,2,7,6,85,cross,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.00017624999999999794,0.0003209230851817366,-0.0003959999999999991,0.00028410651668082655,0.0002197500000000012,0.0003229423000578692,0.6804621133887491,0.0001378206380208341,0.00020253976718039105,1.625,0.18820016956063365,0.27657699945024655
9,2,7,6,85,cross,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.0003524999999999959,0.0006418461703634732,-0.0007919999999999982,0.0005682130333616531,0.0004395000000000024,0.0006458846001157384,0.6804621133887491,0.0002756412760416682,0.0004050795343607821,1.625,0.3764003391212673,0.5531539989004931
9,2,7,6,85,both,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.3504855,0.00034100378785774984,0.3507535,0.0003051224113326252,-0.0002680000000000016,0.00037416491633420666,-0.7162617025285773,-0.00016808159722222322,0.00023466506254467387,1.0,-0.014286935763888974,0.01994653031629728
9,2,7,6,85,both,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.350838,0.00038351197621122075,0.3515455,0.00034266750536163996,-0.000707499999999997,0.0003853035350247436,-1.8362146611360894,-0.000443722873263887,0.00024165087157584832,1.0,-0.037716444227430396,0.02054032408394711
9,2,7,6,85,both,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.35066175,0.00016938383338683863,0.3511495,0.0001566647367584345,-0.0004877499999999993,0.00019984336414378859,-2.4406614754996823,-0.0003059022352430551,0.00012533579044608268,1.0,-0.026001689995659685,0.010653542187917028
9,2,7,6,85,both,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.0001762500000000035,0.0003209230851817363,-0.0003960000000000012,0.00028410651668082704,0.00021974999999999772,0.0003229423000578687,0.6804621133887393,0.00013782063802083192,0.00020253976718039073,1.625,0.18820016956063068,0.2765769994502461
9,2,7,6,85,both,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,-0.000352500000000007,0.0006418461703634726,-0.0007920000000000024,0.0005682130333616541,0.00043949999999999545,0.0006458846001157374,0.6804621133887393,0.00027564127604166384,0.00040507953436078146,1.625,0.37640033912126136,0.5531539989004922
