L,batch,samples,pairs,eligible_pairs,nonzero_pairs,sum_g16,sum_g16_shared0,sum_g16_shared1,sum_g16_shared2,sum_g16_shared3,sum_g16_shared4,pairs_shared0,pairs_shared1,pairs_shared2,pairs_shared3,pairs_shared4
64,0,1000,32000,5222,1,4,0,0,4,0,0,2224,2996,2,0,0
64,1,1000,32000,5294,0,0,0,0,0,0,0,2111,3182,1,0,0
64,2,1000,32000,5364,2,8,0,0,8,0,0,2244,3114,6,0,0
64,3,1000,32000,5427,1,4,0,0,4,0,0,2222,3203,2,0,0
64,4,1000,32000,5256,1,-2,0,0,-2,0,0,2179,3073,4,0,0
64,5,1000,32000,5409,0,0,0,0,0,0,0,2332,3077,0,0,0
64,6,1000,32000,5210,0,0,0,0,0,0,0,2048,3161,1,0,0
64,7,1000,32000,5488,0,0,0,0,0,0,0,2278,3208,2,0,0
64,8,1000,32000,5381,2,5,0,0,5,0,0,2298,3078,5,0,0
64,9,1000,32000,5241,0,0,0,0,0,0,0,2198,3042,1,0,0
64,10,1000,32000,5314,0,0,0,0,0,0,0,2210,3102,2,0,0
64,11,1000,32000,5397,1,4,0,0,4,0,0,2229,3166,2,0,0
64,12,1000,32000,5166,0,0,0,0,0,0,0,2202,2964,0,0,0
64,13,1000,32000,5468,1,4,0,0,4,0,0,2226,3239,3,0,0
64,14,1000,32000,5299,0,0,0,0,0,0,0,2113,3180,6,0,0
64,15,1000,32000,5381,1,4,0,0,4,0,0,2219,3161,1,0,0
64,16,1000,32000,5399,1,4,0,0,4,0,0,2163,3233,3,0,0
64,17,1000,32000,5296,1,4,0,0,4,0,0,2221,3074,1,0,0
64,18,1000,32000,5308,0,0,0,0,0,0,0,2136,3167,5,0,0
64,19,1000,32000,5340,2,2,0,0,2,0,0,2187,3151,2,0,0
64,20,1000,32000,5250,0,0,0,0,0,0,0,2250,2999,1,0,0
64,21,1000,32000,5438,0,0,0,0,0,0,0,2380,3056,2,0,0
64,22,1000,32000,5204,0,0,0,0,0,0,0,2132,3069,3,0,0
64,23,1000,32000,5587,1,-2,0,0,-2,0,0,2372,3212,3,0,0
64,24,1000,32000,5081,0,0,0,0,0,0,0,2076,3005,0,0,0
64,25,1000,32000,5261,1,4,0,0,4,0,0,2249,3009,3,0,0
64,26,1000,32000,5162,2,2,0,0,2,0,0,2177,2983,2,0,0
64,27,1000,32000,5403,0,0,0,0,0,0,0,2264,3139,0,0,0
64,28,1000,32000,5384,1,4,0,0,4,0,0,2303,3079,2,0,0
64,29,1000,32000,5363,0,0,0,0,0,0,0,2216,3147,0,0,0
64,30,1000,32000,5364,1,4,0,0,4,0,0,2226,3137,1,0,0
64,31,1000,32000,5398,0,0,0,0,0,0,0,2251,3146,1,0,0
64,32,1000,32000,5381,1,4,0,0,4,0,0,2226,3153,2,0,0
64,33,1000,32000,5040,1,-4,0,0,-4,0,0,2044,2994,2,0,0
64,34,1000,32000,5506,2,8,0,0,8,0,0,2328,3176,2,0,0
64,35,1000,32000,5268,0,0,0,0,0,0,0,2259,3009,0,0,0
64,36,1000,32000,5461,1,4,0,0,4,0,0,2252,3205,4,0,0
64,37,1000,32000,5290,4,20,0,0,20,0,0,2235,3050,5,0,0
64,38,1000,32000,5315,1,4,0,0,4,0,0,2279,3033,3,0,0
64,39,1000,32000,5255,1,4,0,0,4,0,0,2208,3046,1,0,0
64,40,1000,32000,5408,1,4,0,0,4,0,0,2246,3159,3,0,0
64,41,1000,32000,5358,2,12,0,0,12,0,0,2258,3096,4,0,0
64,42,1000,32000,5595,1,-2,0,0,-2,0,0,2291,3302,2,0,0
64,43,1000,32000,5128,1,4,0,0,4,0,0,2090,3036,2,0,0
64,44,1000,32000,5237,0,0,0,0,0,0,0,2230,3007,0,0,0
64,45,1000,32000,5384,2,8,0,0,8,0,0,2246,3134,4,0,0
64,46,1000,32000,5266,1,4,0,0,4,0,0,2200,3062,4,0,0
64,47,1000,32000,5415,0,0,0,0,0,0,0,2313,3102,0,0,0
64,48,1000,32000,5329,2,8,0,0,8,0,0,2189,3138,2,0,0
64,49,1000,32000,5214,1,4,0,0,4,0,0,2119,3093,2,0,0
64,50,1000,32000,5411,0,0,0,0,0,0,0,2187,3222,2,0,0
64,51,1000,32000,5428,0,0,0,0,0,0,0,2293,3135,0,0,0
64,52,1000,32000,5329,1,4,0,0,4,0,0,2240,3087,2,0,0
64,53,1000,32000,5391,2,8,0,0,8,0,0,2245,3144,2,0,0
64,54,1000,32000,5218,2,8,0,0,8,0,0,2056,3160,2,0,0
64,55,1000,32000,5250,1,4,0,0,4,0,0,2099,3150,1,0,0
64,56,1000,32000,5297,0,0,0,0,0,0,0,2211,3086,0,0,0
64,57,1000,32000,5135,0,0,0,0,0,0,0,2135,2999,1,0,0
64,58,1000,32000,5154,1,4,0,0,4,0,0,2250,2903,1,0,0
64,59,1000,32000,5255,1,4,0,0,4,0,0,2205,3049,1,0,0
64,60,1000,32000,5081,1,4,0,0,4,0,0,2171,2908,2,0,0
64,61,1000,32000,5131,1,8,0,0,8,0,0,2109,3020,2,0,0
64,62,1000,32000,5494,0,0,0,0,0,0,0,2307,3187,0,0,0
64,63,1000,32000,5120,4,16,0,0,16,0,0,2066,3048,6,0,0
64,64,1000,32000,5277,1,8,0,0,8,0,0,2296,2977,4,0,0
64,65,1000,32000,5459,1,4,0,0,4,0,0,2306,3152,1,0,0
64,66,1000,32000,5210,3,4,0,0,4,0,0,2248,2956,6,0,0
64,67,1000,32000,5160,2,8,0,0,8,0,0,2180,2975,5,0,0
64,68,1000,32000,5223,1,4,0,0,4,0,0,2139,3083,1,0,0
64,69,1000,32000,5537,0,0,0,0,0,0,0,2295,3241,1,0,0
64,70,1000,32000,5118,0,0,0,0,0,0,0,2092,3024,2,0,0
64,71,1000,32000,5390,1,4,0,0,4,0,0,2281,3108,1,0,0
64,72,1000,32000,5439,1,4,0,0,4,0,0,2196,3240,3,0,0
64,73,1000,32000,5334,1,4,0,0,4,0,0,2143,3189,2,0,0
64,74,1000,32000,5285,1,4,0,0,4,0,0,2147,3137,1,0,0
64,75,1000,32000,5252,0,0,0,0,0,0,0,2231,3020,1,0,0
64,76,1000,32000,5423,1,-2,0,0,-2,0,0,2278,3141,4,0,0
64,77,1000,32000,5294,1,4,0,0,4,0,0,2147,3143,4,0,0
64,78,1000,32000,5222,2,2,0,0,2,0,0,2126,3092,4,0,0
64,79,1000,32000,5355,1,4,0,0,4,0,0,2120,3234,1,0,0
64,80,1000,32000,5236,1,4,0,0,4,0,0,2224,3009,3,0,0
64,81,1000,32000,5096,1,4,0,0,4,0,0,2118,2976,2,0,0
64,82,1000,32000,5195,1,4,0,0,4,0,0,2132,3059,4,0,0
64,83,1000,32000,5308,2,2,0,0,2,0,0,2245,3061,2,0,0
