L,batch,samples,pairs,eligible_pairs,nonzero_pairs,sum_g16,sum_g16_shared0,sum_g16_shared1,sum_g16_shared2,sum_g16_shared3,sum_g16_shared4,pairs_shared0,pairs_shared1,pairs_shared2,pairs_shared3,pairs_shared4
32,0,1000,32000,5175,4,16,0,0,16,0,0,1679,3484,12,0,0
32,1,1000,32000,5404,4,10,0,0,10,0,0,1725,3668,11,0,0
32,2,1000,32000,5315,7,25,0,0,25,0,0,1759,3541,15,0,0
32,3,1000,32000,5215,5,14,0,0,14,0,0,1702,3503,10,0,0
32,4,1000,32000,5242,8,20,0,0,20,0,0,1705,3527,10,0,0
32,5,1000,32000,5323,5,14,0,0,14,0,0,1714,3596,13,0,0
32,6,1000,32000,5386,6,28,0,0,28,0,0,1851,3517,18,0,0
32,7,1000,32000,5430,7,26,0,0,26,0,0,1774,3645,11,0,0
32,8,1000,32000,5152,3,12,0,0,12,0,0,1706,3431,15,0,0
32,9,1000,32000,5436,7,28,0,0,28,0,0,1681,3738,17,0,0
32,10,1000,32000,5344,3,12,0,0,12,0,0,1822,3507,15,0,0
32,11,1000,32000,5577,5,14,0,0,14,0,0,1790,3774,13,0,0
32,12,1000,32000,5280,3,6,0,0,6,0,0,1728,3542,10,0,0
32,13,1000,32000,5492,7,28,0,0,28,0,0,1883,3597,12,0,0
32,14,1000,32000,5440,4,10,0,0,10,0,0,1786,3643,11,0,0
32,15,1000,32000,5366,3,12,0,0,12,0,0,1822,3536,8,0,0
32,16,1000,32000,5099,6,26,0,0,26,0,0,1784,3302,13,0,0
32,17,1000,32000,5324,10,38,0,0,38,0,0,1737,3568,19,0,0
32,18,1000,32000,5234,2,8,0,0,8,0,0,1663,3562,9,0,0
32,19,1000,32000,5138,8,36,0,0,36,0,0,1663,3466,9,0,0
32,20,1000,32000,5255,7,36,0,0,36,0,0,1752,3491,12,0,0
32,21,1000,32000,5127,2,8,0,0,8,0,0,1697,3420,10,0,0
32,22,1000,32000,5443,3,12,0,0,12,0,0,1794,3639,10,0,0
32,23,1000,32000,5198,1,4,0,0,4,0,0,1691,3499,8,0,0
32,24,1000,32000,5413,2,8,0,0,8,0,0,1727,3676,10,0,0
32,25,1000,32000,5467,4,16,0,0,16,0,0,1727,3731,9,0,0
32,26,1000,32000,5195,5,8,0,0,8,0,0,1722,3458,15,0,0
32,27,1000,32000,5348,4,16,0,0,16,0,0,1799,3535,14,0,0
32,28,1000,32000,5074,5,2,0,0,2,0,0,1645,3422,7,0,0
32,29,1000,32000,5404,10,40,0,0,40,0,0,1870,3516,18,0,0
32,30,1000,32000,5270,6,18,0,0,18,0,0,1670,3587,13,0,0
32,31,1000,32000,5197,4,16,0,0,16,0,0,1721,3463,13,0,0
32,32,1000,32000,5213,4,16,0,0,16,0,0,1737,3469,7,0,0
32,33,1000,32000,5181,4,28,0,0,28,0,0,1629,3542,10,0,0
32,34,1000,32000,5318,5,14,0,0,14,0,0,1738,3567,13,0,0
32,35,1000,32000,5352,8,34,0,0,34,0,0,1790,3549,13,0,0
32,36,1000,32000,5109,3,12,0,0,12,0,0,1611,3487,11,0,0
32,37,1000,32000,5295,8,30,0,0,30,0,0,1722,3558,15,0,0
32,38,1000,32000,5419,10,44,0,0,44,0,0,1787,3618,14,0,0
32,39,1000,32000,5327,1,4,0,0,4,0,0,1718,3600,9,0,0
32,40,1000,32000,5171,3,12,0,0,12,0,0,1685,3477,9,0,0
32,41,1000,32000,5364,3,6,0,0,6,0,0,1860,3492,12,0,0
32,42,1000,32000,5408,7,32,0,0,32,0,0,1842,3547,19,0,0
32,43,1000,32000,5196,4,10,0,0,10,0,0,1709,3477,10,0,0
32,44,1000,32000,5085,5,20,0,0,20,0,0,1767,3309,9,0,0
32,45,1000,32000,5233,4,16,0,0,16,0,0,1693,3530,10,0,0
32,46,1000,32000,5306,3,9,0,0,9,0,0,1670,3623,13,0,0
32,47,1000,32000,5096,4,20,0,0,20,0,0,1613,3469,14,0,0
32,48,1000,32000,5604,7,22,0,0,22,0,0,1885,3706,13,0,0
32,49,1000,32000,5407,7,30,0,0,30,0,0,1770,3621,16,0,0
32,50,1000,32000,5467,5,14,0,0,14,0,0,1745,3709,13,0,0
32,51,1000,32000,5375,4,16,0,0,16,0,0,1818,3550,7,0,0
32,52,1000,32000,5351,5,20,0,0,20,0,0,1785,3556,10,0,0
32,53,1000,32000,5078,3,12,0,0,12,0,0,1694,3378,6,0,0
32,54,1000,32000,5123,5,14,0,0,14,0,0,1660,3456,7,0,0
32,55,1000,32000,5491,4,-2,0,0,-2,0,0,1811,3666,14,0,0
32,56,1000,32000,5263,5,20,0,0,20,0,0,1767,3485,11,0,0
32,57,1000,32000,5296,5,8,0,0,8,0,0,1790,3492,14,0,0
32,58,1000,32000,5129,6,20,0,0,20,0,0,1764,3352,13,0,0
32,59,1000,32000,5376,4,16,0,0,16,0,0,1793,3572,11,0,0
32,60,1000,32000,5211,5,14,0,0,14,0,0,1707,3495,9,0,0
32,61,1000,32000,5227,4,20,0,0,20,0,0,1773,3444,10,0,0
32,62,1000,32000,5587,4,16,0,0,16,0,0,1809,3767,11,0,0
32,63,1000,32000,5210,6,22,0,0,22,0,0,1705,3491,14,0,0
32,64,1000,32000,5162,4,12,0,0,12,0,0,1628,3525,9,0,0
32,65,1000,32000,5309,5,22,0,0,22,0,0,1736,3563,10,0,0
32,66,1000,32000,5246,6,24,0,0,24,0,0,1743,3490,13,0,0
