geometry,type,k,g,count
axis,A,10,17,5
axis,A,11,19,50
axis,A,12,19,50
axis,A,12,21,200
axis,A,13,19,50
axis,A,13,21,250
axis,A,13,23,300
axis,A,14,19,50
axis,A,14,21,150
axis,A,14,23,300
axis,A,14,25,150
axis,A,15,17,5
axis,A,15,21,100
axis,A,15,25,150
axis,B,15,29,10
tilted,A,14,25,175
tilted,A,15,25,375
tilted,A,16,25,250
tilted,A,17,25,50
tilted,B,13,25,25
tilted,B,14,25,25
tilted,B,15,29,5
