k,g,q,count
0,0,-1,1
1,2,-1,25
2,4,-1,300
3,6,-1,2300
4,6,-1,25
4,8,-1,12625
5,8,-1,525
5,10,-1,52605
6,8,-1,50
6,10,-1,5150
6,12,-1,171900
7,10,-1,1000
7,12,-1,31250
7,13,0,250
7,14,-1,448200
8,10,-1,150
8,12,-1,9200
8,13,0,500
8,14,-1,130300
8,15,0,3550
8,16,-1,937875
9,10,-1,25
9,12,-1,2650
9,13,0,800
9,14,-1,50600
9,15,0,6850
9,16,-1,391425
9,17,0,23250
9,18,-1,1567375
10,12,-1,850
10,13,0,1000
10,14,-1,20000
10,15,0,10250
10,16,-1,183650
10,17,0,44100
10,18,-1,861350
10,18,1,200
10,19,0,91850
10,20,-1,2055510
11,12,-1,200
11,13,0,1150
11,14,-1,8550
11,15,0,12150
11,16,-1,85700
11,17,0,62750
11,18,-1,456800
11,18,1,950
11,19,0,172450
11,20,-1,1375800
11,20,1,3450
11,21,0,235200
11,22,-1,2042250
12,12,-1,50
12,13,0,1200
12,14,-1,3075
12,15,0,13350
12,16,-1,41825
12,16,1,150
12,17,0,70550
12,18,-1,228600
12,18,1,3400
12,19,0,232800
12,20,-1,772625
12,20,1,13400
12,21,0,428750
12,22,-1,1536800
12,22,1,19100
12,23,0,390450
12,24,-1,1444175
13,13,0,1250
13,14,-1,1050
13,15,0,13150
13,16,-1,17950
13,16,1,975
13,17,0,72700
13,18,-1,113425
13,18,1,8650
13,19,0,242600
13,20,-1,380650
13,20,1,36375
13,21,0,530500
13,22,-1,844800
13,22,1,62925
13,23,0,663900
13,24,-1,1110825
13,24,1,51125
13,25,0,395650
13,26,-1,651800
14,13,0,1250
14,14,-1,200
14,14,1,100
14,15,0,12450
14,16,-1,7100
14,16,1,2850
14,17,0,65850
14,18,-1,49300
14,18,1,18900
14,19,0,222450
14,20,-1,170500
14,20,1,69950
14,21,0,486400
14,22,-1,370700
14,22,1,136600
14,23,0,704800
14,24,-1,533550
14,24,1,142350
14,25,0,583950
14,26,-1,446400
14,26,1,68100
14,27,0,205750
14,28,-1,157900
15,13,0,1250
15,14,1,500
15,15,0,10800
15,16,-1,2100
15,16,1,6100
15,17,0,54600
15,18,-1,18800
15,18,1,33700
15,19,0,172650
15,20,-1,62250
15,20,1,109300
15,21,0,364800
15,22,-1,129900
15,22,1,208050
15,23,0,516650
15,24,-1,178200
15,24,1,240900
15,25,0,464550
15,26,-1,155400
15,26,1,145450
15,27,0,224900
15,28,-1,77150
15,28,1,31900
15,29,0,43160
15,30,-1,15700
16,12,1,25
16,13,0,1200
16,14,1,1400
16,15,0,8650
16,16,-1,300
16,16,1,10550
16,17,0,39850
16,18,-1,5550
16,18,1,50800
16,19,0,113000
16,20,-1,17300
16,20,1,139050
16,21,0,213200
16,22,-1,31775
16,22,1,246600
16,23,0,268050
16,24,-1,39300
16,24,1,261500
16,25,0,221000
16,26,-1,29200
16,26,1,149975
16,27,0,102450
16,28,-1,14650
16,28,1,40750
16,29,0,26650
16,30,-1,3100
16,30,1,4100
16,31,0,2750
16,32,-1,250
17,12,1,150
17,13,0,1100
17,14,1,2775
17,15,0,6100
17,16,1,16100
17,17,0,24800
17,18,-1,825
17,18,1,63500
17,19,0,57750
17,20,-1,3500
17,20,1,148525
17,21,0,88400
17,22,-1,4100
17,22,1,211475
17,23,0,90950
17,24,-1,4925
17,24,1,177750
17,25,0,55000
17,26,-1,2650
17,26,1,74400
17,27,0,21400
17,28,-1,500
17,28,1,18250
17,29,0,4300
17,30,1,2100
17,31,0,100
17,32,1,150
18,12,1,550
18,13,0,900
18,14,1,4100
18,15,0,3650
18,16,1,22500
18,17,0,11500
18,18,1,66100
18,19,0,20250
18,20,-1,300
18,20,1,117200
18,21,0,22600
18,22,-1,400
18,22,1,114600
18,23,0,14450
18,24,-1,100
18,24,1,56400
18,25,0,7150
18,26,1,15550
18,27,0,100
18,28,1,2300
19,10,1,50
19,12,1,1000
19,13,0,650
19,14,1,6500
19,15,0,1200
19,16,1,24850
19,17,0,4150
19,18,1,51150
19,19,0,2500
19,20,1,51200
19,21,0,3750
19,22,1,24200
19,24,1,5900
20,10,1,200
20,12,1,1700
20,13,0,300
20,14,1,8550
20,15,0,100
20,16,1,18675
20,17,0,750
20,18,1,16400
20,20,1,6455
21,8,1,25
21,10,1,450
21,12,1,2875
21,13,0,50
21,14,1,5425
21,16,1,3825
22,8,1,150
22,10,1,850
22,12,1,1300
23,6,1,50
23,8,1,250
24,4,1,25
25,0,1,1
