a1,b1,a2,b2,N,channel,sector,cos4_first,cos4_second,delta_cos4_first_minus_second,first_estimate,first_batch_se,second_estimate,second_batch_se,difference_first_minus_second,difference_batch_se,difference_z,normalized_by_delta_cos4,normalized_batch_se,hypothesis_N_exponent,hypothesis_scaled_amplitude,hypothesis_scaled_batch_se
8,1,7,4,65,cross,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.31374481,5.473730966805861e-05,0.31333525,4.4673458043175e-05,0.00040955999999999827,4.99019529991695e-05,8.207294011254719,0.0003004151041666654,3.66034290662311e-05,1.0,0.019526981770833254,0.0023792228893050214
8,1,7,4,65,cross,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.31292448,4.3552723140227324e-05,0.3137644,4.887114990389819e-05,-0.0008399199999999995,4.879679712953502e-05,-17.212605117716322,-0.0006160871527777775,3.5792789561160666e-05,1.0,-0.04004566493055554,0.0023265313214754432
8,1,7,4,65,cross,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.313334645,2.4627778820804912e-05,0.313549825,2.24481719295759e-05,-0.00021518000000000147,3.027206392939628e-05,-7.1082038047312235,-0.00015783602430555663,2.220476911487835e-05,1.0,-0.010259341579861182,0.0014433099924670927
8,1,7,4,65,cross,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.00041016500000000037,4.2894975133069527e-05,-0.0002145749999999985,4.1086897549614275e-05,0.000624739999999999,3.897779248585919e-05,16.02810113545166,0.0004582511284722215,2.8590481467492203e-05,1.625,0.4046576430780304,0.025246761276230704
8,1,7,4,65,cross,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.0008203300000000007,8.578995026613905e-05,-0.000429149999999997,8.217379509922855e-05,0.001249479999999998,7.795558497171838e-05,16.02810113545166,0.000916502256944443,5.7180962934984406e-05,1.625,0.8093152861560609,0.05049352255246141
8,1,7,4,65,both,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.35072254,5.648795065938363e-05,0.35060105,4.7103270115307006e-05,0.0001214899999999991,5.658100565569771e-05,2.1471870036966205,8.911375868055489e-05,4.1502560572104655e-05,1.0,0.005792394314236068,0.0026976664371868024
8,1,7,4,65,both,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.34990221,4.4111977106477724e-05,0.3510302,5.162503307896294e-05,-0.0011279899999999971,5.4709132609730076e-05,-20.617947062816032,-0.0008273884982638868,4.012952869376902e-05,1.0,-0.053780252387152644,0.0026084193650949866
8,1,7,4,65,both,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.350312375,2.6988861689649365e-05,0.35081562499999996,2.7455380123525857e-05,-0.0005032499999999996,3.972381387642554e-05,-12.668723138355501,-0.0003691373697916664,2.9137693338176723e-05,1.0,-0.023993929036458316,0.001893950066981487
8,1,7,4,65,both,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.00041016499999999787,4.28949751330696e-05,-0.0002145750000000002,4.108689754961456e-05,0.0006247399999999981,3.897779248585899e-05,16.028101135451724,0.00045825112847222083,2.8590481467492054e-05,1.625,0.40465764307802987,0.025246761276230573
8,1,7,4,65,both,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.0008203299999999957,8.57899502661392e-05,-0.0004291500000000004,8.217379509922912e-05,0.0012494799999999962,7.795558497171798e-05,16.028101135451724,0.0009165022569444417,5.718096293498411e-05,1.625,0.8093152861560597,0.050493522552461145
8,1,7,4,65,either,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.6870755199999999,4.35527231402272e-05,0.6862356,4.887114990389796e-05,0.0008399199999999995,4.879679712953527e-05,17.212605117716233,0.0006160871527777775,3.5792789561160856e-05,1.0,0.04004566493055554,0.002326531321475456
8,1,7,4,65,either,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.68625519,5.473730966805906e-05,0.68666475,4.4673458043175014e-05,-0.0004095599999999977,4.990195299916891e-05,-8.207294011254804,-0.000300415104166665,3.660342906623067e-05,1.0,-0.019526981770833226,0.002379222889304993
8,1,7,4,65,either,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.6866653549999999,2.462777882080399e-05,0.6864501749999999,2.2448171929575763e-05,0.00021517999999999814,3.027206392939652e-05,7.108203804731057,0.0001578360243055542,2.2204769114878525e-05,1.0,0.010259341579861022,0.0014433099924671042
8,1,7,4,65,either,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.00041016499999999457,4.289497513306959e-05,-0.00021457500000000406,4.108689754961442e-05,0.0006247399999999986,3.897779248585886e-05,16.028101135451788,0.0004582511284722212,2.859048146749196e-05,1.625,0.4046576430780302,0.02524676127623049
8,1,7,4,65,either,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.0008203299999999891,8.578995026613918e-05,-0.00042915000000000813,8.217379509922883e-05,0.0012494799999999973,7.795558497171772e-05,16.028101135451788,0.0009165022569444424,5.718096293498392e-05,1.625,0.8093152861560604,0.05049352255246098
8,1,7,4,65,direction_0,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.51887898,5.2645477095244016e-05,0.51845796,4.839227945768949e-05,0.00042102000000000307,5.334388528191148e-05,7.892563463928411,0.00030882109375000226,3.912811029792986e-05,1.0,0.020073371093750146,0.002543327169365441
8,1,7,4,65,direction_0,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.51805865,4.899005129883636e-05,0.51888711,5.0441132596084544e-05,-0.0008284600000000075,5.519845082733201e-05,-15.008754549861173,-0.0006076811631944499,4.048844700442322e-05,1.0,-0.039499275607639245,0.002631749055287509
8,1,7,4,65,direction_0,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.518468815,2.730946357506065e-05,0.518672535,2.7475937365100515e-05,-0.00020371999999999613,3.777500798521234e-05,-5.392983638276019,-0.0001494300347222194,2.7708230683597593e-05,1.0,-0.00971295225694426,0.0018010349944338436
8,1,7,4,65,direction_0,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.00041016500000000123,4.2894975133069886e-05,-0.00021457500000000406,4.108689754961456e-05,0.0006247400000000052,3.897779248585933e-05,16.028101135451767,0.0004582511284722261,2.85904814674923e-05,1.625,0.4046576430780345,0.02524676127623079
8,1,7,4,65,direction_0,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.0008203300000000025,8.578995026613977e-05,-0.00042915000000000813,8.217379509922912e-05,0.0012494800000000105,7.795558497171866e-05,16.028101135451767,0.0009165022569444522,5.71809629349846e-05,1.625,0.809315286156069,0.05049352255246158
8,1,7,4,65,direction_1,primal,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.51891908,4.984529537185139e-05,0.51837869,5.132909013356198e-05,0.0005403899999999962,5.834884104688989e-05,9.261366469399652,0.00039637981770833055,4.2799280108178786e-05,1.0,0.025764688151041486,0.0027819532070316212
8,1,7,4,65,direction_1,matching,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.5180987499999999,5.206136700417563e-05,0.51880784,4.9859150543599035e-05,-0.0007090900000000034,5.571395577121366e-05,-12.727331782217064,-0.0005201224392361136,4.086657346065585e-05,1.0,-0.03380795855034738,0.0026563272749426303
8,1,7,4,65,direction_1,even,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.5185089150000001,2.7522550951148617e-05,0.518593265,2.9532559035441793e-05,-8.435000000000858e-05,4.1653904409133755e-05,-2.0250202519193508,-6.187131076389519e-05,3.055342814732467e-05,1.0,-0.004021635199653187,0.001985972829576104
8,1,7,4,65,direction_1,odd,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.00041016500000000123,4.289497513306979e-05,-0.0002145749999999985,4.108689754961413e-05,0.0006247399999999997,3.897779248585935e-05,16.028101135451617,0.000458251128472222,2.859048146749232e-05,1.625,0.4046576430780309,0.02524676127623081
8,1,7,4,65,direction_1,matching_function,0.8788165680473373,-0.48449704142011835,1.3633136094674556,0.0008203300000000025,8.578995026613958e-05,-0.000429149999999997,8.217379509922827e-05,0.0012494799999999994,7.79555849717187e-05,16.028101135451617,0.000916502256944444,5.718096293498464e-05,1.625,0.8093152861560619,0.05049352255246162
9,2,7,6,85,cross,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31267591,4.752123628421093e-05,0.31241393,4.0839152968095635e-05,0.00026198000000000665,5.3007247417573736e-05,4.942343033514153,0.00016430603298611527,3.3244562724997414e-05,1.0,0.013966012803819799,0.00282578783162478
9,2,7,6,85,cross,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31230515000000003,4.4525918850653006e-05,0.31305506,4.823466170606967e-05,-0.0007499100000000003,5.945775020630996e-05,-12.612485292462614,-0.00047032115885416685,3.729012545491228e-05,1.0,-0.03997729850260418,0.0031696606636675436
9,2,7,6,85,cross,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.31249053,2.49549278751215e-05,0.312734495,2.2695544767039803e-05,-0.00024396499999999654,3.377923668558207e-05,-7.222336083873904,-0.0001530075629340256,2.118532856365716e-05,1.0,-0.013005642849392176,0.0018007529279108585
9,2,7,6,85,cross,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.00018538000000000137,3.869966729165569e-05,-0.0003205650000000021,3.8498334382834305e-05,0.0005059450000000035,4.5071713281517336e-05,11.225333211539523,0.0003173135959201411,2.8267632678729406e-05,1.625,0.4333057328252784,0.03860070116937329
9,2,7,6,85,cross,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.00037076000000000275,7.739933458331138e-05,-0.0006411300000000042,7.699666876566861e-05,0.001011890000000007,9.014342656303467e-05,11.225333211539523,0.0006346271918402822,5.653526535745881e-05,1.625,0.8666114656505568,0.07720140233874657
9,2,7,6,85,both,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.35080818,4.684274871386928e-05,0.35078738000000004,4.627350132908192e-05,2.0799999999998598e-05,5.806771734776398e-05,0.3582024737674581,1.304513888888801e-05,3.641833835395788e-05,1.0,0.0011088368055554808,0.0030955587600864196
9,2,7,6,85,both,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.35043742,4.749401914499791e-05,0.35142851,4.9921035615957536e-05,-0.0009910900000000011,6.278380910599965e-05,-15.785757731371737,-0.0006215820529513896,3.937613027698328e-05,1.0,-0.05283447450086811,0.003346971073543579
9,2,7,6,85,both,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.3506228,2.696846737067636e-05,0.351107945,2.888860693869799e-05,-0.00048514500000000404,4.031592618045518e-05,-12.033581910743706,-0.00030426845703125253,2.528494502203027e-05,1.0,-0.025862818847656465,0.0021492203268725727
9,2,7,6,85,both,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.0001853800000000011,3.869966729165553e-05,-0.0003205649999999988,3.849833438283446e-05,0.0005059449999999998,4.507171328151741e-05,11.225333211539422,0.00031731359592013876,2.8267632678729453e-05,1.625,0.43330573282527524,0.03860070116937336
9,2,7,6,85,both,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.0003707600000000022,7.739933458331106e-05,-0.0006411299999999976,7.699666876566892e-05,0.0010118899999999997,9.014342656303482e-05,11.225333211539422,0.0006346271918402775,5.6535265357458907e-05,1.625,0.8666114656505505,0.07720140233874671
9,2,7,6,85,either,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.6876948500000001,4.452591885065322e-05,0.6869449400000001,4.823466170606948e-05,0.0007499099999999881,5.9457750206309614e-05,12.612485292462482,0.0004703211588541592,3.729012545491206e-05,1.0,0.03997729850260353,0.003169660663667525
9,2,7,6,85,either,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.68732409,4.752123628421083e-05,0.6875860699999999,4.083915296809606e-05,-0.0002619799999999972,5.300724741757422e-05,-4.9423430335139305,-0.00016430603298610936,3.324456272499772e-05,1.0,-0.013966012803819296,0.002825787831624806
9,2,7,6,85,either,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.68750947,2.4954927875121828e-05,0.687265505,2.2695544767039634e-05,0.00024396499999999378,3.37792366855815e-05,7.222336083873945,0.00015300756293402387,2.11853285636568e-05,1.0,0.013005642849392028,0.001800752927910828
9,2,7,6,85,either,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.00018537999999999888,3.869966729165583e-05,-0.0003205649999999938,3.8498334382834555e-05,0.0005059449999999927,4.50717132815177e-05,11.22533321153919,0.0003173135959201343,2.8267632678729636e-05,1.625,0.4333057328252692,0.03860070116937361
9,2,7,6,85,either,matching_function,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.00037075999999999776,7.739933458331165e-05,-0.0006411299999999876,7.699666876566911e-05,0.0010118899999999854,9.01434265630354e-05,11.22533321153919,0.0006346271918402686,5.653526535745927e-05,1.625,0.8666114656505384,0.07720140233874721
9,2,7,6,85,direction_0,primal,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.51926087,5.284865499086444e-05,0.51884952,5.013792790035753e-05,0.0004113499999999948,6.56394119336087e-05,6.26681421850727,0.0002579864366319412,4.1167079098986354e-05,1.0,0.021928847113715,0.00349920172341384
9,2,7,6,85,direction_0,matching,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.5188901100000001,4.6425049610238704e-05,0.5194906499999999,4.60979422293206e-05,-0.0006005399999999983,5.694962406204291e-05,-10.545109118644032,-0.00037664075520833226,3.571710363266146e-05,1.0,-0.032014464192708245,0.003035953808776224
9,2,7,6,85,direction_0,even,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.5190754900000001,3.124849651332711e-05,0.5191700850000001,2.8936038009843088e-05,-9.459499999999954e-05,4.176645426377087e-05,-2.264855891347552,-5.9327159288194156e-05,2.6194672921505604e-05,1.0,-0.005042808539496503,0.002226547198327976
9,2,7,6,85,direction_0,odd,0.6412456747404844,-0.9532179930795848,1.5944636678200692,0.00018537999999999611,3.869966729165568e-05,-0.0003205650000000004,3.849833438283422e-05,0.0005059449999999966,4.5071713281517214e-05,11.225333211539398,0.00031731359592013675,2.8267632678729328e-05,1.625,0.4333057328252725,0.03860070116937318
