N,seed_count,pooled_delta_M,pooled_delta_M_se,A4,A4_se,seed_compatibility_z
65,2,0.001206137903,0.0000707,0.781242,0.045824,1.324
85,2,0.0009503212203,0.0000783,0.813882,0.067092,1.381
130,1,0.0004670000000,0.0000895,0.932994,0.178832,
145,2,0.0004245903818,0.0000771,0.720126,0.130686,0.534
170,1,0.0002376400000,0.0000920,0.627747,0.243017,
