n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges
130,9,7,second,25,200,14582,16403,56,77,67,15516,1194186,18571,4117,5482,299920,444176,4620,6925
130,11,3,first,26,200,14641,16456,64,79,57,15331,1165596,18048,4716,4588,344352,365842,5315,5692
130,9,7,second,26,200,14710,16320,67,71,62,15331,1165596,18119,4912,4977,356646,395660,5469,6161
130,11,3,first,27,200,14607,16264,53,77,70,15489,1191370,18460,3836,5709,274810,462002,4233,7197
130,9,7,second,27,200,14797,16450,65,72,63,15489,1191370,18519,4765,5147,345906,417504,5312,6549
130,11,3,first,28,200,14684,16275,57,76,67,15482,1189870,18427,4147,5442,298712,438272,4548,6832
130,9,7,second,28,200,14630,16325,60,78,62,15482,1189870,18483,4339,5074,310608,411556,4763,6443
130,11,3,first,29,200,14542,16213,57,74,69,15375,1172396,18233,4118,5567,294318,444776,4520,6960
130,9,7,second,29,200,14519,16431,61,79,60,15375,1172396,18109,4405,4890,314676,394470,4769,6098
130,11,3,first,30,200,14816,16374,75,64,61,15371,1172902,18081,5434,4976,389458,402366,5950,6277
130,9,7,second,30,200,14597,16211,70,64,66,15371,1172902,18151,5074,5395,364082,437030,5553,6802
130,11,3,first,31,200,14712,16288,60,82,58,15477,1188070,18461,4350,4712,312370,378994,4816,5935
130,9,7,second,31,200,14552,16301,56,73,71,15477,1188070,18493,4070,5717,293066,455818,4493,7160
130,11,3,first,32,200,14539,16266,69,63,68,15290,1160220,17910,5024,5476,362586,437122,5526,6830
130,9,7,second,32,200,14638,16464,71,78,51,15290,1160220,18012,5197,4123,377098,330434,5821,5128
130,11,3,first,33,200,14590,16348,63,73,64,15364,1170688,18162,4573,5118,328524,405500,4992,6367
130,9,7,second,33,200,14689,16490,78,65,57,15364,1170688,18191,5704,4614,412916,369746,6337,5817
130,11,3,first,34,200,14621,16360,61,76,63,15442,1182598,18292,4464,5154,323174,417584,4916,6508
130,9,7,second,34,200,14518,16310,57,81,62,15442,1182598,18391,4168,5037,301760,405506,4645,6343
130,11,3,first,35,200,14764,16468,66,78,56,15432,1181220,18289,4859,4517,354146,361040,5423,5663
130,9,7,second,35,200,14721,16533,70,70,60,15432,1181220,18321,5155,4905,375510,397076,5738,6174
130,11,3,first,36,200,14556,16314,54,79,67,15493,1190756,18556,3938,5467,284330,442074,4415,6898
130,9,7,second,36,200,14703,16384,67,70,63,15493,1190756,18487,4922,5145,358066,416324,5511,6522
130,11,3,first,37,200,14542,16322,59,68,73,15420,1180016,18321,4298,5898,310018,472454,4811,7376
130,9,7,second,37,200,14414,16207,51,79,70,15420,1180016,18324,3660,5702,259898,460280,3971,7195
130,11,3,first,38,200,14636,16390,67,74,59,15316,1163468,17985,4882,4747,352218,378154,5348,5909
130,9,7,second,38,200,14594,16373,55,80,65,15316,1163468,18034,3969,5209,283390,414276,4309,6450
130,11,3,first,39,200,14677,16494,69,77,54,15373,1172594,18225,5028,4415,362722,357566,5621,5584
130,9,7,second,39,200,14655,16417,62,79,59,15373,1172594,18119,4532,4787,327902,384900,5025,5975
130,11,3,first,40,200,14463,16272,53,83,64,15426,1180070,18316,3862,5177,278236,415280,4274,6501
130,9,7,second,40,200,14633,16279,66,71,63,15426,1180070,18242,4848,5128,351990,413658,5415,6443
130,11,3,first,41,200,14612,16418,57,70,73,15517,1194612,18479,4170,5943,302104,479042,4584,7469
130,9,7,second,41,200,14654,16395,62,71,67,15517,1194612,18455,4491,5493,321896,445722,4899,6914
130,11,3,first,42,200,14603,16310,68,75,57,15295,1160396,18002,4934,4559,354316,361032,5407,5670
130,9,7,second,42,200,14713,16418,67,78,55,15295,1160396,18018,4842,4449,346238,356528,5362,5562
130,11,3,first,43,200,14750,16316,60,81,59,15509,1193198,18487,4405,4799,320338,386728,4902,6082
130,9,7,second,43,200,14366,16311,51,73,76,15509,1193198,18571,3690,6173,264116,496500,4036,7760
130,11,3,first,44,200,14584,16379,60,80,60,15367,1171514,18176,4341,4908,310726,397502,4775,6212
130,9,7,second,44,200,14573,16445,61,76,63,15367,1171514,18196,4403,5116,314546,411336,4829,6462
130,11,3,first,45,200,14593,16423,66,72,62,15448,1184282,18343,4830,5120,349718,419166,5358,6520
130,9,7,second,45,200,14467,16349,67,67,66,15448,1184282,18340,4889,5421,353058,441516,5434,6868
