n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges
65,8,1,first,0,200,7156,8227,59,81,60,7641,287174,8969,2079,2503,71704,102374,2190,3244
65,7,4,second,0,200,7216,8294,64,76,60,7641,287174,9025,2266,2478,78566,100448,2425,3195
65,8,1,first,1,200,7249,8395,64,75,61,7692,291156,9133,2277,2537,79436,103620,2423,3304
65,7,4,second,1,200,7166,8368,57,88,55,7692,291156,9145,2010,2291,69418,93834,2129,2974
65,8,1,first,2,200,7221,8336,72,66,62,7653,288184,9002,2511,2558,85652,103462,2589,3286
65,7,4,second,2,200,7178,8359,58,77,65,7653,288184,9025,2008,2703,67982,110106,2057,3480
65,8,1,first,3,200,7173,8320,55,82,63,7746,295274,9227,1950,2622,67716,107104,2082,3397
65,7,4,second,3,200,7209,8271,61,68,71,7746,295274,9286,2180,2953,76250,120506,2349,3831
65,8,1,first,4,200,7200,8424,64,73,63,7656,288508,9039,2248,2599,77518,105148,2389,3334
65,7,4,second,4,200,7255,8352,64,72,64,7656,288508,8996,2249,2646,77582,107218,2347,3417
65,8,1,first,5,200,7199,8291,65,75,60,7620,286264,8979,2248,2523,76218,103990,2343,3262
65,7,4,second,5,200,7242,8311,67,71,62,7620,286264,8977,2319,2581,78666,105380,2420,3364
65,8,1,first,6,200,7177,8339,53,82,65,7754,296064,9256,1871,2716,64712,111442,1965,3523
65,7,4,second,6,200,7254,8314,61,68,71,7754,296064,9276,2182,2965,76560,121628,2366,3830
65,8,1,first,7,200,7215,8380,61,86,53,7691,291032,9059,2172,2245,75720,93226,2313,2942
65,7,4,second,7,200,7338,8475,78,67,55,7691,291032,8998,2780,2285,96814,93176,2933,2926
65,8,1,first,8,200,7287,8389,69,72,59,7706,292566,9181,2443,2480,84672,102342,2601,3222
65,7,4,second,8,200,7225,8399,64,72,64,7706,292566,9204,2260,2690,78084,110944,2407,3531
65,8,1,first,9,200,7220,8416,62,86,52,7617,285562,8926,2158,2159,73550,88058,2260,2773
65,7,4,second,9,200,7259,8441,69,86,45,7617,285562,8911,2441,1899,84544,78594,2596,2488
65,8,1,first,10,200,7126,8294,66,75,59,7598,283738,8811,2321,2437,79952,98730,2419,3088
65,7,4,second,10,200,7292,8330,79,67,54,7598,283738,8876,2782,2228,95818,90208,2951,2845
65,8,1,first,11,200,7356,8309,65,75,60,7734,294382,9203,2317,2516,80928,103528,2511,3255
65,7,4,second,11,200,7240,8302,65,70,65,7734,294382,9207,2316,2732,80740,112716,2480,3536
65,8,1,first,12,200,7241,8376,62,86,52,7660,288090,8968,2216,2141,77576,86388,2370,2736
65,7,4,second,12,200,7214,8284,62,82,56,7660,288090,9060,2228,2309,78466,93328,2423,2980
65,8,1,first,13,200,7251,8420,59,80,61,7766,296822,9243,2097,2548,73114,104310,2249,3272
65,7,4,second,13,200,7291,8352,60,77,63,7766,296822,9332,2129,2629,74170,107648,2307,3406
65,8,1,first,14,200,7226,8315,53,73,74,7810,300884,9387,1864,3142,64372,130850,1976,4104
65,7,4,second,14,200,7197,8352,56,72,72,7810,300884,9356,1949,3045,66568,126414,2045,3961
65,8,1,first,15,200,7234,8392,62,69,69,7762,296554,9306,2213,2882,77334,118180,2399,3758
65,7,4,second,15,200,7210,8346,56,82,62,7762,296554,9256,1979,2593,68488,106508,2104,3371
65,8,1,first,16,200,7175,8380,59,78,63,7752,295294,9244,2107,2610,73440,106132,2229,3371
65,7,4,second,16,200,7272,8359,71,63,66,7752,295294,9247,2567,2752,90798,112600,2808,3552
65,8,1,first,17,200,7251,8446,72,73,55,7622,286384,8950,2518,2320,86514,95950,2644,3019
65,7,4,second,17,200,7290,8278,73,59,68,7622,286384,8936,2527,2803,85750,113472,2653,3578
65,8,1,first,18,200,7210,8345,55,80,65,7753,296002,9275,1966,2736,68918,113114,2125,3585
65,7,4,second,18,200,7266,8344,62,74,64,7753,296002,9258,2189,2675,75650,109830,2314,3496
65,8,1,first,19,200,7295,8435,69,78,53,7664,289532,9064,2400,2224,81784,91516,2557,2871
65,7,4,second,19,200,7298,8391,67,75,58,7664,289532,9092,2330,2446,79388,101120,2491,3200
65,8,1,first,20,200,7151,8252,60,76,64,7702,291848,9045,2118,2660,73122,108438,2205,3374
65,7,4,second,20,200,7287,8406,73,67,60,7702,291848,9111,2585,2517,89548,103622,2744,3283
65,8,1,first,21,200,7179,8345,57,78,65,7683,290722,9066,1966,2700,66452,109978,2029,3478
65,7,4,second,21,200,7112,8260,58,76,66,7683,290722,9056,2017,2737,68850,111296,2098,3489
65,8,1,first,22,200,7256,8379,59,93,48,7661,288524,9074,2108,2009,73666,82648,2289,2636
65,7,4,second,22,200,7313,8364,72,77,51,7661,288524,9023,2569,2128,89568,87262,2773,2742
65,8,1,first,23,200,7199,8333,56,73,71,7760,296150,9232,1982,2950,68666,120230,2119,3768
65,7,4,second,23,200,7241,8339,57,83,60,7760,296150,9165,2046,2486,71950,101080,2180,3143
65,8,1,first,24,200,7217,8379,60,83,57,7666,288840,9078,2128,2346,73804,94660,2270,3002
65,7,4,second,24,200,7344,8365,67,77,56,7666,288840,9000,2378,2299,82656,92504,2533,2919
65,8,1,first,25,200,7267,8334,68,76,56,7633,287016,8960,2404,2338,83336,95940,2551,3029
65,7,4,second,25,200,7341,8430,72,72,56,7633,287016,9012,2559,2346,89042,96610,2740,3026
65,8,1,first,26,200,7176,8369,53,74,73,7763,296736,9310,1895,3036,66448,123890,2059,3899
65,7,4,second,26,200,7214,8243,50,78,72,7763,296736,9298,1729,3015,58660,123788,1819,3905
65,8,1,first,27,200,7318,8410,59,80,61,7759,296444,9172,2093,2545,72780,104274,2203,3234
65,7,4,second,27,200,7207,8358,53,84,63,7759,296444,9148,1872,2651,64850,109490,1968,3407
65,8,1,first,28,200,7268,8385,61,78,61,7698,291842,9099,2151,2568,74142,106232,2260,3330
65,7,4,second,28,200,7301,8379,70,65,65,7698,291842,9082,2477,2729,85668,112640,2611,3549
65,8,1,first,29,200,7269,8341,60,72,68,7727,293788,9184,2121,2839,73464,116138,2255,3649
65,7,4,second,29,200,7414,8408,70,61,69,7727,293788,9169,2470,2875,85344,117392,2613,3694
65,8,1,first,30,200,7184,8324,56,65,79,7811,300360,9376,1960,3331,67030,137652,2054,4330
65,7,4,second,30,200,7239,8396,56,81,63,7811,300360,9365,1980,2659,68414,110134,2096,3469
