batch,replica_first,samples,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid,2omega_H4_re,2omega_H4_im,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid,omega_over_2_H4_re,omega_over_2_H4_im,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid,omega_plus_1_over_2_H4_re,omega_plus_1_over_2_H4_im,common_field_sha256
0,27500000000,20000,5109,9769,5122,0,9036.750123158039,-15.483134903735522,5075,9824,5101,0,-4405.609878290551,-7929.8047593584,5148,9641,5211,0,-4299.325462446851,7743.685042830572,14094bae68a6980e50e935879bb929d04002a9f753eb89c4eb48c53a2bef9edb
1,27500020000,20000,5065,10014,4921,0,9211.585926789348,-24.323439098296962,5183,9649,5168,0,-4263.255105781436,-7728.376197120778,5232,9586,5182,0,-4270.802969994772,7685.814916476404,f71c7749372650a4a6717710062ea8a7c79e97ee3ebeb95224b86891a52d2e25
2,27500040000,20000,5061,9963,4976,0,9244.634570856586,9.011066279696438,5134,9725,5141,0,-4306.015016104735,-7823.027165460881,5077,9725,5198,0,-4345.509982678095,7805.182869638443,c159dd8a89347ad0e0f32cb4499c2349f40346eed900c593ec3d8f85acec1c0b
3,27500060000,20000,5130,9800,5070,0,9088.183959283888,18.633788173187565,5315,9542,5143,0,-4201.572308517269,-7629.442593279772,5118,9774,5108,0,-4370.4347313968465,7865.575110929623,3ae941aa213f20020495b8ffbb26cc3f414f0c4c4bd70bb146b24bd0fda14aa7
4,27500080000,20000,5007,9933,5060,0,9173.723766926389,-7.176099438312374,5115,9699,5186,0,-4288.917524299271,-7745.419231956892,5143,9717,5140,0,-4322.239331045062,7801.560462470038,053f07e28d562ba691f43311c984b8314d76bae4a713ffe255f1bb1919497195
5,27500100000,20000,5077,9804,5119,0,9123.22725824991,19.771718358209444,5164,9577,5259,0,-4292.368707815666,-7651.296131172337,5039,9815,5146,0,-4346.7560607718,7873.532713702424,12e992d266f20dc53433c515e4aa2fc3ca41c0ec52805db029c24ff4b229f7cb
6,27500120000,20000,5137,9831,5032,0,9094.951745263352,-35.68875263269356,5111,9796,5093,0,-4316.938358155298,-7812.396848785024,5227,9732,5041,0,-4360.311070381045,7828.540311201284,e21f0d8f231e2fae86e894b3f6b501230c77eddfade135781e278e983e13bb49
7,27500140000,20000,4991,9906,5103,0,9175.846020461098,16.009409474962712,5135,9758,5107,0,-4307.944129290736,-7809.315689190767,5201,9682,5117,0,-4319.177351637539,7824.711609084283,f930b9c8731950f45a047add2798ba0ab1e397d1fbee9fad34a24f89ab40ef5c
8,27500160000,20000,5017,9906,5077,0,9166.895325244644,22.047578728253207,5173,9625,5202,0,-4307.557062848184,-7713.09717527647,5211,9697,5092,0,-4263.926296154247,7730.356707355516,963802fe6ebeaca3dee0f840f660740b333683ca18a285805bbb7db106405223
9,27500180000,20000,4871,9965,5164,0,9257.986572862177,9.359584607877531,5013,9882,5105,0,-4432.227580459864,-7945.001343109929,5063,9710,5227,0,-4330.391550207405,7766.7304721031205,3b2982b0b8ffe9c815b2a2f8c6bdfa9f96244b14d2bfc34ba3f913df19558251
10,27500200000,20000,4987,10032,4981,0,9245.522558823017,10.234377507285815,5214,9754,5032,0,-4355.663577200547,-7829.355642252479,5089,9712,5199,0,-4296.53569627782,7781.508332592778,6d8fcf845950d5b79864a9f851fa4bf201f80b2737150055c0664022d4dd53a0
11,27500220000,20000,5099,9909,4992,0,9184.303747268948,-13.477405977216463,5139,9771,5090,0,-4318.25173291771,-7813.3950843502125,5269,9686,5045,0,-4317.586199232547,7761.013999045624,d7f40f865feed8515d3c66f3792f0f47cf06e9b8954e3d6a9d077301585b1446
12,27500240000,20000,5170,9868,4962,0,9164.523254238718,-5.248757396449706,5121,9618,5261,0,-4237.102320573262,-7691.902095292433,5103,9742,5155,0,-4372.093969740261,7851.6283200751,e4a216ab6a428d4a5e36e69e662dcf8e4246ec42a25be53f03f7e3b60023a7b6
13,27500260000,20000,5002,10007,4991,0,9290.293919769754,-23.35627099841008,5093,9755,5152,0,-4290.556487831077,-7857.855955622509,5120,9775,5105,0,-4352.648321154566,7865.286489073917,a2a123c77a3dbf8433a0f73b8f88c9cb74cf1ad0a1acf840cc482ef012e49bc9
14,27500280000,20000,5028,10039,4933,0,9363.68498505777,12.687994120375674,5162,9732,5106,0,-4321.566539519304,-7842.83557936552,5082,9797,5121,0,-4345.4126686292575,7837.346840751969,89a0df487c07d2bf8cb792e6c841f44830443a9394a83e10900daa0485a176e4
15,27500300000,20000,5042,9872,5086,0,9152.717761108874,-15.917034274484113,5091,9740,5169,0,-4359.965187432745,-7779.0764065062995,5150,9685,5165,0,-4305.374633443883,7711.385365260024,97f74384bd30ee63fad1c01df8e6e6c1b3237b6f6185521394beb93f28481910
16,27500320000,20000,5070,9921,5009,0,9286.770640859684,-25.71751241102134,5142,9715,5143,0,-4331.809497124631,-7798.5284841555485,5220,9646,5134,0,-4236.466767249245,7731.953380753412,97b955cddd1334145cb1f6e3b55e45c162e8712b1498d1ad43bde3eb8cc35010
17,27500340000,20000,5098,9771,5131,0,9041.806543176757,-4.45934553960892,5263,9555,5182,0,-4256.404416489441,-7653.9373168411375,5185,9672,5143,0,-4321.012637836392,7768.278642048603,eb6df6487cda4b2dc11c11be0140f76b80a4e6a24952a740fe266482f4098fff
18,27500360000,20000,5114,9808,5078,0,9129.279442585022,-11.983963306102385,5077,9752,5171,0,-4356.4836585489165,-7860.605145439368,5121,9744,5135,0,-4333.8909724700925,7801.5411409650715,6789bfd29812154251c3c232d75da87f49358e76ba76ca9163e3af3cf94cfd24
19,27500380000,20000,5014,9943,5043,0,9206.864319327484,10.326752707764415,5116,9729,5155,0,-4282.029081260751,-7788.811450417728,5174,9667,5159,0,-4275.657493104453,7733.401309587124,eab665cd3bdc8ab0869b9053b7bd456c10195033ab03ba52545b4fc73061863b
20,27500400000,20000,5045,9925,5030,0,9224.53596128949,22.481478099001794,5163,9687,5150,0,-4299.37679691753,-7783.536992149543,5181,9730,5089,0,-4359.117725498067,7823.049205657085,6bf6f819fce2d8d46487b823b4937a7201b9dce9f7f6e1ee8f6ea36ea84c54f1
21,27500420000,20000,4988,9940,5072,0,9240.016222647324,2.7951407833598507,5156,9656,5188,0,-4303.2434244099395,-7778.900049606625,5130,9710,5160,0,-4332.7488480735265,7777.4660019572175,079933a80148f1614c87c0b6c05b579179dee1e4fb82a9d1c3ab213e823e18e6
22,27500440000,20000,4969,9918,5113,0,9195.237579476776,10.038764121496044,5118,9739,5143,0,-4344.488812383506,-7834.962049665043,5178,9601,5221,0,-4221.083429917461,7679.855699295545,c4b84a87bd44b8f67b4dcb0849726fc5d695961078900a2b65c0eb045f506dd6
23,27500460000,20000,4954,9872,5174,0,9104.73359442559,12.687994120375674,5214,9621,5165,0,-4272.774729632512,-7692.382623751179,5103,9669,5228,0,-4277.2621595108185,7720.580022888922,2a2aa06c50d5644d73d7af9d3b62d8e3fba7108aa7807589a520af53cd18d67f
24,27500480000,20000,5031,9948,5021,0,9220.378466154038,25.632131368453837,5124,9719,5157,0,-4308.830826870718,-7763.5362610179845,5074,9696,5230,0,-4297.713662121843,7798.181543595013,2b643a194f674e9448a12f3c636c2695a71952a032f494a56045d0c2afed49df
25,27500500000,20000,4966,9963,5071,0,9242.23326406745,-27.474092367749005,5070,9659,5271,0,-4236.9819114324555,-7659.2386343410935,5070,9659,5271,0,-4322.902908972183,7774.984984564406,f93afb2ea761f65c1d841f8cf31f5f247fa6ab14a7390a0e70409d6781e7c29e
26,27500520000,20000,5001,9962,5037,0,9234.81501454394,-19.679343157730848,5246,9538,5216,0,-4249.226364611852,-7678.544740181561,5120,9724,5156,0,-4331.903223379967,7802.5803240414025,4b37f554c9ec6676989c8a5c5b718e7d438766a32787e6a7768e955fe09bbb97
27,27500540000,20000,5114,9851,5035,0,9146.519018555126,-1.486448513202975,5177,9706,5117,0,-4286.14899557368,-7755.6464862002995,5167,9678,5155,0,-4302.711346535732,7800.727497545097,cdac3928666c49b2c04e2b25f701d38d07024bc4befbf2bed9afea072dadedf9
28,27500560000,20000,5079,9919,5002,0,9190.767065892409,6.735205909652681,5155,9593,5252,0,-4255.12300045654,-7670.996501453469,5221,9629,5150,0,-4245.746549493551,7713.604412933895,e3d2c0d8a06c71c14ded485a3f2882b1cebb90fe9296f8dbafaabffd3ccee90e
29,27500580000,20000,4891,10013,5096,0,9233.901331062178,-12.951131405989267,5057,9710,5233,0,-4330.027410531753,-7777.496480019296,5021,9731,5248,0,-4280.391141239238,7759.576632632115,80a5b83dcec23b4e94d3079d693e479e5a402e0776a1658171eb27fffd14834d
30,27500600000,20000,4914,10022,5064,0,9296.343224553291,24.145682855250865,5146,9571,5283,0,-4259.686833771413,-7639.487600203536,5154,9669,5177,0,-4285.799358417366,7757.878364886299,f33d09ac79b62c54a97105ee693e1501cd6feedc20a3124a7a12aaa89aba53e2
31,27500620000,20000,4975,9958,5067,0,9189.16167144831,-35.254853261944966,5189,9633,5178,0,-4281.34434895495,-7695.452530878935,5068,9792,5140,0,-4346.286065883872,7892.075142460629,eb892719d3aac2497b127e427b77b004222588b7c073338516bd51e7e2822927
32,27500640000,20000,5034,9892,5074,0,9156.300867717375,-4.373964497041424,5125,9733,5142,0,-4330.880088935627,-7790.022057234306,5144,9801,5055,0,-4417.40187128251,7936.53616376602,5336f1d2a8fd51036a7d4f4eddae3f60e31c9e0ab74edc8ae353bace28c02192
