geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_8_1,0,50000,65,1808376,2085670,66266660,87732050,75777109,277294,2444492,50000,0
g_8_1,1,50000,65,1809117,2085519,66321371,87720977,75811288,276402,2419772,50000,0
g_8_1,2,50000,65,1808515,2086176,66270601,87773640,75796240,277661,2451761,50000,0
g_8_1,3,50000,65,1806754,2086334,66153180,87799910,75740955,279580,2471180,50000,0
g_8_1,4,50000,65,1808703,2086195,66282581,87773733,75807654,277492,2441006,50000,0
g_8_1,5,50000,65,1808857,2087411,66305917,87876385,75864767,278554,2452768,50000,0
g_8_1,6,50000,65,1807840,2086756,66226750,87826372,75791337,278916,2470448,50000,0
g_8_1,7,50000,65,1808516,2086605,66274046,87813431,75820172,278089,2447133,50000,0
g_8_1,8,50000,65,1808559,2086091,66275381,87771685,75800406,277532,2446254,50000,0
g_8_1,9,50000,65,1808345,2085850,66260919,87748984,75781339,277505,2447225,50000,0
g_8_1,10,50000,65,1808526,2087500,66279004,87887004,75849922,278974,2466164,50000,0
g_8_1,11,50000,65,1807797,2086482,66221591,87802716,75778789,278685,2466729,50000,0
g_8_1,12,50000,65,1807310,2085906,66188610,87747552,75737338,278596,2461486,50000,0
g_8_1,13,50000,65,1808902,2086894,66302772,87836588,75845636,277992,2448088,50000,0
g_8_1,14,50000,65,1809137,2086935,66306419,87837269,75850363,277798,2442962,50000,0
g_8_1,15,50000,65,1808597,2085794,66280121,87748788,75796373,277197,2436163,50000,0
g_8_1,16,50000,65,1808252,2086944,66253300,87845468,75818547,278692,2461674,50000,0
g_8_1,17,50000,65,1808264,2085993,66254940,87755445,75780449,277729,2449487,50000,0
g_8_1,18,50000,65,1808379,2087732,66269033,87913116,75857077,279353,2467995,50000,0
g_8_1,19,50000,65,1808033,2086365,66232465,87801217,75792803,278332,2448076,50000,0
g_8_1,20,50000,65,1809275,2085752,66312459,87742750,75817342,276477,2420525,50000,0
g_8_1,21,50000,65,1808355,2086329,66262381,87792415,75803131,277974,2448534,50000,0
g_8_1,22,50000,65,1808897,2086836,66288599,87830618,75838178,277939,2442861,50000,0
g_8_1,23,50000,65,1810055,2086232,66377871,87774832,75869744,276177,2413215,50000,0
g_8_1,24,50000,65,1808953,2086828,66298729,87828854,75842593,277875,2442397,50000,0
g_8_1,25,50000,65,1808507,2085757,66272905,87745643,75789130,277250,2440288,50000,0
g_8_1,26,50000,65,1808001,2086056,66230491,87761908,75775298,278055,2441803,50000,0
g_8_1,27,50000,65,1807668,2086857,66209730,87835941,75783001,279189,2479669,50000,0
g_8_1,28,50000,65,1807163,2086556,66177709,87808052,75760604,279393,2464553,50000,0
g_8_1,29,50000,65,1809314,2086478,66329632,87800332,75847666,277164,2434632,50000,0
g_8_1,30,50000,65,1810249,2087277,66398769,87863865,75913647,277028,2435340,50000,0
g_8_1,31,50000,65,1809123,2087697,66331681,87910193,75888519,278574,2464836,50000,0
g_8_1,32,50000,65,1808848,2086634,66305060,87811426,75837358,277786,2441770,50000,0
g_8_1,33,50000,65,1809237,2086671,66329199,87813547,75851222,277434,2440302,50000,0
g_8_1,34,50000,65,1808870,2085964,66294614,87752884,75807758,277094,2431982,50000,0
g_8_1,35,50000,65,1807268,2086227,66194016,87795069,75762899,278959,2463287,50000,0
g_8_1,36,50000,65,1809722,2087249,66355750,87861797,75888754,277527,2440039,50000,0
g_8_1,37,50000,65,1809891,2086348,66374583,87787728,75865118,276457,2432075,50000,0
g_8_1,38,50000,65,1808314,2085853,66256520,87754703,75783625,277539,2443973,50000,0
g_8_1,39,50000,65,1807892,2087923,66227466,87918869,75834709,280031,2476917,50000,0
