k,configuration_count,sum_clusters_G,sum_clusters_Gstar_complement,wrap_H_G,wrap_V_G,wrap_E_G,wrap_B_G,wrap_H_Gstar,wrap_V_Gstar,wrap_E_Gstar,wrap_B_Gstar
0,1,0,1,0,0,0,0,1,1,1,1
1,9,9,9,0,0,0,0,9,9,9,9
2,36,54,36,0,0,0,0,36,36,36,36
3,84,132,84,3,3,6,0,81,81,84,78
4,126,171,126,18,18,36,0,108,108,126,90
5,126,135,126,45,45,81,9,81,81,117,45
6,84,84,84,63,63,84,42,27,27,48,6
7,36,36,36,36,36,36,36,0,0,0,0
8,9,9,9,9,9,9,9,0,0,0,0
9,1,1,0,1,1,1,1,0,0,0,0
