k,configuration_count,sum_clusters_G,sum_clusters_Gstar_complement,wrap_H_G,wrap_V_G,wrap_E_G,wrap_B_G,wrap_H_Gstar,wrap_V_Gstar,wrap_E_Gstar,wrap_B_Gstar
0,1,0,1,0,0,0,0,1,1,1,1
1,4,4,4,0,0,0,0,4,4,4,4
2,6,8,6,2,2,4,0,4,4,6,2
3,4,4,4,4,4,4,4,0,0,0,0
4,1,1,0,1,1,1,1,0,0,0,0
