k,configuration_count,sum_clusters_G,sum_clusters_Gstar_complement,wrap_H_G,wrap_V_G,wrap_E_G,wrap_B_G,wrap_H_Gstar,wrap_V_Gstar,wrap_E_Gstar,wrap_B_Gstar
0,1,0,1,0,0,0,0,1,1,1,1
1,16,16,16,0,0,0,0,16,16,16,16
2,120,208,120,0,0,0,0,120,120,120,120
3,560,1232,560,0,0,0,0,560,560,560,560
4,1820,4392,1820,4,4,8,0,1816,1816,1820,1812
5,4368,10480,4368,48,48,96,0,4320,4320,4368,4272
6,8008,17632,8008,280,280,560,0,7728,7728,8008,7448
7,11440,21552,11440,1008,1008,2000,16,10432,10432,11424,9440
8,12870,19800,12890,2558,2558,4788,328,10432,10432,12662,8202
9,11440,14496,11584,4480,4480,7456,1504,7376,7376,10352,4400
10,8008,8928,8440,5088,5088,7216,2960,3368,3368,5496,1240
11,4368,4544,5056,3664,3664,4336,2992,832,832,1504,160
12,1820,1836,2448,1744,1744,1820,1668,84,84,160,8
13,560,560,848,560,560,560,560,0,0,0,0
14,120,120,176,120,120,120,120,0,0,0,0
15,16,16,16,16,16,16,16,0,0,0,0
16,1,1,0,1,1,1,1,0,0,0,0
