mask,k,clusters_G,clusters_Gstar,H_G,V_G,E_G,B_G,H_Gstar,V_Gstar,E_Gstar,B_Gstar
70,3,2,1,0,0,0,0,1,1,1,1
71,4,1,1,1,0,1,0,1,0,1,0
72,2,1,1,0,0,0,0,1,1,1,1
73,3,1,1,0,1,1,0,0,1,1,0
74,3,2,1,0,0,0,0,1,1,1,1
75,4,1,1,0,1,1,0,0,1,1,0
76,3,2,1,0,0,0,0,1,1,1,1
77,4,1,1,0,1,1,0,0,1,1,0
78,4,2,1,0,0,0,0,1,1,1,1
79,5,1,1,1,1,1,1,0,0,0,0
80,2,2,1,0,0,0,0,1,1,1,1
81,3,2,1,0,0,0,0,1,1,1,1
82,3,2,1,0,0,0,0,1,1,1,1
83,4,1,1,0,0,0,0,1,1,1,1
84,3,3,1,0,0,0,0,1,1,1,1
85,4,2,1,0,0,0,0,1,1,1,1
86,4,2,1,0,0,0,0,1,1,1,1
87,5,1,1,1,0,1,0,1,0,1,0
88,3,1,1,0,0,0,0,1,1,1,1
89,4,1,1,0,1,1,0,0,1,1,0
90,4,1,1,0,0,0,0,1,1,1,1
91,5,1,1,0,1,1,0,0,1,1,0
92,4,2,1,0,0,0,0,1,1,1,1
93,5,1,1,0,1,1,0,0,1,1,0
94,5,1,1,0,0,0,0,1,1,1,1
95,6,1,1,1,1,1,1,0,0,0,0
96,2,2,1,0,0,0,0,1,1,1,1
97,3,2,1,0,0,0,0,1,1,1,1
98,3,3,1,0,0,0,0,1,1,1,1
99,4,2,1,0,0,0,0,1,1,1,1
100,3,2,1,0,0,0,0,1,1,1,1
101,4,1,1,0,0,0,0,1,1,1,1
102,4,2,1,0,0,0,0,1,1,1,1
103,5,1,1,1,0,1,0,1,0,1,0
104,3,1,1,0,0,0,0,1,1,1,1
105,4,1,1,0,1,1,0,0,1,1,0
106,4,2,1,0,0,0,0,1,1,1,1
107,5,1,1,0,1,1,0,0,1,1,0
108,4,1,1,0,0,0,0,1,1,1,1
109,5,1,1,0,1,1,0,0,1,1,0
110,5,1,1,0,0,0,0,1,1,1,1
111,6,1,1,1,1,1,1,0,0,0,0
112,3,2,1,0,0,0,0,1,1,1,1
113,4,2,1,0,0,0,0,1,1,1,1
114,4,2,1,0,0,0,0,1,1,1,1
115,5,1,1,0,0,0,0,1,1,1,1
116,4,2,1,0,0,0,0,1,1,1,1
117,5,1,1,0,0,0,0,1,1,1,1
118,5,2,1,0,0,0,0,1,1,1,1
119,6,1,1,1,0,1,0,1,0,1,0
120,4,1,1,1,0,1,0,1,0,1,0
121,5,1,1,1,1,1,1,0,0,0,0
122,5,1,1,1,0,1,0,1,0,1,0
123,6,1,1,1,1,1,1,0,0,0,0
124,5,1,1,1,0,1,0,1,0,1,0
125,6,1,1,1,1,1,1,0,0,0,0
126,6,1,1,1,0,1,0,1,0,1,0
127,7,1,1,1,1,1,1,0,0,0,0
128,1,1,1,0,0,0,0,1,1,1,1
129,2,2,1,0,0,0,0,1,1,1,1
130,2,1,1,0,0,0,0,1,1,1,1
131,3,1,1,0,0,0,0,1,1,1,1
132,2,2,1,0,0,0,0,1,1,1,1
133,3,2,1,0,0,0,0,1,1,1,1
134,3,1,1,0,0,0,0,1,1,1,1
135,4,1,1,1,0,1,0,1,0,1,0
136,2,2,1,0,0,0,0,1,1,1,1
137,3,2,1,0,0,0,0,1,1,1,1
138,3,2,1,0,0,0,0,1,1,1,1
139,4,1,1,0,0,0,0,1,1,1,1
140,3,3,1,0,0,0,0,1,1,1,1
141,4,2,1,0,0,0,0,1,1,1,1
142,4,2,1,0,0,0,0,1,1,1,1
143,5,1,1,1,0,1,0,1,0,1,0
144,2,1,1,0,0,0,0,1,1,1,1
145,3,2,1,0,0,0,0,1,1,1,1
146,3,1,1,0,1,1,0,0,1,1,0
147,4,1,1,0,1,1,0,0,1,1,0
148,3,2,1,0,0,0,0,1,1,1,1
149,4,2,1,0,0,0,0,1,1,1,1
150,4,1,1,0,1,1,0,0,1,1,0
151,5,1,1,1,1,1,1,0,0,0,0
152,3,1,1,0,0,0,0,1,1,1,1
153,4,1,1,0,0,0,0,1,1,1,1
154,4,1,1,0,1,1,0,0,1,1,0
155,5,1,1,0,1,1,0,0,1,1,0
156,4,2,1,0,0,0,0,1,1,1,1
157,5,1,1,0,0,0,0,1,1,1,1
158,5,1,1,0,1,1,0,0,1,1,0
159,6,1,1,1,1,1,1,0,0,0,0
160,2,2,1,0,0,0,0,1,1,1,1
161,3,3,1,0,0,0,0,1,1,1,1
162,3,2,1,0,0,0,0,1,1,1,1
163,4,2,1,0,0,0,0,1,1,1,1
164,3,2,1,0,0,0,0,1,1,1,1
165,4,2,1,0,0,0,0,1,1,1,1
166,4,1,1,0,0,0,0,1,1,1,1
167,5,1,1,1,0,1,0,1,0,1,0
168,3,2,1,0,0,0,0,1,1,1,1
169,4,2,1,0,0,0,0,1,1,1,1
170,4,2,1,0,0,0,0,1,1,1,1
171,5,1,1,0,0,0,0,1,1,1,1
172,4,2,1,0,0,0,0,1,1,1,1
173,5,2,1,0,0,0,0,1,1,1,1
174,5,1,1,0,0,0,0,1,1,1,1
175,6,1,1,1,0,1,0,1,0,1,0
176,3,1,1,0,0,0,0,1,1,1,1
177,4,2,1,0,0,0,0,1,1,1,1
178,4,1,1,0,1,1,0,0,1,1,0
179,5,1,1,0,1,1,0,0,1,1,0
180,4,1,1,0,0,0,0,1,1,1,1
181,5,1,1,0,0,0,0,1,1,1,1
182,5,1,1,0,1,1,0,0,1,1,0
183,6,1,1,1,1,1,1,0,0,0,0
184,4,1,1,1,0,1,0,1,0,1,0
185,5,1,1,1,0,1,0,1,0,1,0
186,5,1,1,1,1,1,1,0,0,0,0
187,6,1,1,1,1,1,1,0,0,0,0
188,5,1,1,1,0,1,0,1,0,1,0
189,6,1,1,1,0,1,0,1,0,1,0
190,6,1,1,1,1,1,1,0,0,0,0
191,7,1,1,1,1,1,1,0,0,0,0
192,2,1,1,0,0,0,0,1,1,1,1
193,3,1,1,0,0,0,0,1,1,1,1
194,3,1,1,0,0,0,0,1,1,1,1
195,4,1,1,0,0,0,0,1,1,1,1
196,3,2,1,0,0,0,0,1,1,1,1
197,4,1,1,0,0,0,0,1,1,1,1
198,4,1,1,0,0,0,0,1,1,1,1
199,5,1,1,1,0,1,0,1,0,1,0
200,3,1,1,0,0,0,0,1,1,1,1
201,4,1,1,0,1,1,0,0,1,1,0
202,4,1,1,0,0,0,0,1,1,1,1
203,5,1,1,0,1,1,0,0,1,1,0
204,4,2,1,0,0,0,0,1,1,1,1
205,5,1,1,0,1,1,0,0,1,1,0
206,5,1,1,0,0,0,0,1,1,1,1
207,6,1,1,1,1,1,1,0,0,0,0
208,3,1,1,0,0,0,0,1,1,1,1
209,4,1,1,0,0,0,0,1,1,1,1
210,4,1,1,0,1,1,0,0,1,1,0
211,5,1,1,0,1,1,0,0,1,1,0
212,4,2,1,0,0,0,0,1,1,1,1
213,5,1,1,0,0,0,0,1,1,1,1
214,5,1,1,0,1,1,0,0,1,1,0
215,6,1,1,1,1,1,1,0,0,0,0
216,4,1,1,0,0,0,0,1,1,1,1
217,5,1,1,0,1,1,0,0,1,1,0
218,5,1,1,0,1,1,0,0,1,1,0
219,6,1,1,0,1,1,0,0,1,1,0
220,5,2,1,0,0,0,0,1,1,1,1
221,6,1,1,0,1,1,0,0,1,1,0
222,6,1,1,0,1,1,0,0,1,1,0
223,7,1,1,1,1,1,1,0,0,0,0
224,3,2,1,0,0,0,0,1,1,1,1
225,4,2,1,0,0,0,0,1,1,1,1
226,4,2,1,0,0,0,0,1,1,1,1
227,5,2,1,0,0,0,0,1,1,1,1
228,4,2,1,0,0,0,0,1,1,1,1
229,5,1,1,0,0,0,0,1,1,1,1
230,5,1,1,0,0,0,0,1,1,1,1
231,6,1,1,1,0,1,0,1,0,1,0
232,4,1,1,0,0,0,0,1,1,1,1
233,5,1,1,0,1,1,0,0,1,1,0
234,5,1,1,0,0,0,0,1,1,1,1
235,6,1,1,0,1,1,0,0,1,1,0
236,5,1,1,0,0,0,0,1,1,1,1
237,6,1,1,0,1,1,0,0,1,1,0
238,6,1,1,1,1,1,1,1,1,1,1
239,7,1,1,1,1,1,1,0,0,0,0
240,4,1,1,0,0,0,0,1,1,1,1
241,5,1,1,0,0,0,0,1,1,1,1
242,5,1,1,0,1,1,0,0,1,1,0
243,6,1,1,0,1,1,0,0,1,1,0
244,5,1,1,0,0,0,0,1,1,1,1
245,6,1,1,1,1,1,1,1,1,1,1
246,6,1,1,0,1,1,0,0,1,1,0
247,7,1,1,1,1,1,1,0,0,0,0
248,5,1,1,1,0,1,0,1,0,1,0
249,6,1,1,1,1,1,1,0,0,0,0
250,6,1,1,1,1,1,1,0,0,0,0
251,7,1,1,1,1,1,1,0,0,0,0
252,6,1,1,1,0,1,0,1,0,1,0
253,7,1,1,1,1,1,1,0,0,0,0
254,7,1,1,1,1,1,1,0,0,0,0
255,8,1,1,1,1,1,1,0,0,0,0
256,1,1,1,0,0,0,0,1,1,1,1
257,2,2,1,0,0,0,0,1,1,1,1
258,2,2,1,0,0,0,0,1,1,1,1
259,3,2,1,0,0,0,0,1,1,1,1
260,2,1,1,0,0,0,0,1,1,1,1
261,3,1,1,0,0,0,0,1,1,1,1
262,3,1,1,0,0,0,0,1,1,1,1
263,4,1,1,1,0,1,0,1,0,1,0
264,2,2,1,0,0,0,0,1,1,1,1
265,3,2,1,0,0,0,0,1,1,1,1
266,3,3,1,0,0,0,0,1,1,1,1
267,4,2,1,0,0,0,0,1,1,1,1
268,3,2,1,0,0,0,0,1,1,1,1
269,4,1,1,0,0,0,0,1,1,1,1
270,4,2,1,0,0,0,0,1,1,1,1
271,5,1,1,1,0,1,0,1,0,1,0
272,2,2,1,0,0,0,0,1,1,1,1
273,3,3,1,0,0,0,0,1,1,1,1
274,3,2,1,0,0,0,0,1,1,1,1
275,4,2,1,0,0,0,0,1,1,1,1
276,3,2,1,0,0,0,0,1,1,1,1
277,4,2,1,0,0,0,0,1,1,1,1
278,4,1,1,0,0,0,0,1,1,1,1
279,5,1,1,1,0,1,0,1,0,1,0
280,3,2,1,0,0,0,0,1,1,1,1
281,4,2,1,0,0,0,0,1,1,1,1
282,4,2,1,0,0,0,0,1,1,1,1
283,5,2,1,0,0,0,0,1,1,1,1
284,4,2,1,0,0,0,0,1,1,1,1
285,5,1,1,0,0,0,0,1,1,1,1
286,5,1,1,0,0,0,0,1,1,1,1
287,6,1,1,1,0,1,0,1,0,1,0
288,2,1,1,0,0,0,0,1,1,1,1
289,3,2,1,0,0,0,0,1,1,1,1
290,3,2,1,0,0,0,0,1,1,1,1
291,4,2,1,0,0,0,0,1,1,1,1
292,3,1,1,0,1,1,0,0,1,1,0
293,4,1,1,0,1,1,0,0,1,1,0
294,4,1,1,0,1,1,0,0,1,1,0
