n,a,b,orientation,batch,samples,tau1,tau2,kind,ell_x,ell_y,count
65,8,1,first,0,500,35,36,LINE,0,1,4
65,8,1,first,0,500,35,37,LINE,0,1,2
65,8,1,first,0,500,35,37,LINE,1,-1,1
65,8,1,first,0,500,35,37,LINE,1,0,1
65,8,1,first,0,500,35,38,LINE,0,1,1
65,8,1,first,0,500,35,38,LINE,1,-1,1
65,8,1,first,0,500,35,38,LINE,1,0,1
65,8,1,first,0,500,35,39,LINE,0,1,2
65,8,1,first,0,500,35,39,LINE,1,0,5
65,8,1,first,0,500,35,40,LINE,0,1,1
65,8,1,first,0,500,35,40,LINE,1,0,2
65,8,1,first,0,500,35,41,LINE,1,0,2
65,8,1,first,0,500,35,42,LINE,0,1,2
65,8,1,first,0,500,35,43,LINE,0,1,4
65,8,1,first,0,500,35,44,LINE,0,1,2
65,8,1,first,0,500,35,44,LINE,1,0,1
65,8,1,first,0,500,35,45,LINE,0,1,1
65,8,1,first,0,500,35,45,LINE,1,0,2
65,8,1,first,0,500,35,46,LINE,0,1,2
65,8,1,first,0,500,35,46,LINE,1,0,1
65,8,1,first,0,500,35,47,LINE,0,1,1
65,8,1,first,0,500,35,47,LINE,1,0,1
65,8,1,first,0,500,35,50,LINE,1,-1,1
65,8,1,first,0,500,35,50,LINE,1,0,1
65,8,1,first,0,500,36,36,DIRECT_RANK2,0,0,1
65,8,1,first,0,500,36,37,LINE,0,1,1
65,8,1,first,0,500,36,37,LINE,1,-1,2
65,8,1,first,0,500,36,37,LINE,1,0,4
65,8,1,first,0,500,36,37,LINE,1,1,1
65,8,1,first,0,500,36,38,LINE,0,1,5
65,8,1,first,0,500,36,38,LINE,1,0,4
65,8,1,first,0,500,36,39,LINE,0,1,2
65,8,1,first,0,500,36,39,LINE,1,0,3
65,8,1,first,0,500,36,40,LINE,1,0,7
65,8,1,first,0,500,36,41,LINE,1,0,3
65,8,1,first,0,500,36,42,LINE,0,1,2
65,8,1,first,0,500,36,42,LINE,1,0,3
65,8,1,first,0,500,36,43,LINE,0,1,3
65,8,1,first,0,500,36,44,LINE,0,1,2
65,8,1,first,0,500,36,44,LINE,1,0,3
65,8,1,first,0,500,36,45,LINE,0,1,1
65,8,1,first,0,500,36,47,LINE,1,0,1
65,8,1,first,0,500,36,48,LINE,0,1,1
65,8,1,first,0,500,36,51,LINE,1,0,1
65,8,1,first,0,500,36,52,LINE,1,0,1
65,8,1,first,0,500,37,37,DIRECT_RANK2,0,0,2
65,8,1,first,0,500,37,38,LINE,1,0,3
65,8,1,first,0,500,37,38,LINE,1,1,4
65,8,1,first,0,500,37,39,LINE,0,1,4
65,8,1,first,0,500,37,39,LINE,1,-1,1
65,8,1,first,0,500,37,39,LINE,1,0,4
65,8,1,first,0,500,37,40,LINE,0,1,2
65,8,1,first,0,500,37,40,LINE,1,0,5
65,8,1,first,0,500,37,41,LINE,0,1,3
65,8,1,first,0,500,37,41,LINE,1,0,1
65,8,1,first,0,500,37,42,LINE,1,-1,1
65,8,1,first,0,500,37,42,LINE,1,0,1
65,8,1,first,0,500,37,43,LINE,0,1,3
65,8,1,first,0,500,37,43,LINE,1,0,4
65,8,1,first,0,500,37,43,LINE,1,1,1
65,8,1,first,0,500,37,44,LINE,0,1,1
65,8,1,first,0,500,37,44,LINE,1,0,1
65,8,1,first,0,500,37,45,LINE,0,1,1
65,8,1,first,0,500,37,46,LINE,0,1,1
65,8,1,first,0,500,37,46,LINE,1,0,1
65,8,1,first,0,500,37,46,LINE,1,1,1
65,8,1,first,0,500,37,47,LINE,0,1,2
65,8,1,first,0,500,37,48,LINE,1,0,1
65,8,1,first,0,500,37,50,LINE,1,0,1
65,8,1,first,0,500,38,38,DIRECT_RANK2,0,0,1
65,8,1,first,0,500,38,39,LINE,0,1,2
65,8,1,first,0,500,38,39,LINE,1,0,3
65,8,1,first,0,500,38,39,LINE,1,1,1
65,8,1,first,0,500,38,40,LINE,0,1,1
65,8,1,first,0,500,38,40,LINE,1,-1,2
65,8,1,first,0,500,38,40,LINE,1,0,1
65,8,1,first,0,500,38,40,LINE,1,1,2
65,8,1,first,0,500,38,41,LINE,0,1,3
65,8,1,first,0,500,38,41,LINE,1,0,4
65,8,1,first,0,500,38,41,LINE,1,1,3
65,8,1,first,0,500,38,42,LINE,0,1,2
65,8,1,first,0,500,38,42,LINE,1,0,7
65,8,1,first,0,500,38,43,LINE,0,1,1
65,8,1,first,0,500,38,43,LINE,1,0,1
65,8,1,first,0,500,38,44,LINE,1,0,1
65,8,1,first,0,500,38,45,LINE,0,1,1
65,8,1,first,0,500,38,45,LINE,1,0,1
65,8,1,first,0,500,38,46,LINE,0,1,1
65,8,1,first,0,500,38,46,LINE,1,0,1
65,8,1,first,0,500,38,47,LINE,0,1,1
65,8,1,first,0,500,38,47,LINE,1,0,1
65,8,1,first,0,500,38,48,LINE,0,1,2
65,8,1,first,0,500,39,40,LINE,0,1,4
65,8,1,first,0,500,39,40,LINE,1,0,2
65,8,1,first,0,500,39,40,LINE,1,1,1
65,8,1,first,0,500,39,41,LINE,0,1,3
65,8,1,first,0,500,39,41,LINE,1,0,7
65,8,1,first,0,500,39,42,LINE,0,1,2
65,8,1,first,0,500,39,43,LINE,0,1,1
65,8,1,first,0,500,39,43,LINE,1,0,1
65,8,1,first,0,500,39,44,LINE,0,1,1
65,8,1,first,0,500,39,44,LINE,1,0,3
65,8,1,first,0,500,39,45,LINE,0,1,1
65,8,1,first,0,500,39,45,LINE,1,0,1
65,8,1,first,0,500,39,46,LINE,0,1,1
65,8,1,first,0,500,39,46,LINE,1,-1,1
65,8,1,first,0,500,39,46,LINE,1,0,2
65,8,1,first,0,500,39,47,LINE,1,0,1
65,8,1,first,0,500,39,49,LINE,0,1,2
65,8,1,first,0,500,40,41,LINE,0,1,5
65,8,1,first,0,500,40,41,LINE,1,0,1
65,8,1,first,0,500,40,41,LINE,1,1,1
65,8,1,first,0,500,40,42,LINE,0,1,3
65,8,1,first,0,500,40,42,LINE,1,0,5
