n,a,b,orientation,batch,samples,tau1,tau2,kind,ell_x,ell_y,count
65,7,4,first,0,500,22,44,LINE,0,1,1
65,7,4,first,0,500,25,32,LINE,0,1,1
65,7,4,first,0,500,26,32,LINE,1,0,1
65,7,4,first,0,500,26,44,LINE,0,1,1
65,7,4,first,0,500,26,51,LINE,1,0,1
65,7,4,first,0,500,27,33,LINE,0,1,1
65,7,4,first,0,500,27,33,LINE,1,0,1
65,7,4,first,0,500,27,38,LINE,0,1,1
65,7,4,first,0,500,27,41,LINE,1,0,1
65,7,4,first,0,500,28,29,LINE,0,1,1
65,7,4,first,0,500,28,38,LINE,0,1,1
65,7,4,first,0,500,28,40,LINE,0,1,1
65,7,4,first,0,500,28,46,LINE,1,0,1
65,7,4,first,0,500,28,47,LINE,1,0,1
65,7,4,first,0,500,29,32,LINE,1,0,1
65,7,4,first,0,500,29,34,LINE,0,1,1
65,7,4,first,0,500,29,37,LINE,0,1,2
65,7,4,first,0,500,29,40,LINE,0,1,1
65,7,4,first,0,500,29,41,LINE,0,1,1
65,7,4,first,0,500,29,42,LINE,1,0,1
65,7,4,first,0,500,29,43,LINE,1,0,3
65,7,4,first,0,500,30,31,LINE,1,0,1
65,7,4,first,0,500,30,33,LINE,0,1,2
65,7,4,first,0,500,30,35,LINE,1,0,1
65,7,4,first,0,500,30,39,LINE,0,1,1
65,7,4,first,0,500,30,39,LINE,1,0,1
65,7,4,first,0,500,30,40,LINE,1,0,1
65,7,4,first,0,500,30,43,LINE,0,1,2
65,7,4,first,0,500,30,45,LINE,0,1,1
65,7,4,first,0,500,30,46,LINE,1,0,1
65,7,4,first,0,500,31,35,LINE,0,1,3
65,7,4,first,0,500,31,36,LINE,0,1,1
65,7,4,first,0,500,31,37,LINE,0,1,1
65,7,4,first,0,500,31,38,LINE,0,1,1
65,7,4,first,0,500,31,40,LINE,0,1,1
65,7,4,first,0,500,31,41,LINE,1,0,1
65,7,4,first,0,500,31,42,LINE,0,1,1
65,7,4,first,0,500,31,42,LINE,1,0,1
